,name,address,city,postal_code,phone,fax,grades,program
275,Pine Ridge Elementary School #2316,Box 1330 750 Triple E. Blvd,Winkler,R6W 4B3,(204) 000-0000,(204) 000-0000,K to 8,"English, French: Communication and Culture - Grades 4-12"
276,Plum Coulee School #1717,Plum Coulee Unit Box 108,Plum Coulee,R0G 1R0,(204) 325-9852,(204) 829-3632,K to 8,"English, French: Communication and Culture - Grades 4-12"
277,Prairie Dale School #2275,39 Church Street South,Schanzenfeld,R6W 0E4,(204) 325-8203,(204) 325-8256,4 to 8,"English, French: Communication and Culture - Grades 4-12"
278,Southwood Elementary #1091,224 Hespeler Avenue E.,Schanzenfeld,R6W 1K3,(204) 325-8592,(204) 325-5989,K to 3,English
279,Winkler Elementary #1124,284 8th Street,Winkler,R6W 4C9,(204) 325-9501,(204) 325-5902,K to 8,"English, French: Communication and Culture - Grades 4-12"
280,Blumenort School #1122,10 Park Street,Blumenort,R0A 0C1,(204) 326-1757,(204) 326-8125,K to 8,"English, French: Communication and Culture - Grades 4-12"
281,Bothwell School #1882,Box 220 25 Crown Valley Rd. E.,New Bothwell,R0A 1C0,(204) 388-4422,(204) 388-4686,K to 8,"English, French: Communication and Culture - Grades 4-12"
282,Clearspring Middle School #2282,1 Brighton Lane,Steinbach,R5G 0Y2,(204) 346-9644,(204) 346-9714,5 to 8,"English, French: Communication and Culture - Grades 4-12"
283,Crystal Springs School #1469,Box 10,Ste. Agathe,R0G 1Y0,(204) 433-2545,(204) 433-2546,K to 12,English
284,Elmdale School #1198,160 Elmdale Street,Steinbach,R5G 0P3,(204) 326-3325,(204) 326-3358,K to 4,English
285,Green Valley School #1693,Box 29,Grunthal,R0A 0R0,(204) 434-6415,(204) 434-9010,5 to 12,"English, French: Communication and Culture - Grades 4-12"
286,Kleefeld School #1234,Box 80,Kleefeld,R0A 0V0,(204) 377-4751,(204) 377-4545,K to 8,"English, French: Communication and Culture - Grades 4-12"
287,Landmark Collegiate #1129,Box 40,Landmark,R0A 0X0,(204) 355-4020,(204) 355-4171,7 to 12,"English, French: Communication and Culture - Grades 4-12"
288,Landmark Elementary School #2051,Po Box 260,Landmark,R0A 0X0,(204) 355-4663,(204) 355-4360,K to 6,"English, French: Communication and Culture - Grades 4-12"
289,Mitchell Elementary School #1959,99 Stanway Bay,Mitchell,R5G 1J4,(204) 326-6622,(204) 346-0500,K to 4,English
290,Mitchell Middle School #2229,203 Third Street,Mitchell,R5G 1H7,(204) 320-9488,(204) 326-5332,5 to 8,"English, French: Communication and Culture - Grades 4-12"
291,Niverville Elementary #1777,Box 239,Niverville,R0A 1E0,(204) 388-4861,(204) 388-4511,K to 5,English
292,Niverville High School #2319,401 Center Street,Niverville,R0A 1E0,(204) 388-9761,(204) 388-9998,9 to 12,English
293,Niverville Middle School #1309,Box 188,Niverville,R0A 1E0,(204) 388-4731,(204) 388-6900,5 to 8,"English, French: Communication and Culture - Grades 4-12"
294,South Oaks Elementary #1590,Box 550,Grunthal,R0A 0R0,(204) 434-6165,(204) 434-6159,K to 4,English
295,Southwood School #1513,155 Barkman Avenue,Steinbach,R5G 0P2,(204) 326-3518,(204) 326-7535,K to 4,English
296,Steinbach Regional Secondary #1353,190 Mckenzie Avenue,Steinbach,R5G 0P1,(204) 326-6426,(204) 326-1113,9 to 12,"English, French: Communication and Culture - Grades 4-12"
297,Stonybrook Middle School #1437,77 Lumber Avenue,Steinbach,R5G 0R3,(204) 326-6481,(204) 326-3014,5 to 9,"English, French: Communication and Culture - Grades 4-12"
298,Woodlawn School #1182,411 Henry St. East,Steinbach,R5G 0R1,(204) 326-6110,(204) 346-0605,K to 4,English
299,Home Schools #1950,507-1181 Portage Avenue,Winnipeg,R3G 0T3,(204) 945-8138,(204) 948-3870,00 to 00,English
300,Acadmie Islamique Du Manitoba #2221,208 Provencher Blvd. P.O. Box 153,Winnipeg,R2H 3B4,(204) 231-4441,(204) 254-8144,K to 8,"Arabic, Early Start French, English, French: Communication and Culture - Grades 4-12, Partial Francais"
301,Alhijra Islamic School #2114,410 Desalaberry Avenue,Winnipeg,R2L 0Y7,(204) 489-1300,(204) 489-1323,K to 9,English
302,Austin Christian Academy #1733,Box 460,Austin,R0H 0C0,(204) 637-2303,(204) 637-3127,K to 12,"English, French: Communication and Culture - Grades 4-12"
303,Balmoral Hall School #1536,630 Westminster Avenue,Winnipeg,R3C 3S1,(204) 784-1600,(204) 774-5534,K to 12,"Early Start French, English, French: Communication and Culture - Grades 4-12"
304,Beautiful Savior Lutheran School #2102,52 Birchdale Ave.,Winnipeg,R2H 1R9,(204) 984-9600,(204) 984-9607,N to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
305,Calvin Christian School #1077,245 Sutton Avenue,Winnipeg,R2G 0T1,(204) 338-7981,(204) 339-3280,K to 12,"Early Start French, English, French: Communication and Culture - Grades 4-12"
306,Cartwright Community Independent Sch. #2055,Box 419 810 Broadway Street,Cartwright,R0K 0L0,(204) 529-2357,(204) 529-2455,12 to 12,English
307,Children's House #1861,150 Pacific Avenue,Winnipeg,R3B 3K8,(204) 956-1622,(204) 956-7088,N to K,English
308,Christian Heritage School #1148,2025 26th Street,Brandon,R7B 3Y2,(204) 725-3209,(204) 728-9641,K to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
309,Community Bible Fellowship Christian #1239,Box 1630,Swan River,R0L 1Z0,(204) 734-2174,(204) 734-5706,N to 8,English
310,Dasmesh School #2284,3707 Roblin Blvd,Winnipeg,R3R 0E2,(204) 633-6670,(205) 614-6514,N to 10,English
311,Dufferin Christian School #1157,Box 1450,Carman,R0G 0J0,(204) 745-2278,(204) 745-3441,K to 12,"English, French: Communication and Culture - Grades 4-12"
312,Faith Academy #1315,437 Matheson Ave.,Winnipeg,R2W 0E1,(204) 582-3400,(204) 582-2616,K to 12,"Early Start French, English, French: Communication and Culture - Grades 4-12"
313,Green Acres Colony High School #2151,Box 190,Wawanesa,R0K 2G0,(204) 824-2112,(204) 824-2112,9 to 12,English
314,H. B. Community School #2117,Box 40,Macgregor,R0H 0R0,(204) 252-2178,(204) 252-2381,K to 12,English
315,Immanuel Christian School #1274,215 Rougeau Avenue,Winnipeg,R2C 3Z9,(204) 661-8937,(204) 669-7013,K to 12,"English, French: Communication and Culture - Grades 4-12"
316,Inspired Explorations Learning Community #2308,Unit A - 5905 Roblin Blvd,Winnipeg,R3R 0G8,(204) 396-1787,(204) 000-0000,N to 4,English
317,Iqra Islamic School #2291,404 Webb Place,Winnipeg,R3B 3J4,(204) 615-1119,(204) 615-1116,N to 8,"Arabic, English"
318,Kola Community School #2197,Box 553,Kola,R0M 1B0,(204) 556-2488,(204) 556-2425,N to K,English
319,Lakeside Christian School #1998,Box 894 237 Hammond Street,Killarney,R0K 1G0,(204) 523-8240,(204) 523-8351,K to 12,"Early Start French, English, French: Communication and Culture - Grades 4-12"
350,Behavioural Health Foundation #2235,35 Ave De La Digue,St. Norbert,R3V 1L6,(204) 269-3430,(204) 269-8049,K to 6,English
351,Child & Adolescent Treatment Centre #1948,1240 - 10th Street,Brandon,R7A 7L6,(204) 578-2700,(204) 578-2850,1 to 12,English
352,Gladys Cook Education Centre #1219,#2 River Road Box 1342,Portage La Prairie,R1N 3A9,(204) 239-3029,(204) 239-3025,1 to 12,English
353,Jobworks Alternative High School #2254,1175 Pembina Highway,Winnipeg,R3T 2A5,(204) 453-8351,(204) 453-0277,9 to 12,English
354,Manitoba School For The Deaf #1570,242 Stradford Street,Winnipeg,R2Y 2C9,(204) 945-8934,(204) 945-1767,K to 12,"American Sign Language, English"
355,Manitoba Youth Centre #1049,170 Doncaster Street,Winnipeg,R3N 1X9,(204) 239-3029,(204) 239-3025,K to 12,English
356,Marymound School #1798,442 Scotia Street,Winnipeg,R2V 1X4,(204) 336-5285,(204) 338-4690,1 to 12,English
357,New Directions Inc. School #2301,500 - 717 Portage Avenue,Winnipeg,R3G 0M8,(204) 786-7051,(204) 774-6468,9 to 11,English
358,St. Amant School #1620,440 River Road,Winnipeg,R2M 3Z9,(204) 258-7059,(204) 258-7066,K to 12,English
359,Balmoral School #1028,General Delivery,Balmoral,R0C 0H0,(204) 467-2501,() -,K to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
360,Brant-Argyle School #1752,Box 70,Argyle,R0C 0B0,(204) 467-2683,() -,K to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
361,Concord School #1967,Concord Colony Box 940,Stony Mountain,R0C 3A0,(204) 344-5840,() -,K to 12,English
362,Grosse Isle School #1282,Box 1,Grosse Isle,R0C 1G0,(204) 467-2560,() -,5 to 8,"English, French: Communication and Culture - Grades 4-12"
363,Kelsey School #1610,Box 82,Rosser,R0H 1E0,(204) 633-3485,() -,K to 12,English
364,Lightly School #1283,Clearwater Colony Box 103,Balmoral,R0C 0H0,(204) 272-8081,() -,K to 12,English
365,Mallard School #2143,"Box 7, Group 40",Warren,R0C 3E0,(204) 322-5424,() -,K to 12,English
366,Meadow Lane School #2299,C/O Meadow Lane Colony Box 68,Rosser,R0H 1E0,(204) 322-5661,() -,K to 12,English
367,New Haven School #1205,New Haven Colony Box 100,Argyle,R0C 0B0,(204) 467-8700,() -,K to 12,English
368,Omega School #1433,Interlake Colony Box 138,Teulon,R0C 3B0,(204) 886-2574,() -,K to 12,English
369,Prairie Blossom School #2113,General Delivery,Balmoral,R0C 0H0,(204) 467-8012,() -,K to 12,English
370,Rock Lake School #1572,Rock Lake Colony Box 158,Grosse Isle,R0C 1G0,(204) 322-5345,() -,K to 12,English
371,Rosser School #1346,Box 130,Rosser,R0H 1E0,(204) 467-2717,() -,K to 4,"Early Start French, English, French: Communication and Culture - Grades 4-12"
372,Stonewall Centennial School #1879,573 - 2nd Avenue N,Stonewall,R0C 2Z0,(204) 467-5502,() -,5 to 8,"Early Immersion, English, French: Communication and Culture - Grades 4-12"
373,Stonewall Collegiate #1145,297 - 5th St West,Stonewall,R0C 2Z0,(204) 467-5539,() -,9 to 12,"Early Immersion, English, French: Communication and Culture - Grades 4-12"
374,Stony Mountain Elementary #1381,General Delivery,Stony Mountain,R0C 3A0,(204) 344-5459,() -,K to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
375,Teulon Collegiate #1650,Box 189,Teulon,R0C 3B0,(204) 886-2593,() -,7 to 12,"English, French: Communication and Culture - Grades 4-12"
376,Teulon Elementary #1494,Box 143,Teulon,R0C 3B0,(204) 886-2620,() -,K to 6,"Early Start French, English, French: Communication and Culture - Grades 4-12"
377,Warren Collegiate #1908,Box 580,Warren,R0C 3E0,(204) 322-5586,() -,9 to 12,"English, French: Communication and Culture - Grades 4-12"
378,Warren Elementary #1710,Box 610,Warren,R0C 3E0,(204) 322-5576,() -,K to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
389,Kelsey Community School #1386,Box 4700,The Pas,R9A 1R4,(204) 623-7421,(204) 623-2713,K to 5,"English, French: Communication and Culture - Grades 4-12"
390,Kelsey Learning Centre #2207,Box 4700,The Pas,R9A 1RA,(204) 627-8562,(204) 623-1309,9 to 12,English
391,Margaret Barbour Collegiate Institute #1724,Box 4700 429 Smith Avenue,The Pas,R9A 1R4,(204) 623-3485,(204) 623-3139,9 to 12,"English, French: Communication and Culture - Grades 4-12"
392,Mary Duncan School #1616,Box 4700,The Pas,R9A 1R4,(204) 623-1420,(204) 623-1309,7 to 12,English
393,Scott Bateman Middle School #1260,Box 4700,The Pas,R9A 1R4,(204) 623-3411,(204) 623-6276,6 to 8,"Early Immersion, English, French: Communication and Culture - Grades 4-12"
394,cole Opasquia School #1021,Box 4700,The Pas,R9A 1R4,(204) 623-3459,(204) 623-6599,K to 5,"Early Immersion, English, French: Communication and Culture - Grades 4-12"
395,Alf Cuthbert School #1816,Box 220,Moosehorn,R0C 2E0,(204) 768-2396,(204) 768-3234,K to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
396,Ashern Central School #1090,Box 1200,Ashern,R0C 0E0,(204) 768-2571,(204) 768-2879,5 to 12,"English, French: Communication and Culture - Grades 4-12"
397,Ashern Early Years School #2116,Box 1400,Ashern,R0C 0E0,(204) 768-2625,(204) 768-3656,K to 4,"Early Start French, English, French: Communication and Culture - Grades 4-12"
398,Broad Valley Colony School #1123,Broad Valley Colony Box 8,Poplarfield,R0C 2N0,(204) 372-8573,(204) 372-8573,K to 12,English
399,Eriksdale School #1116,Box 179,Eriksdale,R0C 0W0,(204) 739-2635,(204) 739-2735,K to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
400,Fieldstone Ventures Edu. & Training Ctr. #2205,Box 1600,Ashern,R0C 0E0,(204) 768-3797,(204) 768-9082,9 to 12,English
401,Fisher Branch Collegiate #1765,Box 250,Fisher Branch,R0C 0Z0,(204) 372-6459,(204) 372-6363,5 to 12,"English, French: Communication and Culture - Grades 4-12"
402,Fisher Branch Early Years School #1424,Box 355,Fisher Branch,R0C 0Z0,(204) 372-6615,(204) 372-6100,K to 4,"Early Start French, English, French: Communication and Culture - Grades 4-12"
403,Inwood School #1612,Box 220,Inwood,R0C 1P0,(204) 278-3347,(204) 278-3208,K to 12,"Early Start French, English, French: Communication and Culture - Grades 4-12"
404,Lundar School #1130,Box 602,Lundar,R0C 1Y0,(204) 762-5610,(204) 762-5942,K to 12,English
405,Marble Ridge Colony School #1168,Marble Ridge Colony Box 310,Hodgson,R0C 1N0,(204) 372-8830,(204) 372-8830,K to 12,English
406,Centennial School #1483,19 Centennial Avenue,Selkirk,R1A 0C8,(204) 482-3265,(204) 785-2209,K to 6,"Early Start French, English, French: Communication and Culture - Grades 4-12"
407,Daerwood School #1040,211 Main Street,Selkirk,R1A 1R7,(204) 482-4326,(204) 482-3033,K to 6,"Early Start French, English, French: Communication and Culture - Grades 4-12"
408,East Selkirk Middle School #2256,Box 310 1140 Strathcona Road,East Selkirk,R0E 0M0,(204) 785-2036,(204) 785-2465,5 to 9,"English, French: Communication and Culture - Grades 4-12, Ukrainian"
409,Happy Thought School #1181,Box 6 Group 35 Rr1,East Selkirk,R0E 0M0,(204) 482-4521,(204) 785-2872,K to 4,"Early Start French, English, French: Communication and Culture - Grades 4-12, Ukrainian"
410,Lockport School #1657,129 Lockport Road,Lockport,R1A 3H6,(204) 757-9881,(204) 757-2624,7 to 9,"English, French: Communication and Culture - Grades 4-12"
411,Lord Selkirk Adult Learning Program #2168,205 Mercy Street,Selkirk,R1A 2C8,(204) 482-2121,(204) 482-2124,9 to 12,English
412,Lord Selkirk Regional Secondary #1641,221 Mercy Street,Selkirk,R1A 2C8,(204) 482-6926,(204) 785-2571,10 to 12,"Early Immersion, English, French: Communication and Culture - Grades 4-12"
413,Mapleton School #1598,112 Calder Road,Selkirk,R1A 4B5,(204) 482-4409,(204) 482-6771,K to 6,"Early Start French, English, French: Communication and Culture - Grades 4-12"
414,Netley School #2111,Box 100,Petersfield,R0C 2L0,(204) 738-4630,(204) 738-4697,K to 12,English
415,Robert Smith Elementary #1897,300 Sophia Street,Selkirk,R1A 2E2,(204) 482-3677,(204) 482-8240,K to 6,"Early Start French, English, French: Communication and Culture - Grades 4-12"
416,Ruth Hooker School #1799,430 Morris Avenue,Selkirk,R1A 1B4,(204) 482-3614,(204) 482-3078,K to 6,"Early Start French, English, French: Communication and Culture - Grades 4-12"
417,Selkirk Junior High #1835,516 Stanley Avenue,Selkirk,R1A 0S1,(204) 785-8514,(204) 482-1248,7 to 9,"Early Immersion, English, French: Communication and Culture - Grades 4-12"
418,St. Andrews School #1640,8 St. Andrews Road,St. Andrews,R1A 2Y1,(204) 334-6083,(204) 334-3148,K to 6,"Early Start French, English, French: Communication and Culture - Grades 4-12"
419,Walter Whyte School #1343,Box 189,Grand Marais,R0E 0T0,(204) 754-2240,(204) 754-2194,K to 9,"Early Start French, English, French: Communication and Culture - Grades 4-12"
420,William S. Patterson School #1288,Box 100,Clandeboye,R0C 0P0,(204) 738-4700,(204) 738-2574,K to 6,"Early Start French, English, French: Communication and Culture - Grades 4-12"
421,cole Bonaventure #2083,516a Avenue Stanley,Selkirk,R1A 0S1,(204) 785-8284,(204) 482-8370,M to 6,Early Immersion
422,Archwood School #1136,800 Archibald Street,Winnipeg,R2J 0Y4,(204) 233-7983,(204) 233-7989,K to 8,"English, French: Communication and Culture - Grades 4-12"
423,Collge Bliveau #1878,296 Chemin Speers,Winnipeg,R2J 1M7,(204) 255-3205,(204) 255-0692,7 to 12,Early Immersion
424,Collge Jeanne-Sauv #2027,1128 Rue Dakota,Winnipeg,R2N 3T8,(204) 257-0124,(204) 256-0867,9 to 12,Early Immersion
425,Dakota Collegiate #1823,661 Dakota Street,Winnipeg,R2M 3K3,(204) 256-4366,(204) 257-4347,9 to 12,"English, French: Communication and Culture - Grades 4-12"
426,Darwin School #1441,175 Darwin Street,Winnipeg,R2M 4A9,(204) 257-2904,(204) 257-1605,K to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
427,Dr. D. W. Penner School #1589,121 Hazelwood Crescent,Winnipeg,R2M 4E4,(204) 256-1135,(204) 255-3969,K to 6,"English, French: Communication and Culture - Grades 4-12"
428,Frontenac School #1128,866 Autumnwood Drive,Winnipeg,R2J 1C1,(204) 257-0609,(204) 257-7390,K to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
429,General Vanier School #1039,18 Lomond Boulevard,Winnipeg,R2J 1Y2,(204) 255-1400,(204) 255-1442,K to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
430,Glenlawn Collegiate #1530,770 St. Mary'S Road,Winnipeg,R2M 3N7,(204) 233-3986,(204) 233-9212,9 to 12,"English, French: Communication and Culture - Grades 4-12"
431,Glenwood School #1336,51 Blenheim Avenue,Winnipeg,R2M 0H9,(204) 233-3619,(204) 235-0616,K to 8,"English, French: Communication and Culture - Grades 4-12"
432,H. S. Paul School #2020,160 Southglen Boulevard,Winnipeg,R2N 3J3,(204) 254-7477,(204) 255-9093,K to 8,"English, French: Communication and Culture - Grades 4-12"
433,Hastings School #1017,50 Hastings Boulevard,Winnipeg,R2M 3X5,(204) 253-1371,(204) 256-7954,K to 8,"English, French: Communication and Culture - Grades 4-12"
434,Highbury School #2062,99 Highbury Road,Winnipeg,R2N 2N5,(204) 254-5078,(204) 253-5333,K to 8,"English, French: Communication and Culture - Grades 4-12"
435,Island Lakes Community School #2152,445 Island Shore Blvd.,Winnipeg,R3X 2B4,(204) 254-6247,(204) 254-6388,K to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
436,J. H. Bruns Collegiate #1246,250 Lakewood Boulevard,Winnipeg,R2J 3A2,(204) 257-2928,(204) 253-2149,9 to 12,"English, French: Communication and Culture - Grades 4-12"
437,Lavallee School #1571,505 St. Anne'S Road,Winnipeg,R2M 3E5,(204) 253-1388,(204) 254-6716,K to 8,"English, French: Communication and Culture - Grades 4-12"
438,Louis Riel S.D. Arts And Technology Ctr. #1171,5 Debourmont Avenue,Winnipeg,R2J 1J9,(204) 237-8951,(204) 231-0038,11 to 12,English
439,Marion School #1542,619 Desmeurons Street,Winnipeg,R2H 2R1,(204) 233-2893,(204) 233-2894,K to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
440,Minnetonka School #1156,200 Minnetonka Street,Winnipeg,R2M 3Y6,(204) 257-8114,(204) 257-2614,K to 8,"English, French: Communication and Culture - Grades 4-12"
441,Nelson Mcintyre Collegiate #1833,188 St. Mary'S Road,Winnipeg,R2H 1H9,(204) 237-0219,(204) 237-1615,9 to 12,"English, French: Communication and Culture - Grades 4-12"
462,Crossroads Learning Centre Inc. #2157,Unit H- 2211 Mcphillips Street,Winnipeg,R2V 3M5,(204) 953-2030,(204) 694-0779,9 to 12,English
463,Horizons Learning Centres #2164,Unit G - 431 Thames Avenue,Winnipeg,R2L 0V4,(204) 772-1234,(204) 786-1102,11 to 12,English
464,Manitoba Institute Of Trades And Tech. #1956,130 Henlow Bay,Winnipeg,R3Y 1G4,(204) 989-6500,(204) 488-4152,11 to 12,English
465,Mitt Adult Learning Centres #2332,"Newport Centre, 2f Unit 510 330 Portage Avenue",Winnipeg,R3C 0C4,(204) 786-1115,() -,11 to 12,English
466,Portage Adult Learning Centre #2179,110 Saskatchewan Avenue W.,Portage La Prairie,R1N 0M1,(204) 857-6304,(204) 857-6358,9 to 12,English
467,St. Norbert Adult Education Centre #2187,Box 250 35th Ave. De La Digue,St. Norbert,R3V 1L6,(204) 261-3312,(204) 275-8847,9 to 12,English
468,St. Vital Adult Education Centre #2210,533a St. Anne'S Road,Winnipeg,R2M 3E8,(204) 254-1618,(204) 255-2129,11 to 12,English
469,Ufcw Training Centre #2193,2nd Floor-880 Portage Avenue,Winnipeg,R3G 0P1,(204) 775-8329,(204) 772-7601,9 to 12,English
470,Dauphin Regional Comp Secondary #1072,330 Mountain Road North,Dauphin,R7N 2V6,(204) 638-4629,(204) 638-4671,9 to 12,"Early Immersion, English"
471,Ethelbert School #1161,Box 241,Ethelbert,R0L 0T0,(204) 742-3265,(204) 742-3460,K to 12,"English, French: Communication and Culture - Grades 4-12"
472,Gilbert Plains Collegiate Institute #1889,Box 70,Gilbert Plains,R0L 0X0,(204) 548-2551,(204) 548-2773,9 to 12,"English, French: Communication and Culture - Grades 4-12"
473,Gilbert Plains Elementary #1667,Box 397,Gilbert Plains,R0L 0X0,(204) 548-2822,(204) 548-2029,K to 8,English
474,Goose Lake High #1582,Box 759,Roblin,R0L 1P0,(204) 937-2138,(204) 937-2267,9 to 12,"English, French: Communication and Culture - Grades 4-12"
475,Grandview School #1735,Box 279,Grandview,R0L 0Y0,(204) 546-2882,(204) 546-3026,K to 12,"English, French: Communication and Culture - Grades 4-12"
476,Henderson Elementary #1223,911 Bond Street,Dauphin,R7N 3J7,(204) 638-4653,(204) 638-3912,K to 6,English
477,Lt. Col. Barker V.C. School #1457,1516 Bond Street,Dauphin,R7N 0K4,(204) 638-4588,(204) 638-3808,K to 5,English
478,Mackenzie Middle School #1323,212 - 1st Street N.E.,Dauphin,R7N 1B7,(204) 638-3323,(204) 638-4810,6 to 8,"Early Immersion, English, Ukrainian"
479,Ochre River School #1118,General Delivery,Ochre River,R0L 1K0,(204) 733-2559,(204) 733-2380,K to 8,English
490,Burntwood Elementary #1707,103 Arctic Drive,Thompson,R8N 1G8,(204) 677-6100,(204) 677-1380,K to 8,"English, French: Communication and Culture - Grades 4-12"
491,Deerwood School #1417,101 Beaver Crescent,Thompson,R8N 1C5,(204) 677-6125,(204) 677-6132,K to 8,"English, French: Communication and Culture - Grades 4-12"
492,Juniper School #1684,306 Juniper Drive,Thompson,R8N 0S9,(204) 677-6242,(204) 677-6249,K to 8,"English, French: Communication and Culture - Grades 4-12"
493,R. D. Parker Collegiate #1341,272 Thompson Drive North,Thompson,R8N 0C4,(204) 677-6200,(204) 778-5050,9 to 12,"Early Immersion, English, French: Communication and Culture - Grades 4-12"
494,Riverside School #1033,119 Riverside Drive,Thompson,R8N 0X1,(204) 677-6115,(204) 677-4823,K to 8,"Early Immersion, English, French: Communication and Culture - Grades 4-12"
495,Wapanohk Community School #1403,453 Princeton Drive,Thompson,R8N 1W8,(204) 677-6140,(204) 677-6176,K to 8,"Cree, English"
496,Westwood Elementary #1495,46 Mallard Crescent,Thompson,R8N 0X9,(204) 677-6190,(204) 677-3660,K to 8,"English, French: Communication and Culture - Grades 4-12"
497,Day Treatment Center #1780,685 William Avenue,Winnipeg,R3E 0Z2,(204) 000-0000,(204) 000-0000,00 to 00,English
498,Kindale Occupational Centre #1954,Pioneer Industrial Park,Steinbach,R0A 2A0,(204) 326-9856,(0) -,00 to 00,English
499,Kinsmen Day Nursery #1955,462 Reimer Avenue,Steinbach,R0A 2A0,(204) 326-1866,(0) -,00 to 00,English
500,M.A.C.L.D. #1047,210-720 Broadway Avenue,Winnipeg,R3G 0X1,(204) 000-0000,(204) 000-0000,00 to 00,English
501,Not Enrolled In A Mb School #2269,1181 Portage Avenue,Winnipeg,R3G 0T3,(204) 000-0000,(204) 000-0000,N to 12,English
502,Rehabilitation Center #1831,633 Wellington Crescent,Winnipeg,R3M 0A8,(204) 000-0000,(204) 000-0000,00 to 00,English
503,Airport Colony School #1580,P.O. Box 967,Portage La Prairie,R1N 3C4,(204) 274-2412,(204) 274-2316,K to 12,"English, German"
504,Assiniboine Valley Christian School #2307,"Site 170, Box 37, R.R. #1",Brandon,R7A 5Y1,(204) 728-3229,(204) 728-3229,1 to 9,English
505,Borderview Christian Day School #2069,Box 103,Stuartburn,R0A 2B0,(204) 427-2932,() -,1 to 10,English
506,Casa Montessori And Orff School #2268,80 Fennell Street,Winnipeg,R3T 3M4,(204) 487-0167,(204) 487-2944,K to 6,"English, Francais"
507,Cgf Mitchell Academy #2318,32033 Road 32e,Mitchell,R5G 2L9,(204) 346-9799,(204) 000-0000,1 to 5,English
508,Christ Full Gospel Academy #2220,Box 107 75 Elm Street,Plum Coulee,R0G 1R0,(204) 829-3212,(204) 829-3212,1 to 12,English
509,Church Of God Academy #2237,P.O. Box 3368,Steinbach,R5G 1P6,(204) 434-6643,() -,1 to 12,English
510,City Light Christian School #2323,Box 74 Rr 5 Site 50,Brandon,R7A 5Y5,(204) 725-2973,() -,1 to 9,English
511,Country View School #1526,Box 3910,Steinbach,R5G 1P9,(204) 326-1481,(204) 326-4788,1 to 8,English
512,Crystal Creek School #2287,550 Broadway Street,Crystal City,R0K 0N0,(204) 873-2458,(204) 873-2469,1 to 8,English
513,Edrans Christian School #2150,"Box 1 R.R. #1, Grp 15",Austin,R0H 0C0,(204) 466-2865,(204) 466-2994,K to 12,English
514,Freedom International School #2317,771 Sargent Avenue,Winnipeg,R3E 0B5,(204) 219-5799,() -,8 to 12,English
515,Grace Valley Mennonite Academy #2108,Box 839,Winkler,R6W 4A9,(204) 829-3301,(204) 829-3038,K to 12,English
516,Greenland School #1176,"Box 22, Grp. 15, R.R.#1",Ste. Anne,R5H 1R1,(204) 355-4922,(204) 355-9280,1 to 9,English
517,Horndean Christian Day School #1963,Box 79,Horndean,R0G 0Z0,(204) 829-3354,() -,1 to 12,English
518,Hosanna Christian School #2263,Unit C-1 431 Thames Street,Winnipeg,R2L 0V4,(204) 944-8237,() -,1 to 12,English
519,Interlake Mennonite Fellowship School #1236,Box 388,Arborg,R0C 0A0,(204) 364-2328,(0) -,1 to 12,English
520,Lake Centre Mennonite Fellowship Sch. #1509,Box 838,Arborg,R0C 0A0,(204) 364-2201,(0) -,K to 10,English
521,Lightfield Mennonite School #2273,Box 41,Hordean,R0G 0Z0,(204) 324-5381,() -,1 to 10,English
522,Lighthouse Christian School #2145,Box 1360,Portage La Prairie,R1N 3N9,(204) 428-5332,(204) 428-5386,K to 12,English
563,Canadian International School (Cisb) #2288,C/O Ed. Admin. Services Branch 507-1181 Portage Avenue,Winnipeg,R3G 0T3,(204) 000-0000,(204) 000-0000,9 to 12,English
564,Clifford School #2201,C/O Ed. Admin Services Branch 507-1181 Portage Ave.,Winnipeg,R3G 0T3,(204) 999-9999,() -,K to 12,English
565,Cmis Canada #2274,C/O Ed. Admin. Services Branch 507 - 1181 Portage Avenue,Winnipeg,R3G 0T3,(204) 000-0000,(204) 000-0000,K to 12,English
566,Heritage International School #2253,C/O Education Admin. Services 507 - 1181 Portage Avenue,Winnipeg,R3G 0T3,(204) 999-9999,(204) 999-9999,K to 12,English
567,Kemer Canadian High School Programme #2251,C/O Education Admin. Services 507 - 1181 Portage Avenue,Winnipeg,R3G 0T3,(204) 999-9999,(204) 999-9999,K to 12,English
568,Lertlah International Program School #2214,C/O Ed. Admin Services Branch 507-1181 Portage Avenue,Winnipeg,R3G 0T3,(204) 999-9999,(204) 999-9999,K to 8,English
