name,source_facility_type,source_id,full_address,provider
Makami College Inc.- Edmonton,Private Institution,BPTB,"Unit #137, Bonnie Doon Centre, 8330 82 Avenue NW, , Edmonton, Alberta, Canada, (780) 468-3454",Employment and Social Development Canada
Centennial Flight Centre Inc.,Private Institution,BPTC,"Hangar 17,Villeneuve Airport, 26 - 27018 SH633, Sturgeon County, Alberta, Canada, (780) 451-7676",Employment and Social Development Canada
Digital School,Private Institution,BPTE,"#202 , 10010 - 100 Street, Edmonton, Alberta, Canada, (780) 414-0200",Employment and Social Development Canada
Clearwater College,Private Institution,BPTG,"Box 100, Caroline, Alberta, Canada, 4037222225",Employment and Social Development Canada
Academy of Learning-Medicine Hat,Private Institution,BPTI,"115 3030 13 Ave., S.E., Medicine Hat, Alberta, Canada, (403) 526-5833",Employment and Social Development Canada
Delmar College - Red Deer Campus,Private Institution,BPTJ,"4929-49 Street, Red Deer, Alberta, Canada, (403) 347-2018",Employment and Social Development Canada
Alberta College of Massage Therapy-Fort McMurray,Private Institution,BPTK,"9908 Penhorwood Street, Fort McMurray, Alberta, Canada, (877) 768-8400",Employment and Social Development Canada
Professional Institute of Massage Therapy,Private Institution,BPTM,"#310 15 Royal Vista Place NW, Calgary, Alberta, Canada, (403) 247-4319",Employment and Social Development Canada
Alberta College of Massage Therapy-Edmonton,Private Institution,BPTO,"2nd Floor, 10434 - 122 Street, Edmonton, Alberta, Canada, (780) 916-6888",Employment and Social Development Canada
Professional Medical Associates - Three Hills,Private Institution,BPTS,"330 - 5th Avenue NE, Three Hills, Alberta, Canada, 780-460-8410",Employment and Social Development Canada
Manual Osteopathic College of Canada - Calgary,Private Institution,BPTT,"#100, 1167 Kensington Crescent, NW, Calgary, Alberta, Canada, 877 768-8400",Employment and Social Development Canada
Ace Career College,Private Institution,BPTU,"215 , 100 4 Avenue SW, Calgary, Alberta, Canada, 4035544742",Employment and Social Development Canada
Canadian Imperial College,Private Institution,BPTV,"11525 23 Avenue NW, Edmonton, Alberta, Canada, 7808518834",Employment and Social Development Canada
Cree8iv Ink Training,Private Institution,BPTW,"10024 100 Avenue, Grande Prairie, Alberta, Canada, 7808317387",Employment and Social Development Canada
The Royal Alberta College,Private Institution,BPTX,"Room 150 10045 156 Street, The Orange Hub, Edmonton, Alberta, Canada, 7808874973",Employment and Social Development Canada
Visionary Centre for the Performing Arts,Private Institution,BPTY,"2804 Calgary Trail NW, Edmonton, Alberta, Canada, 7804604430",Employment and Social Development Canada
Visual College of Art and Design of Calgary,Private Institution,BPTZ,"100 1035 7th Avenue SW, Calgary, Alberta, Canada, 4033511022",Employment and Social Development Canada
MCG Career College - Calgary,Private Institution,BPUA,"Unit 220, 4774 Westwinds Drive, NE, Calgary, Alberta, Canada, (403) 993-7108",Employment and Social Development Canada
QCom College of Technology (QCT),Private Institution,BPUB,"417 14 Street NW, Calgary, Alberta, Canada, 403-460-7080",Employment and Social Development Canada
East-West College,Private Institution,BPUC,"10541 106 Street NW, Edmonton, Alberta, Canada, 587-438-2955",Employment and Social Development Canada
Alison College,Private Institution,BPUD,"#201, 221-18 Street SE, Calgary, Alberta, Canada, (778) 991-2884",Employment and Social Development Canada
Glenbow College,Private Institution,BPUE,"100, 940 6th Ave SW, Calgary, Alberta, Canada, (403) 681-9296",Employment and Social Development Canada
East-West College of Business & Technology - Calgary City Centre,Private Institution,BPUF,"Suite 315, 505-8th Ave SW, Calgary, Alberta, Canada,",Employment and Social Development Canada
Capstone Edge College,Private Institution,BPUG,"202A, 2750 22 Street NE, Calgary, Alberta, Canada, (403)903-1383",Employment and Social Development Canada
Manual Osteopathic College of Canada – Grande Prairie,Private Institution,BPUH,"#201, 11402 100 St , Grande Prairie, Alberta, Canada, 1-877-768-8400",Employment and Social Development Canada
Manual Osteopathic College of Canada – Lloydminster,Private Institution,BPUI,"Bay 1A, 5712 44 St, Lloydminster, Alberta, Canada, 1-877-768-8400",Employment and Social Development Canada
Risio Institute for Digital Dental Education,Private Institution,BPUJ,"550, 433 Marlborough Way NE, Calgary, Alberta, Canada, 403-401-1734",Employment and Social Development Canada
GD College,Private Institution,BPUK,"108-1935 27 Ave NE, Calgary, Alberta, Canada, (403) 991-8211",Employment and Social Development Canada
Professional Institute of Massage Therapy Calgary,Private Institution,BPUM,"#310, 15 Royal Vista Place NW, Calgary, Alberta, Canada,",Employment and Social Development Canada
Calgary-Okotoks Flying School Inc.,Private Institution,BPUN,"2 Winters Way, Okotoks, Alberta, Canada, 587) 894-2549",Employment and Social Development Canada
Prairie Western College,Private Institution,BPUO,"915 33 Street NE, Calgary, Alberta, Canada,",Employment and Social Development Canada
Sundance College - Edmonton,Private Institution,BPUP,"200, 10115 - 100A STREET, EDMONTON, Alberta, Canada,",Employment and Social Development Canada
Academy of Learning Airdrie,Private Institution,BPUQ,"#203, 28 Gateway Drive NE, Airdrie, Alberta, Canada,",Employment and Social Development Canada
Reeves College Edmonton South,Private Institution,BPUR,"Unit 103, 9910 39th Avenue, Edmonton, Alberta, Canada,",Employment and Social Development Canada
Adventure Aviation Inc,Private Institution,BPUS,"Alberta, Canada,",Employment and Social Development Canada
Brookes College,Private Institution,BPUT,"#210, 6424-36 Street NE, Calgary, Alberta, Canada, 403-702-6729",Employment and Social Development Canada
Hamptons College,Private Institution,BPUU,"202,4015- 17 Avenue SE, Calgary, Alberta, Canada, 403-919-1429",Employment and Social Development Canada
Beauty Maker Institute,Private Institution,BPUV,"5751 Signal Hill Centre SW, Calgary, Alberta, Canada, 403-608-7705",Employment and Social Development Canada
FOOTHILLS HELICOPTER TRAINING ACADEMY LTD,Private Institution,BPUW,"Unit 15, 4 Winters Way, Okotoks, Alberta, Canada, 403-969-5524",Employment and Social Development Canada
Hair Inc. Academy,Private Institution,BPUX,"8107 104 Street, Edmonton, Alberta, Canada, 780-700-0279",Employment and Social Development Canada
AGA Academy,Private Institution,BPUY,"1111 - 33 Street NE, Calgary, Alberta, Canada, (403) 598-5865",Employment and Social Development Canada
Reeves College - Edmonton North,Private Institution,BPUZ,"Units 174 and 200, Northtown Mall, 9450 - 137 Avenue, Edmonton, Alberta, Canada, 587-442-1098",Employment and Social Development Canada
Reeves College - Calgary South,Private Institution,BPVA,"9, 6624 Centre Street SE, Calgary, Alberta, Canada, 1-877-915-7288",Employment and Social Development Canada
University of Alberta,University,BUAA,"Office of the Registrar , 201B Adminstration Bldg, 11380 - 89 Ave NW , Edmonton, Alberta, Canada, (780) 492-3723",Employment and Social Development Canada
Athabasca University,University,BUAB,"1 University Drive, Office Of The Registrar, Athabasca, Alberta, Canada, (403) 675-6168",Employment and Social Development Canada
University of Calgary,University,BUAC,"Fee/Cashiers' Office, 2500 University Drive NW, Calgary, Alberta, Canada, (403) 220-5706",Employment and Social Development Canada
University of Lethbridge,University,BUAD,"4401 University Dr., Lethbridge, Alberta, Canada, 4033292000",Employment and Social Development Canada
Concordia University of Edmonton,University,BUAM,"7128 Ada Boulevard, Edmonton, Alberta, Canada, (403) 479-8481",Employment and Social Development Canada
"King's University,The",University,BUAO,"9125 - 50th Street, Edmonton, Alberta, Canada, (780) 428-0727",Employment and Social Development Canada
Keyano College,Technical and Vocational,BVAH,"8115 Franklin Ave., Fort Mcmurray, Alberta, Canada, (780) 791-4800",Employment and Social Development Canada
Northern Alberta Institute of Technology,Technical and Vocational,BVAI,"11762 - 106th Street, Edmonton, Alberta, Canada, (780) 471-6248",Employment and Social Development Canada
Olds College,Technical and Vocational,BVAJ,"4500-50th St., Olds, Alberta, Canada, 4035568281",Employment and Social Development Canada
Southern Alberta Institute of Technology,Technical and Vocational,BVAL,"1301 16 Ave. N.W., Calgary, Alberta, Canada, 4032848702",Employment and Social Development Canada
Lakeland College,Technical and Vocational,BVAM,"5707 47 Avenue West, Vermillion, Alberta, Canada, (780) 853-8400",Employment and Social Development Canada
Banff Centre,Technical and Vocational,BVAP,"C/O Accounts Receivable, P.O. Box 1020, Stn 51,, 107 Tunnel Mountain Drive, Banff, Alberta, Canada, 4037626184",Employment and Social Development Canada
Alberta University of the Arts,Technical and Vocational,BVAY,"1407 14th Ave., N.W., Calgary, Alberta, Canada, (403) 284-7634",Employment and Social Development Canada
Yellowhead Tribal College,Miscellaneous,BZAA,"10045-156 Street, The Orange Hub, Edmonton, Alberta, Canada, (780) 484-0303",Employment and Social Development Canada
