,name,source_facility_type,ages,capacity,infant,toddler,school_age,facility_type,full_address,provider
152,FRFRC After School Care,Part-time Centre,"Preschool, School-age",30.0,N,Y,Y,Day Care,60 Veterans Drive Fredericton E3A 4C3 (506) 474-0252,Province of New Brunswick
153,Full Circle Academy,Part-time Centre,School-age,60.0,N,N,Y,Day Care,125 Russ Howard Drive Moncton E1C 0L7 (506) 382-7529,Province of New Brunswick
154,FULL CIRCLE ACADEMY 2,Full-time Centre,"Preschool, School-age",24.0,N,Y,Y,Day Care,125 Russ Howard Drive Moncton E1C 0L7 (506) 382-7529,Province of New Brunswick
155,Future Footprints Family Centre,Full-time Centre,"Preschool, School-age",60.0,N,Y,Y,Day Care,9 School Street Perth-Andover E7H 4T4 (506) 273-4250,Province of New Brunswick
156,Garderie Grand Pas,Full-time Centre,Preschool,60.0,N,Y,N,Day Care,67 Road Ragged Point Saint John E2K 5C3 (506) 658-4607,Province of New Brunswick
157,Garderie Jo-Jo,Home,School-age,9.0,N,N,Y,Home,211 STE-THRSE DIEPPE E1A 1T2 (506) 382-9507,Province of New Brunswick
158,Garderie a petits pas,Full-time Centre,Preschool,60.0,N,Y,N,Day Care,67 Road Ragged Point Saint John E2K 5C3 (506) 658-4607,Province of New Brunswick
159,GARDERIE ABC DAYCARE,Full-time Centre,Preschool,44.0,N,Y,N,Day Care,210 Road Mill Moncton E1A 4B1 (506) 857-8999,Province of New Brunswick
160,GARDERIE ABC DEUX,Part-time Centre,School-age,18.0,N,N,Y,Day Care,82 Street Drummond Moncton E1A 2Z2 (506) 857-8999,Province of New Brunswick
161,GARDERIE ABC TROIS,Full-time Centre,"Preschool, School-age",32.0,N,Y,Y,Day Care,210 Road Mill Moncton E1A 4B1 (506) 857-8999,Province of New Brunswick
162,Garderie Acamie,Full-time Centre,"Infant, Preschool",48.0,Y,Y,N,Day Care,295 boulevard St-Pierre Ouest Caraquet E1W 1B7 (506) 727-6737,Province of New Brunswick
163,Garderie Adorable,Full-time Centre,"Infant, Preschool",24.0,Y,Y,N,Day Care,215 chemin Lac Memramcook E4K 1R6 (506) 758-9972,Province of New Brunswick
164,GARDERIE ANNE-MARIE 2,Full-time Centre,"Infant, Preschool, School-age",60.0,Y,Y,Y,Day Care,4572 rue Principale Saint-Antoine E4V 1R4 (506) 525-2722,Province of New Brunswick
165,GARDERIE APRES CLASSE COCCINELLE II,Part-time Centre,School-age,60.0,N,N,Y,Day Care,67 Road Ragged Point Saint John E2K 5C3 (506) 658-4607,Province of New Brunswick
166,GARDERIE APRES CLASSE LA COCCINELLE,Part-time Centre,School-age,60.0,N,N,Y,Day Care,67 Road Ragged Point Saint John E2K 5C3 (506) 658-4609,Province of New Brunswick
167,Garderie Arc-en-ciel,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,166 rue Lakeburn Dieppe E1A 2E8 (506) 382-4693,Province of New Brunswick
168,GARDERIE ARLEQUIN DAYCARE INC.,Full-time Centre,"Infant, Preschool, School-age",60.0,Y,Y,Y,Day Care,2311 Route 15 Irishtown E1H 2L4 (506) 856-3418,Province of New Brunswick
169,GARDERIE ARLEQUIN II DAYCARE,Full-time Centre,"Preschool, School-age",52.0,N,Y,Y,Day Care,444 Drive Mclaughlin Moncton E1A 4R4 (506) 857-8010,Province of New Brunswick
170,GARDERIE ARLEQUIN III DAYCARE,Full-time Centre,"Infant, Preschool, School-age",48.0,Y,Y,Y,Day Care,1122 Drive Elmwood Moncton E1H 2H2 (506) 384-5332,Province of New Brunswick
171,Garderie au Bourgeonnet,Full-time Centre,"Infant, Preschool",48.0,Y,Y,N,Day Care,67 Road Ragged Point Saint John E2K 5C3 (506) 658-4607,Province of New Brunswick
172,Garderie au coin des petits,Full-time Centre,"Preschool, School-age",27.0,N,Y,Y,Day Care,3 rue Notre Dame Kedgwick E8B 1H2 (506) 284-9811,Province of New Brunswick
173,Garderie Au Pays Des Enfants Inc.,Full-time Centre,"Preschool, School-age",52.0,N,Y,Y,Day Care,B 272 rue Notre Dame Atholville E3N 3Z9 (506) 753-6038,Province of New Brunswick
174,Garderie au pays des merveilles 2,Part-time Centre,School-age,15.0,N,N,Y,Day Care,162 chemin Cormier Village Grand-Barachois (506) 532-9536,Province of New Brunswick
175,GARDERIE AU PTIT CAROUSSEL,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,76 rue Mathias Dieppe E1A 9H6 (506) 870-0563,Province of New Brunswick
176,Garderie Au rve des anges,Full-time Centre,School-age,24.0,N,N,Y,Day Care,8 rue Du Ruisseau Saint-Jacques E7B 2Y6 (506) 736-0800,Province of New Brunswick
177,Garderie Au Royaume en chant T,Full-time Centre,"Infant, Preschool, School-age",27.0,Y,Y,Y,Day Care,5 rue Rue Des Sapins Kedgwick E8B 2B3 (506) 284-1017,Province of New Brunswick
178,Garderie aux P'tits Amours Inc.,Full-time Centre,"Infant, Preschool, School-age",60.0,Y,Y,Y,Day Care,65 rue LaPlante Est Petit-Rocher E8J 1H4 (506) 783-7070,Province of New Brunswick
179,Garderie aux P'tits Amours Inc. 2,Full-time Centre,School-age,52.0,N,N,Y,Day Care,65 rue LaPlante Est Petit-Rocher E8J 1H4 (506) 783-7070,Province of New Brunswick
180,GARDERIE BEAUSJOUR,Part-time Centre,School-age,60.0,N,N,Y,Day Care,810 chemin Ohio Shediac E4P 2K1 (506) 533-9461,Province of New Brunswick
181,Garderie Bimbo Daycare Inc.,Full-time Centre,"Infant, Preschool",123.0,Y,Y,N,Day Care,644 Drive University Bathurst E2A 2W6 (506) 548-8069,Province of New Brunswick
182,Garderie Bourgeoys 2,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,248 rue Marguerite Bourgeoys Caraquet E1W 1A4 (506) 727-6883,Province of New Brunswick
183,Garderie Carrefour des amis,Full-time Centre,"Infant, Preschool, School-age",60.0,Y,Y,Y,Day Care,806 rue cole Beresford E8K 1V5 (506) 542-1907,Province of New Brunswick
184,Garderie centre ducatif les petits pas,Full-time Centre,"Infant, Preschool",60.0,Y,Y,N,Day Care,9 rue Violette Saint-Quentin E8A 2B7 (506) 235-2942,Province of New Brunswick
185,Garderie centre ducatif les petits pas 2,Part-time Centre,School-age,48.0,N,N,Y,Day Care,210 rue Mgr Martin Est Saint-Quentin E8A 1V4 (506) 235-6024,Province of New Brunswick
186,GARDERIE CHAMPLAIN DAYCARE,Full-time Centre,"Infant, Preschool",44.0,Y,Y,N,Day Care,66 Promenade Newcombe Moncton E1A 7K2 (506) 383-0077,Province of New Brunswick
187,GARDERIE CHAMPLAIN DAYCARE 2,Part-time Centre,School-age,40.0,N,N,Y,Day Care,66 Promenade Newcombe Moncton E1A 9V4 (506) 383-0077,Province of New Brunswick
188,Garderie Champlain Daycare 3,Full-time Centre,"Infant, Preschool",41.0,Y,Y,N,Day Care,80 Promenade Newcombe Moncton E1A 9V4 (506) 383-0078,Province of New Brunswick
189,Garderie Champlain Daycare 4,Part-time Centre,School-age,43.0,N,N,Y,Day Care,80 Promenade Newcombe Moncton E1A 9V4 (506) 383-0078,Province of New Brunswick
190,GARDERIE CHATEAU MAGIQUE 2015,Full-time Centre,"Infant, Preschool, School-age",58.0,Y,Y,Y,Day Care,40 Robin rue Nguac E9G 0B1 (506) 779-6057,Province of New Brunswick
191,GARDERIE CHEZ ALINOU,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,16 Street Paul Grand-Barachois E4P 7Y5 (506) 351-0904,Province of New Brunswick
192,Garderie chez Christine,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,295 chemin Lebouthillier St-Simon E8P 1Z5 (506) 726-0315,Province of New Brunswick
193,Garderie chez Cyn,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,114 chemin Rang 7 Et 8 Kedgwick E8B 1W1 (506) 284-3280,Province of New Brunswick
194,Garderie Chez Dd,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,1120 rue Saulnier Ouest Tracadie-Sheila E1X 2J4 (506) 395-5482,Province of New Brunswick
195,Garderie chez Gigi,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,1808 chemin Saulnier Ouest Saint-Irene E1X 2B1 (506) 395-4749,Province of New Brunswick
196,Garderie chez Ginette,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,1741 Route 315 Dunlop E8K 2K7 (506) 226-0829,Province of New Brunswick
197,GARDERIE CHEZ ISA,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,50 rue Surette Dieppe E1A 8H7 (506) 386-7197,Province of New Brunswick
198,Garderie chez Julie,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,7692 Route 17 Kedgwick E8B 1W5 (506) 284-0238,Province of New Brunswick
199,GARDERIE CHEZ KRI KRI,Full-time Centre,"Preschool, School-age",20.0,N,Y,Y,Day Care,14 rue Dominique Grande-Digue E4R 0B9 (506) 531-0880,Province of New Brunswick
200,GARDERIE CHEZ LISE,Part-time Centre,School-age,15.0,N,N,Y,Day Care,23 croissant Murielle Dieppe E1A 7R3 (506) 382-6845,Province of New Brunswick
201,GARDERIE CHEZ NADI,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,55 Promenade Madawaska Dieppe E1A 5C8 (506) 229-2265,Province of New Brunswick
202,Garderie chez Nadine,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,845 chemin Canada Edmundston E3V 3X1 (506) 737-8425,Province of New Brunswick
203,Garderie chez Nini,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,6395 Route 17 Saint-Quentin E8A 2J8 (506) 504-0057,Province of New Brunswick
204,Garderie chez Sabrina,Full-time Centre,"Infant, Preschool, School-age",21.0,Y,Y,Y,Day Care,190 rue Principale Sainte-Anne-de-Madawaska E7E 1B8 (506) 445-1180,Province of New Brunswick
205,GARDERIE CHEZ SMARTIES,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,2175 Route 133 Grand-Barachois E4P 8E8 (506) 874-8857,Province of New Brunswick
206,Garderie Chez Steph,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,267 rue Paquet Caraquet E1W 1A4 (506) 727-0965,Province of New Brunswick
207,GARDERIE CHEZ SYLVIE,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,366 rue Beaumont Dieppe E1A 1A8 (506) 384-7369,Province of New Brunswick
208,Garderie chez Tante Rosi,Full-time Centre,"Infant, Preschool, School-age",59.0,Y,Y,Y,Day Care,5 chemin Gauvin Petite-Lamque E8T 2M9 (506) 344-5655,Province of New Brunswick
209,Garderie chez Tetelle,Full-time Centre,"Preschool, School-age",20.0,N,Y,Y,Day Care,151 chemin Haut-Lamque Haut-Lamque E8T 3M8 (506) 344-5577,Province of New Brunswick
210,Garderie Communautaire Les Schtroumpfs Inc,Full-time Centre,"Infant, Preschool, School-age",49.0,Y,Y,Y,Day Care,203 avenue Loudun Shippagan E8S 1R6 (506) 336-4538,Province of New Brunswick
211,Garderie Cooprative d'Allardville,Full-time Centre,"Preschool, School-age",45.0,N,Y,Y,Day Care,4572 Route 134 Allardville E8L 1E4 (506) 725-2072,Province of New Brunswick
212,Garderie Cooprative de Rogersville,Part-time Centre,School-age,49.0,N,N,Y,Day Care,2 65 rue De L'cole Rogersville E4Y 1V4 (506) 623-8069,Province of New Brunswick
213,Garderie Cooprative de Rogersville II,Full-time Centre,Preschool,30.0,N,Y,N,Day Care,2 50 rue De L'cole Rogersville E4Y 1V7 (506) 623-8069,Province of New Brunswick
214,Garderie Coucou,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,273 rue Du Pecheur Nord Lamque E8T 1K9 (506) 344-2232,Province of New Brunswick
215,Garderie Dandi,Part-time Centre,School-age,60.0,N,N,Y,Day Care,46 rue Upton Moncton E1E 3Z1 (506) 874-0656,Province of New Brunswick
216,Garderie de l'imaginaire,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,1520 rue Principale Saint-Basile E7C 1M8 (506) 353-0650,Province of New Brunswick
217,Garderie de mon enfance,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,67 rue De L'Anse Eel River Crossing E8E 1P9 (506) 686-3207,Province of New Brunswick
218,Garderie des Apprentis-Sages,Full-time Centre,"Infant, Preschool, School-age",24.0,Y,Y,Y,Day Care,8 Street Boucher Campbellton E3N 2P1 (506) 790-5596,Province of New Brunswick
219,Garderie des Grands Amis,Full-time Centre,Preschool,16.0,N,Y,N,Day Care,172 Route 280 Dundee E8E 1Y5 (506) 826-9212,Province of New Brunswick
220,Garderie des Petits Pcheurs,Full-time Centre,"Infant, Preschool, School-age",44.0,Y,Y,Y,Day Care,2474 chemin Acadie Cap-Pel E4N 1C9 (506) 871-5888,Province of New Brunswick
221,Garderie des P'tits Amis,Full-time Centre,"Infant, Preschool, School-age",51.0,Y,Y,Y,Day Care,27 avenue Laboissonniere Edmundston E3V 3S7 (506) 739-9062,Province of New Brunswick
222,Garderie des P'tits Amis 1,Full-time Centre,"Infant, Preschool, School-age",44.0,Y,Y,Y,Day Care,27 avenue Laboissonniere Edmundston E3V 3S7,Province of New Brunswick
223,Garderie des P'tits Marins,Full-time Centre,"Infant, Preschool, School-age",60.0,Y,Y,Y,Day Care,12 chemin Job Grand-Barachois E4P 7P7 (506) 532-5768,Province of New Brunswick
224,GARDERIE DES P'TITS MARINS 2,Full-time Centre,"Infant, Preschool",30.0,Y,Y,N,Day Care,12 chemin Job Grand-Barachois E4P 7P7 (506) 532-5768,Province of New Brunswick
225,GARDERIE DES P'TITS MARINS 3,Part-time Centre,"Preschool, School-age",45.0,N,Y,Y,Day Care,12 chemin Job Grand-Barachois E4P 7P7 (506) 532-5768,Province of New Brunswick
226,GARDERIE DES P'TITS MOLLUSQUES,Full-time Centre,"Infant, Preschool",39.0,Y,Y,N,Day Care,78 rue Mclaughlin Bouctouche E4S 3R2 (506) 743-5433,Province of New Brunswick
227,GARDERIE DES P'TITS MOLLUSQUES 2,Part-time Centre,School-age,34.0,N,N,Y,Day Care,26 rue du Parc Bouctouche E4S 3C5 (506) 743-5433,Province of New Brunswick
228,Garderie des P'tits Mollusques 3,Full-time Centre,"Infant, Preschool, School-age",46.0,Y,Y,Y,Day Care,2114 route 515 Sainte-Marie-de-Kent E4S 2E1 (506) 744-0378,Province of New Brunswick
229,Garderie Doux Clins,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,43 Street Lepage Balmoral E8E 1J1 (506) 826-1902,Province of New Brunswick
230,Garderie Dragon Day Care,Part-time Centre,School-age,60.0,N,N,Y,Day Care,105 rue Notre Dame Atholville E3N 4T1 (506) 759-4488,Province of New Brunswick
231,Garderie du Bonheur,Full-time Centre,"Preschool, School-age",60.0,N,Y,Y,Day Care,13 rue Bellevue Saint-Franois-de-Madawaska E7A 1A4 (506) 739-3994,Province of New Brunswick
232,Garderie du Domaine 2 Inc.,Full-time Centre,"Preschool, School-age",35.0,N,Y,Y,Day Care,100 avenue Fraser Edmundston E3V 1Z8 (506) 735-1619,Province of New Brunswick
233,Garderie du Domaine Inc.,Full-time Centre,"Infant, Preschool",56.0,Y,Y,N,Day Care,100 avenue Fraser Edmundston E3V 1Z8 (506) 735-1619,Province of New Brunswick
234,Garderie du Parc,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,44 rue Du Parc Caraquet E1W 1A7 (506) 727-3397,Province of New Brunswick
235,Garderie cole de la Petite Enfance 2,Full-time Centre,"Infant, Preschool, School-age",60.0,Y,Y,Y,Day Care,4138 rue Principale Tracadie-Sheila E1X 1B8 (506) 395-4013,Province of New Brunswick
236,Garderie Enchante,Full-time Centre,"Preschool, School-age",14.0,N,Y,Y,Day Care,100 rue Aurle Cormier Shediac E4P 9B9 (506) 533-9822,Province of New Brunswick
237,Garderie Familiale Petit Petit,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,146 rue 2e Shippagan E8S 1A8 (506) 336-1102,Province of New Brunswick
238,Garderie Happy Feet Daycare,Full-time Centre,"Infant, Preschool, School-age",60.0,Y,Y,Y,Day Care,338 boulevard Broadway Grand-Sault/Grand Falls E3Z 2K4 (506) 475-9309,Province of New Brunswick
239,GARDERIE HAPPY LITTLE FACES DAY CARE,Full-time Centre,"Infant, Preschool",30.0,Y,Y,N,Day Care,1119 Principale rue Beresford E8K 1E4 (506) 546-5401,Province of New Brunswick
240,GARDERIE INDIGO,Home,School-age,9.0,N,N,Y,Home,11 rue Highlandview Moncton E1A 2K9 (506) 383-5078,Province of New Brunswick
241,Garderie Jade,Full-time Centre,"Infant, Preschool, School-age",43.0,Y,Y,Y,Day Care,225 rue Pointe-Brule Pointe-Brle E8S 2V9 (506) 601-4455,Province of New Brunswick
242,Garderie Jeunes Amigos Inc.,Part-time Centre,School-age,15.0,N,N,Y,Day Care,83 Road Old Shediac Memramcook E4K 1V1 (506) 377-5437,Province of New Brunswick
243,GARDERIE LA CARTINE DAYCARE,Full-time Centre,"Infant, Preschool, School-age",60.0,Y,Y,Y,Day Care,1766 rue Amirault Dieppe E1A 7K2 (506) 384-2278,Province of New Brunswick
244,GARDERIE LA CARTINE DAYCARE 2,Full-time Centre,"Preschool, School-age",57.0,N,Y,Y,Day Care,1766 rue Amirault Dieppe E1A 7K2 (506) 384-2278,Province of New Brunswick
245,GARDERIE LA COCCINELLE,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,50 rue Gilbert-Finn Dieppe E1A 8L4 (506) 899-0673,Province of New Brunswick
246,Garderie La Dcouverte Centre de dveloppement de l'enfant,Full-time Centre,Preschool,60.0,N,Y,N,Day Care,3120 rue Principale Tracadie-Sheila E1X 1A2 (506) 395-5420,Province of New Brunswick
247,Garderie La Floraison,Full-time Centre,Preschool,57.0,N,Y,N,Day Care,140 Street Botsford Moncton E1C 4X5 (506) 855-5987,Province of New Brunswick
248,Garderie La Girouette,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,4 rue Beaulieu Saint-Isidore E8M 1T3 (506) 358-1183,Province of New Brunswick
249,Garderie la Licorne,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,132 rue Du Portage Caraquet E1W 1A8 (506) 727-7150,Province of New Brunswick
250,Garderie la Marelle Daycare,Full-time Centre,"Preschool, School-age",46.0,N,Y,Y,Day Care,1060 chemin Melanson Dieppe E1A 7P2 (506) 384-0707,Province of New Brunswick
251,Garderie la Mlodie (2014) Inc.,Full-time Centre,"Preschool, School-age",39.0,N,Y,Y,Day Care,309 chemin Fox-Creek Dieppe E1A 7M5 (506) 384-7788,Province of New Brunswick
252,GARDERIE LA MLODIE 2 (2014),Full-time Centre,"Infant, Preschool, School-age",49.0,Y,Y,Y,Day Care,345 avenue Bras-D'Or Dieppe E1A 2B6 (506) 852-3636,Province of New Brunswick
253,Garderie La Mlodie 3 (2014) Inc.,Full-time Centre,"Infant, Preschool, School-age",50.0,Y,Y,Y,Day Care,48 chemin Ohio Shediac E4P 2J9 (506) 532-1330,Province of New Brunswick
254,Garderie la ptite luciole,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,65 Street Andrew Campbellton E3N 2B8 (506) 329-1242,Province of New Brunswick
255,Garderie la petite famille,Full-time Centre,"Preschool, School-age",36.0,N,Y,Y,Day Care,2366 rue Commerciale Saint-Franois-de-Madawaska E7A 1B6 (506) 992-8807,Province of New Brunswick
256,Garderie La P'tite Rcr,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,10 rue Rita Smith Saint-Basile E7C 1J8 (506) 838-4938,Province of New Brunswick
257,Garderie La Rivire,Full-time Centre,"Preschool, School-age",18.0,N,Y,Y,Day Care,1050 Route 350 Landry Office E8P 2K9 (506) 727-1916,Province of New Brunswick
258,Garderie l'Arc-en-ciel d'amis,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,52 avenue 46 Ime Edmundston E3V 3B5 (506) 739-7550,Province of New Brunswick
259,Garderie le coffre aux trsors,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,48 rue Edgar Saint-Basile E7C 1P1 (506) 580-0909,Province of New Brunswick
260,Garderie Le p'tit monde des enfants,Full-time Centre,"Infant, Preschool, School-age",25.0,Y,Y,Y,Day Care,695 rue Principale Clair E7A 2H3 (506) 992-3702,Province of New Brunswick
261,GARDERIE LE ROYAUME,Full-time Centre,"Infant, Preschool, School-age",44.0,Y,Y,Y,Day Care,392 rue Amirault Dieppe E1A 1G3 (506) 382-4565,Province of New Brunswick
262,Garderie L'Enfant Magique Inc.,Full-time Centre,"Infant, Preschool, School-age",54.0,Y,Y,Y,Day Care,47 avenue Du Village Campbellton E3N 3G4 (506) 753-4069,Province of New Brunswick
263,Garderie les Amis de Cdrik,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,1023 Avenue Des Pionniers Balmoral E8E 1B5 (506) 987-3400,Province of New Brunswick
264,Garderie Les amis de Kaleb,Home,School-age,9.0,N,N,Y,Home,34 rue Dominique Grand-Sault/Grand Falls E3Y 1A2 (506) 475-2201,Province of New Brunswick
265,Garderie Les amis de Madi,Full-time Centre,,,N,N,N,Day Care,,Province of New Brunswick
266,Garderie Les Chatounets,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,10 Avenue Massey Moncton E1A 3C6 (506) 204-8909,Province of New Brunswick
267,Garderie les Dbrouillards(es) Inc.,Full-time Centre,"Infant, Preschool",60.0,Y,Y,N,Day Care,1 rue de l'Ecole Val-d'Amour E3N 5E1 (506) 753-3596,Province of New Brunswick
268,Garderie les Farfelues,Home,,,N,N,N,Home,,Province of New Brunswick
269,Garderie Les Frimousses,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,634 rue De L'glise Tracadie-Sheila E1X 1B1 (506) 395-9568,Province of New Brunswick
270,Garderie Les grands entrepreneurs,Part-time Centre,School-age,60.0,N,N,Y,Day Care,477 chemin de l'glise Saint-Andr E3Y 2Y2 (506) 475-4056,Province of New Brunswick
271,Garderie Les Hiboux,Full-time Centre,"Preschool, School-age",60.0,N,Y,Y,Day Care,Drive Eco Terra Fredericton E3A 9M1 (506) 453-7700,Province of New Brunswick
272,Garderie Les Hirondelles,Full-time Centre,"Infant, Preschool",60.0,Y,Y,N,Day Care,Drive Eco Terra Fredericton E3A 9M1 (506) 453-7700,Province of New Brunswick
273,Garderie Les Lucioles,Part-time Centre,,,N,N,N,Day Care,,Province of New Brunswick
274,Garderie Les Lumignons,Part-time Centre,School-age,60.0,N,N,Y,Day Care,Drive Eco Terra Fredericton E3A 9M1 (506) 453-7700,Province of New Brunswick
275,Garderie Les Perroquets,Full-time Centre,"Infant, Preschool",60.0,Y,Y,N,Day Care,Drive Eco Terra Fredericton E3A 9M1 (506) 453-7700,Province of New Brunswick
276,Garderie Les Petites Cacahutes,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,880 boulevard Des Acadiens Bertrand E1W 1H6 (506) 727-5020,Province of New Brunswick
277,GARDERIE LES PETITS AMIS DE CATHY,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,241 rue Bdard Dieppe E1A 0H1 (506) 387-5812,Province of New Brunswick
278,Garderie Les Petits Anges,Full-time Centre,"Preschool, School-age",22.0,N,Y,Y,Day Care,94 rue Martin Nguac E9G 1K9 (506) 776-8427,Province of New Brunswick
279,Garderie Les Petits Dragons,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,1319 Route 335 St-Simon E8P 2A4 (506) 726-0069,Province of New Brunswick
280,Garderie Les petits entrepreneurs,Part-time Centre,"Preschool, School-age",60.0,N,Y,Y,Day Care,477 chemin de l'glise Saint-Andr E3Y 2Y2 (506) 475-4056,Province of New Brunswick
281,Garderie Les Petits Ours,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,42 Crescent Watling Oromocto E2V 4M8 (780) 257-8461,Province of New Brunswick
282,Garderie Les Petits Passereaux Inc,Full-time Centre,"Preschool, School-age",60.0,N,Y,Y,Day Care,5067 Route 160 Pont-Landry E1X 2V5 (506) 394-3600,Province of New Brunswick
283,GARDERIE LES PETITS SOURIRES,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,3060 Route 132 Scoudouc E4P 3S4 (506) 532-6700,Province of New Brunswick
284,Garderie les petits trsors I.H. Lte,Full-time Centre,"Preschool, School-age",37.0,N,Y,Y,Day Care,5 rue De La Forge Caraquet E1W 1A2 (506) 727-4656,Province of New Brunswick
285,Garderie Les P'tites Tornades,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,64 rue Arlequin Sainte-Marie-Saint-Raphal E8T 1N4 (506) 344-5404,Province of New Brunswick
286,Garderie Les P'tits Acadiens,Full-time Centre,"Infant, Preschool, School-age",43.0,Y,Y,Y,Day Care,38 rue Portage Caraquet E1W 1A8 (506) 727-1819,Province of New Brunswick
287,Garderie les p'tits amis de Amy,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,7 rue Harry DSL de Grand-Sault/Falls E3Z 0A4 (506) 475-5080,Province of New Brunswick
288,GARDERIE LES P'TITS BARACHOIS,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,51 chemin Pointe Aux Bouleaux Grand-Barachois E4P 7Z7 (506) 533-7820,Province of New Brunswick
289,Garderie Les P'tits Chatons,Full-time Centre,"Infant, Preschool, School-age",60.0,Y,Y,Y,Day Care,424 rue Principale Saint-Basile E7C 1J4 (506) 263-1995,Province of New Brunswick
290,GARDERIE LES P'TITS COEURS DAYCARE,Full-time Centre,"Infant, Preschool, School-age",45.0,Y,Y,Y,Day Care,275 rue Amirault Dieppe E1A 1G1 (506) 384-2030,Province of New Brunswick
291,GARDERIE LES P'TITS COEURS DAYCARE GROUPE 2,Full-time Centre,"Preschool, School-age",60.0,N,Y,Y,Day Care,275 rue Amirault Dieppe E1A 1G1 (506) 384-2030,Province of New Brunswick
292,GARDERIE LES P'TITS DAUPHINS,Home,School-age,9.0,N,N,Y,Home,44 Road Mill Moncton E1A 4A1 (506) 830-1827,Province of New Brunswick
293,Garderie Les P'tits Poussins,Full-time Centre,"Infant, Preschool",39.0,Y,Y,N,Day Care,Drive Eco Terra Fredericton E3A 9M1 (506) 453-7700,Province of New Brunswick
294,Garderie les Zamibulles Inc.,Full-time Centre,"Infant, Preschool, School-age",60.0,Y,Y,Y,Day Care,629 rue Victoria Edmundston E3V 3M8 (506) 739-9264,Province of New Brunswick
295,GARDERIE L'TOILE FILANTE,Full-time Centre,"Infant, Preschool, School-age",48.0,Y,Y,Y,Day Care,4630 rue Principale Saint-Antoine E4V 1R5 (506) 525-2909,Province of New Brunswick
296,Garderie Lisette Aprs-Classe,Full-time Centre,"Preschool, School-age",45.0,N,Y,Y,Day Care,12 chemin Robichaud Cap-Pel E4N 1Y8 (506) 577-4844,Province of New Brunswick
297,GARDERIE LISETTE Lte,Full-time Centre,"Infant, Preschool",41.0,Y,Y,N,Day Care,36 rue Brun Cap-Pel E4N 1N4 (506) 577-8208,Province of New Brunswick
298,Garderie l'Univers des Petits,Full-time Centre,Preschool,21.0,N,Y,N,Day Care,1890 rue Bellechasse Paquetville E8R 1M8 (506) 764-2978,Province of New Brunswick
299,Garderie l'Univers des Petits Papillons,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,4255 boulevard Des Fondateurs Saint-Isidore E8M 1G7 (506) 358-0112,Province of New Brunswick
300,Garderie Mange Enchant 2020 inc.,Full-time Centre,"Infant, Preschool, School-age",55.0,Y,Y,Y,Day Care,1190 rue Principale Beresford E8K 2J1 (506) 548-9324,Province of New Brunswick
