,name,source_full_address,full_address,street_number,street_name,unit,city,province,provider
23846,Kidz Kompany - Harbourside,2150 Departure Bay Road,2150 Departure Bay Road,2150,departure bay road,,Nanaimo,,Province of British Columbia
11034,Huron Superfriends Inc.,,nan,541,Huron Street,,Toronto,ON,Province of Ontario
11470,La Maison Montessori House,,nan,14,Stone Road,,Aurora,ON,Province of Ontario
9986,Christ Our King Nursery School,,nan,2150,Dundas Street,,Mississauga,ON,Province of Ontario
13700,Terrace Woods Day Care Services Inc. - PHDC,,nan,8611,Weston Road,,Vaughan,ON,Province of Ontario
23121,Truckin' Along Childcare,284 Pearkes Drive,284 Pearkes Drive,284,pearkes drive,,Revelstoke,,Province of British Columbia
15129,"YMCA, St. Theresa Early Learning Child Care Centre",,nan,1475,Main Street,,Callander,ON,Province of Ontario
8135,LA JUNGLE ÉDUCATIVE À MARIE-JO,"2330, chemin de Chambly",2330 chemin de Chambly,2330,chemin de chambly,,Longueuil,,Province of Quèbec
287,Garderie a petits pas,67 Road Ragged Point Saint John E2K 5C3 (506) 658-4607,67 road ragged point ,67,road ragged point,,,,Province of New Brunswick
6380,JARDIN D'ÉVEIL,"145, rue Sauvé Ouest",145 rue Sauvé Ouest,145,rue sauvé ouest,,Montréal,,Province of Quèbec
17452,Cutie Patootie Child Care,5607 Michigan Line Forest ON,5607 michigan line ,5607,michigan line,,Forest,Ontario,GoDayCare.com
4477,Sunnyside Child Care Centre Inc.,"Room 7, 8 and 10 530 Dieppe Road Winnipeg, MB",7 8 and 10 530 dieppe road ,530,dieppe road,,,,Province of Manitoba
7753,SYSTÈME MONTESSORI CHEZ DENYSE,"556, chemin du Village",556 chemin du Village,556,chemin du village,,Morin-Heights,,Province of Quèbec
2866,OLIVER CENTRE ELCC SITE,15830 100A AVE NW,15830 100A AVE NW,15830,100a ave nw,,EDMONTON,,Province of Alberta
18666,KidsPark Westmount,424 Claremont Avenue Westmount QC,424 claremont avenue ,424,claremont avenue,,Westmount,Quebec,GoDayCare.com
2265,ROTARY EARLY LEARNING PROGRAM CHILDCARE,"#106, 6770 129 AVENUE",#106 6770 129 AVENUE,6770,129 avenue,#106,EDMONTON,,Province of Alberta
9117,Andrew Fleck Child Care Services - Making Connections Nursery School,,nan,235,Donald Street,,Ottawa,ON,Province of Ontario
3132,APPLETON CHILDCARE CENTRE,10344 119 ST,10344 119 ST,10344,119 st,,EDMONTON,,Province of Alberta
21380,Ncbasp - Frank J. Ney,5301 Williamson Rd,5301 Williamson Rd,5301,williamson rd,,Nanaimo,,Province of British Columbia
5143,INSTALLATION DES BELLES-RIVIÈRES,"1295, rue des Loisirs Est",1295 rue des Loisirs Est,1295,rue des loisirs est,,L'Ancienne-Lorette,,Province of Quèbec
3904,The Young Men's Christian Association of Brandon,"YMCA Brandon 231 8th Street Brandon, MB",ymca brandon 231 8th street ,231,8th street,,,,Province of Manitoba
19191,Bright Beginnings,399 Main Street,399 Main Street,399,main street,,Bishop's Falls,,Province of Newfoundland and Labrador
9517,Bunting Child Care Program,,nan,348,Scott Street,,St. Catharines,ON,Province of Ontario
4092,Festival Early Learning and Child Care Cenre Inc.,"4057 Portage Avenue (Ave) Winnipeg , MB",4057 portage avenue ,4057,portage avenue,,,,Province of Manitoba
10214,Cottingham Day Care Program,,nan,85,Birch Avenue,,Toronto,ON,Province of Ontario
13586,Better B Kids,,nan,549,Frood Road,,Sudbury,ON,Province of Ontario
16069,"Choo Choo, Let's Go! Childcare Centre - Centre De Garde",2340 Sunriver Way Sooke BC,2340 sunriver way ,2340,sunriver way,,Sooke,British Columbia,GoDayCare.com
14641,YMCA Ham/Burl - YMCA SACC - Orchard Park,,nan,5151,Dryden Avenue,,Burlington,ON,Province of Ontario
18891,Mayflower After-School Program,1261 BELCHER ST.,1261 BELCHER ST,1261,belcher st,,PORT WILLIAMS,,Province of Nova Scotia
13258,Soup Kitchen Back to Basics,,nan,241,Albert Street,,Sault Ste marie,ON,Province of Ontario
1133,PINES DAY CARE,8 PAGE AVENUE,8 PAGE AVENUE,8,page avenue,,RED DEER,,Province of Alberta
13524,Step by Step Child Care Centre,,nan,2118,East Arthur Street,,Thunder Bay,ON,Province of Ontario
10591,Forest Hill Montessori School Inc.,,nan,2,Wembley Road,,Toronto,ON,Province of Ontario
20392,D's Daycare,1639 Pitt River Rd,1639 Pitt River Rd,1639,pitt river rd,,Port Coquitlam,,Province of British Columbia
7064,CENTRE DE LA PETITE ENFANCE SARALIKITAARAPIIT,", C.P. 130",CP 130,cp 130,,,Kangiqsualujjuaq,,Province of Quèbec
4290,Maryna Horyun,None,None,,,,,,Province of Manitoba
3677,LITTLE STEPS - DR JK MULLOY,7440 10 STREET NW,7440 10 STREET NW,7440,10 street nw,,CALGARY,,Province of Alberta
9731,Cedarbrae Day Nursery (20 Greencrest Circuit),,nan,20,Greencrest Circuit,,Toronto,ON,Province of Ontario
10473,Family Day Care Services - Armadale Child Care Centre,,nan,11,Coppard Avenue,,Markham,ON,Province of Ontario
10601,Forum Italia Child Care Center,,nan,195,Forum Drive,,Mississauga,ON,Province of Ontario
8294,CENTRE DE LA PETITE ENFANCE LES COQUELICOTS INC.,"2420, rue Lambert-Sarazin",2420 rue Lambert-Sarazin,2420,rue lambert-sarazin,,Saint-Hyacinthe,,Province of Quèbec
4250,Lorraine Desrosiers-Vaz,None,None,,,,,,Province of Manitoba
16383,Halte Scolaire Carrefour De La Jeunesse,4 Rue Eug√®ne St-Basile NB,4 rue eug√®ne ,4,rue eug√®ne,,St-basile,New Brunswick,GoDayCare.com
3387,FUTURE STARS DAYCARE,616 2 STREET WEST,616 2 STREET WEST,616,2 street west,,COCHRANE,,Province of Alberta
2382,WORSLEY PRESCHOOL,216 ALBERTA AVE,216 ALBERTA AVE,216,alberta ave,,WORSLEY,,Province of Alberta
42,Garderie Plein Soleil Parascolaire A #76,none,none,,,,Yellowknife,,Northwest Territories
15137,Family Y Childcare Centre - Ripley,,nan,18,Tain Street,,Ripley,ON,Province of Ontario
8621,Oxford Learning Centre - Oakville South,,nan,511,Maple Grove Drive,,Oakville,ON,Province of Ontario
17042,ITTY BITTY DAYCARE,38 THORNDALE ROAD Brampton ON,38 thorndale road ,38,thorndale road,,Brampton,Ontario,GoDayCare.com
5141,INSTALLATION AU CARROUSEL ENFANTIN,"2015, rue St-Jean Baptiste",2015 rue St-Jean Baptiste,2015,rue st-jean baptiste,,L'Ancienne-Lorette,,Province of Quèbec
10605,Franco-Sol - St. Edmond,,nan,1880,Totten Street,,Windsor,ON,Province of Ontario
4940,Funshine Early Learning Centre Inc.,"Mary Montgomery School Room 1 - 445 Lyons Street Virden, MB",mary montgomery school 1 445 lyons street ,445,lyons street,,,,Province of Manitoba
1270,TODDLE INN DAY CARE SOCIETY,309 - 2 AVENUE,309 2 AVENUE,309,2 avenue,,STRATHMORE,,Province of Alberta
23708,Kidsfirst Early Childhood Centre,20259 Hammond Rd,20259 Hammond Rd,20259,hammond rd,,Maple Ridge,,Province of British Columbia
9105,Montessori North School,,nan,4561,Highway 7 East Street,,Markham,ON,Province of Ontario
5992,CPE DU CARREFOUR INC.,"2025, rue Fullum, bureau 101",2025 rue Fullum,2025,rue fullum,,Montréal,,Province of Quèbec
3577,KINGSLAND COMMUNITY PRESCHOOL,505 78TH AVE SW,505 78TH AVE SW,505,78th ave sw,,CALGARY,,Province of Alberta
18468,"Hudson Home To Home Daycare, Subsidized ($8.05 Per Day)","Carmel,Windcrest Hudson QC",carmelwindcrest ,,,,Hudson,Quebec,GoDayCare.com
9039,Alexander's Day Care Centre Ltd.,,nan,3335,Banwell Road,,Windsor,ON,Province of Ontario
8260,CENTRE DU DÉVELOPPEMENT DE L'ENFANT MES PREMIERS PAS INC.,"4195, boulevard Westley",4195 boulevard Westley,4195,boulevard westley,,Saint-Hubert,,Province of Quèbec
3738,BGC OF STRATHCONA COUNTY - ARDROSSAN,53117 RANGE ROAD 222,53117 RANGE ROAD 222,222,range road,,ARDROSSAN,,Province of Alberta
2094,DALY GROVE DAY CARE,4231 23 AVENUE,4231 23 AVENUE,4231,23 avenue,,EDMONTON,,Province of Alberta
18454,Bright Minds Academy,Imp. Du Pampero Gatineau QC,imp du pampero ,,imp du pampero,,Gatineau,Quebec,GoDayCare.com
421,GARDERIE LES P'TITS DAUPHINS,44 Road Mill Moncton E1A 4A1 (506) 830-1827,44 road mill ,44,road,,,,Province of New Brunswick
1832,WESTPARK SCHOOL AGE PROGRAM,3814 - 55 AVENUE,3814 55 AVENUE,3814,55 avenue,,RED DEER,,Province of Alberta
17338,K.p. Best Start,289 Wice Road Dryden ON,289 wice road ,289,wice road,,Dryden,Ontario,GoDayCare.com
4723,Lac du Bonnet Children's Centre Inc.,"Centennial School science room,gym 285 Mcarthur Avenue (Ave) Lac Du Bonnet, MB",centennial school science 285 mcarthur avenue ,285,mcarthur avenue,,,,Province of Manitoba
1496,KRISTY'S LITTLE LEARNERS PLAYSCHOOL,SUITE B 221 FIRST AVENUE,SUITE B 221 FIRST AVENUE,221,first avenue,suite b,SPRUCE GROVE,,Province of Alberta
15480,St. Joseph's Kid's Club,,nan,2,Glass Drive,,Aurora,ON,Province of Ontario
5985,CITRONNELLE ET SES AMIS INC.,"8535, rue Sherbrooke Est",8535 rue Sherbrooke Est,8535,rue sherbrooke est,,Montréal,,Province of Quèbec
279,Fredericton Montessori Academy,131 Duncan Lane Fredericton E3B 9T1 (506) 444-6249,131 duncan lane ,131,duncan lane,,,,Province of New Brunswick
5665,GARDERIE SÉSAME INC.,"5555, avenue Westminster, bureau 220",5555 avenue Westminster,5555,avenue westminster,,Côte-Saint-Luc,,Province of Quèbec
8362,GARDERIE UN MONDE JUSTE POUR NOUS INC.,"499D, route de la Cité-des-Jeunes",499D route de la Cité-des-Jeunes,499d,route de la cité-des-jeunes,,Saint-Lazare,,Province of Quèbec
19233,Happy Days Daycare,533 Conception Bay Highway,533 Conception Bay Highway,533,conception bay highway,,Holyrood,,Province of Newfoundland and Labrador
3913,Heather Boyce,"440 Richmond Avenue (Ave) Brandon, MB",440 richmond avenue ,440,richmond avenue,,,,Province of Manitoba
11046,Tumpane Child Care Centre - (Ideal Child Services Group),,nan,48,Tumpane Street,,Toronto,ON,Province of Ontario
6027,GARDERIE AU JARDIN DES MERVEILLES # 1,"1144, rue Saint-Zotique Est",1144 rue Saint-Zotique Est,1144,rue saint-zotique est,,Montréal,,Province of Quèbec
5827,"CENTRE DE LA PETITE ENFANCE CARCAJOU, INC.","5100, rue Bossuet",5100 rue Bossuet,5100,rue bossuet,,Montréal,,Province of Quèbec
11632,Leitrim Montessori Preschool,,nan,4861,Bank Street,,Ottawa,ON,Province of Ontario
15098,YMCA Child Care-Jeanne Sauv√©,,nan,91,Bunting Road,,St. Catharines,ON,Province of Ontario
4277,Maribeth Amposta Saria,None,None,,,,,,Province of Manitoba
2004,BERGEN COMMUNITY PLAYSCHOOL,SE 5-32-5-5,SE 5 32 5 5,5,,se 5 32 5,BERGEN,,Province of Alberta
6409,LE CORBEAU ET LE RENARD GARDERIE ÉDUCATIVE,"60, rue de Port-Royal Est",60 rue de Port-Royal Est,60,rue de port-royal est,,Montréal,,Province of Quèbec
2005,ELLERSLIE ROAD PRE-SCHOOL,143/144/145 - 10603 ELLERSLIE ROAD,143/144/145 10603 ELLERSLIE ROAD,143/144/145 10603,ellerslie road,,EDMONTON,,Province of Alberta
17584,Carol's Daycare,651 County Road 29 Jasper ON,651 county road 29 ,651,county road 29,,Jasper,Ontario,GoDayCare.com
614,LE CLUB ANNA MALENFANT 2,500 rue Centrale Dieppe E1A 6V7 (506) 383-8470,500 rue centrale ,500,rue centrale,,,,Province of New Brunswick
3892,Brandon Friendship Centre,"836 Lorne Avenue (Ave) Brandon, MB",836 lorne avenue ,836,lorne avenue,,,,Province of Manitoba
8351,GARDERIE ÉDUCATIVE L'ARC-EN-CIEL,"2035-F, avenue Victoria",2035-F avenue Victoria,2035-f,avenue,,Saint-Lambert,,Province of Quèbec
23429,Young Explorers,3938 Brandon St,3938 Brandon St,3938,brandon st,,Burnaby,,Province of British Columbia
23245,New Kids On The Block Daycare,2969 Earl Grey St,2969 Earl Grey St,2969,earl grey st,,Victoria,,Province of British Columbia
1351,LEAP N' LEARN WALDEN,260 - 151 WALDEN GATE SE,260 151 WALDEN GATE SE,260 151,walden gate se,,CALGARY,,Province of Alberta
24065,Island Kids Academy Centre 2 (Forrest),542 Fraser St,542 Fraser St,542,fraser st,,Victoria,,Province of British Columbia
9963,Childrens Place Day Care,,nan,320,Ritson Road,,Oshawa,ON,Province of Ontario
19725,Kensington Prairie Community Centre,16824 32Nd Ave,16824 32Nd Ave,16824,32nd ave,,Surrey,,Province of British Columbia
21085,Kingsway Christian Children's Centre,4061 Kingsway,4061 Kingsway,4061,kingsway,,Burnaby,,Province of British Columbia
3876,Family or Group Child Care Home *,None,None,,,,,,Province of Manitoba
23217,Tall Timbers Preschool / Before & After School Care,4035 207Th St,4035 207Th St,4035,207th st,,Langley,,Province of British Columbia
9272,First Adventure Child Development Centre Our Lady of Fatima Campus,,nan,300,Sidney Street,,Belleville,ON,Province of Ontario
7599,GARDERIE AU PIED DE L'ARC-EN-CIEL,"2595, rue Yvan Varin",2595 rue Yvan Varin,2595,rue yvan varin,,Sainte-Julienne,,Province of Quèbec
18506,Au Jardin Des Petits Mozarts,505 Rue Guillemette Laval QC,505 rue guillemette ,505,rue guillemette,,Laval,Quebec,GoDayCare.com
23701,Wind And Tide Preschool - Dorothy Peacock,20292 91A Ave,20292 91A Ave,20292,91a ave,,Langley,,Province of British Columbia
23524,Tsleil-Waututh Child & Family Development Centre (>30 Mos),3036 Takaya Dr,3036 Takaya Dr,3036,takaya dr,,North Vancouver,,Province of British Columbia
21829,Hummingbird Ihmacc,1717 63Rd Ave E,1717 63Rd Ave E,1717,63rd ave e,,Vancouver,,Province of British Columbia
18234,Bright Way Dayhome,McKnight Ave. Waterdown ON,mcknight ave ,,mcknight ave,,Waterdown,Ontario,GoDayCare.com
9284,Best Friends Learning Centre of Windsor,,nan,1400,Roselawn Drive,,Windsor,ON,Province of Ontario
13134,Rippleton Roadsters Satellite Program,,nan,1340,Leslie Street,,Toronto,ON,Province of Ontario
2532,CHILD DEVELOPMENT DAYHOMES OF ALBERTA,10639 131 STREET,10639 131 STREET,10639,131 street,,EDMONTON,,Province of Alberta
15777,Tot Spot Academy,86 McKenney Ave St. Albert AB,86 mckenney ave ,86,mckenney ave,,St. Albert,Alberta,GoDayCare.com
7060,SERVICE DE GARDE TASIURVIK INC.,", C.P. 280",CP 280,cp 280,,,Inukjuak,,Province of Quèbec
15296,St. John French Immersion YMCA School Age,,nan,449,Hill Street,,London,ON,Province of Ontario
14590,YMCA SACC - Allan A. Greenleaf,,nan,211,Parkside Drive,,Waterdown,ON,Province of Ontario
18533,A Kid's World Daycare - Jean Talon,5075 Jean-Talon Ouest Suite 3 Montreal QC,5075 jean talon ouest suite 3 ,5075,jean talon ouest,suite 3,Montreal,Quebec,GoDayCare.com
5514,CENTRE DE LA PETITE ENFANCE SIX SAISONS,"68, rue Kenosi, c. p. 357",68 rue Kenosi c p 357,c p 357,rue kenosi,,Wemotaci,,Province of Quèbec
17450,Chippewas Of Kettle And Stony Point,9172 Tecumseh Dr Forest ON,9172 tecumseh dr ,9172,tecumseh dr,,Forest,Ontario,GoDayCare.com
23707,Orchid Family Child Care,789 14Th Ave E,789 14Th Ave E,789,14th ave e,,Vancouver,,Province of British Columbia
5931,CENTRE DE LA PETITE ENFANCE LES PETITS LUTINS DE CÔTE ST-PAUL INC.,"6050, rue Hamilton",6050 rue Hamilton,6050,rue hamilton,,Montréal,,Province of Quèbec
11746,Collingwood's Little People's Day Care Centre,,nan,325,Hurontario Street,,Collingwood,ON,Province of Ontario
3032,JUVENESCENCE - CRANSTON,205 CRANSTON DRIVE SE,205 CRANSTON DRIVE SE,205,cranston drive se,,CALGARY,,Province of Alberta
17229,Kyra's Home Daycare,Burham Ave Colborne ON,burham ave ,,burham ave,,Colborne,Ontario,GoDayCare.com
7335,GARDERIE AU CHAMP FLEURI,"6205, rue du Rouge-Gorge",6205 rue du Rouge-Gorge,6205,rue du rouge-gorge,,Laval,,Province of Quèbec
15994,Fraser Montessori Daycare,1408 5th AVE New Westminster BC,1408 5th ave ,1408,5th ave,,New Westminster,British Columbia,GoDayCare.com
3574,JUST FOR YOU DAY CARE 2004 LTD.,3 HUNTERHORN GATE NE,3 HUNTERHORN GATE NE,3,hunterhorn gate ne,,CALGARY,,Province of Alberta
5851,CENTRE DE LA PETITE ENFANCE DE MCGILL/MCGILL CHILDCARE CENTRE,"3483-3487, rue Peel",3483-3487 rue Peel,3483-3487,rue peel,,Montréal,,Province of Quèbec
801,SERVICES DE GARDE CHEZ TIAGO CHILDCARE SERVICES,100 rue Sunset Dieppe E1A 1T5 (506) 204-8088,100 rue sunset ,100,rue sunset,,,,Province of New Brunswick
5821,CENTRE DE LA PETITE ENFANCE BETH ESTHER,"5214B, rue Saint-Urbain",5214B rue Saint-Urbain,5214b,rue saint-urbain,,Montréal,,Province of Quèbec
14837,Westney Heights YMCA,,nan,45,Brennan Road,,Ajax,ON,Province of Ontario
1348,KIDSLAND PRE-SCHOOL LTD. #6,28 MACEWAN DRIVE NW,28 MACEWAN DRIVE NW,28,macewan drive nw,,CALGARY,,Province of Alberta
7277,CENTRE DE LA PETITE ENFANCE DU MANOIR INC.,"145, avenue Verdi",145 avenue Verdi,145,avenue verdi,,Laval,,Province of Quèbec
1992,TUSCANY CLUB OUT OF SCHOOL CARE,212 TUSCANY WAY NW,212 TUSCANY WAY NW,212,tuscany way nw,,CALGARY,,Province of Alberta
22582,Willowstone Academy,4091 Lakeshore Rd,4091 Lakeshore Rd,4091,lakeshore rd,,Kelowna,,Province of British Columbia
13777,The Family Place - Milton,,nan,1120,Main Street,,Milton,ON,Province of Ontario
19548,Monkey Minders,220 Blackman St,220 Blackman St,220,blackman st,,New Westminster,,Province of British Columbia
867,Townsview Curious Kids Child Care,122 Lewis P. Fisher Lane Woodstock E7M 0G6 (506) 450-0104,122 lewis p fisher lane ,122,lewis p fisher lane,,,,Province of New Brunswick
12932,Homemade Tales L.F.H.C.C.,,nan,375,Doran Street,,Pembroke,ON,Province of Ontario
21541,Lydia's Family Daycare,1819 Lipsett Crt,1819 Lipsett Crt,1819,lipsett crt,,Kelowna,,Province of British Columbia
14447,Where We Grow Early Learning Centre Inc. School Age,,nan,14460,Simcoe Street,,Port Perry,ON,Province of Ontario
24615,Shirley Duran,"762 Cowley Road, Saskatoon, SK, S7N 4J1",762 cowley road ,762,cowley road,,,,Province of Saskatchewan
20982,Hastings YMCA Kids Club,2625 Franklin St,2625 Franklin St,2625,franklin st,,Vancouver,,Province of British Columbia
6843,CENTRE DE LA PETITE ENFANCE COOP LIBELLE,"355, boulevard de la Cité-des-Jeunes",355 boulevard de la Cité-des-Jeunes,355,boulevard de la cité-des-jeunes,,Gatineau,,Province of Quèbec
15067,YMCA Child Care - Meadowvale,,nan,63,Cecil Street,,St. Catharines,ON,Province of Ontario
12982,Playful Steps Daycare Centre,,nan,12315,West Lake Road,,Tecumseh,ON,Province of Ontario
11900,MERRYMOUNT CHILDREN'S CENTRE,,nan,1064,Colborne Street,,London,ON,Province of Ontario
4654,Garderie de Bambins Co-op Inc.,"46 Benoit Avenue (Ave) St.Malo, MB",46 benoit avenue ,46,benoit avenue,,,,Province of Manitoba
21725,Ranger Station Daycare,639 Coleos Pl,639 Coleos Pl,639,coleos pl,,Victoria,,Province of British Columbia
17262,Rebecca's Home Away From Home Childcare!,wellington st Cookstown ON,wellington st ,,wellington st,,Cookstown,Ontario,GoDayCare.com
5036,CENTRE DE LA PETITE ENFANCE LES PINSONS INC.,"20, rue des Coquillages",20 rue des Coquillages,20,rue des coquillages,,Sainte-Luce-Luceville,,Province of Quèbec
22433,Evans Childcare Center,7434 Evans Rd,7434 Evans Rd,7434,evans rd,,Chilliwack,,Province of British Columbia
20621,Little Star Bugs Daycare,4931 Telqua Dr,4931 Telqua Dr,4931,telqua dr,,108 Mile Ranch,,Province of British Columbia
4410,The Young Men's and Young Women's Christian Association of Winnipeg Inc.,"Rooms 10,14,15, (Gym,Computer & Library) 350 Rockwood Street Winnipeg, MB",rooms 101415 350 rockwood street ,350,rockwood street,,,,Province of Manitoba
7215,LA PETITE ÉCOLE VISION BEAUCE,"1275, boulevard Dionne",1275 boulevard Dionne,1275,boulevard dionne,,Saint-Georges,,Province of Quèbec
21049,Echelon Day Care,101 575 8 Ave W,101 575 8 Ave W,101,575 8 ave w,,Vancouver,,Province of British Columbia
3895,Magical Memories Learning Centre Inc.,"911 26th Street Brandon, MB",911 26th street ,911,26th street,,,,Province of Manitoba
2226,KING'S KIDZ CHRISTIAN PRESCHOOL,13111 79 STREET,13111 79 STREET,13111,79 street,,EDMONTON,,Province of Alberta
4309,Family or Group Child Care Home *,None,None,,,,,,Province of Manitoba
1762,PRECIOUS ANGELS LTD. OSC,10915 110 STREET,10915 110 STREET,10915,110 street,,EDMONTON,,Province of Alberta
2015,KIDZ CLUB DAYCARE,UNIT 139 120 WYE ROAD,UNIT 139 120 WYE ROAD,120,wye road,unit 139,SHERWOOD PARK,,Province of Alberta
21791,Reach Developmental Preschool North Delta,10921 82Nd Ave,10921 82Nd Ave,10921,82nd ave,,Delta,,Province of British Columbia
15379,St. Ursula - YMCA School Age,,nan,426,Lacroix Street,,Chatham,ON,Province of Ontario
18874,Bye the Sea Nursery School,26 LINCOLN ST.,26 LINCOLN ST,26,lincoln st,,LUNENBURG,,Province of Nova Scotia
16652,Little Beginnings Family Childcare,Wakefield Court Middle Sackville NS,wakefield court ,,wakefield court,,Middle Sackville,Nova Scotia,GoDayCare.com
17308,Deep River Nursery School Cooperative,1 Brockhouse Way Deep River ON,1 brockhouse way ,1,brockhouse way,,Deep River,Ontario,GoDayCare.com
5679,L'ARBRE DE CONNAISSANCE 2 / THE LEARNING TREE 2,"16A, rue de Séville",16A rue de Séville,16a,rue de séville,,Dollard-des-Ormeaux,,Province of Quèbec
10864,Montessori Village Day Nursery,,nan,297,Old Kingston Road,,Toronto,ON,Province of Ontario
11495,Garderie Le Petit Voilier - Ecole La Source,,nan,70,Madelaine Promenade,,Barrie,ON,Province of Ontario
9497,Garderie d'Iroquois Falls Day Care,,nan,425,rue Teefy,,Iroquois Falls,ON,Province of Ontario
8432,CENTRE DE LA PETITE ENFANCE DANAHÉ,"2255, boulevard Saint-Louis",2255 boulevard Saint-Louis,2255,boulevard saint-louis,,Sorel-Tracy,,Province of Quèbec
7760,LA PETITE RUCHE ENSOLEILÉE,"820, boulevard de la Chapelle",820 boulevard de la Chapelle,820,boulevard de la chapelle,,Pointe-Calumet,,Province of Quèbec
16839,Delaney Daycare,Greenwood Drive Angus ON,greenwood drive ,,greenwood drive,,Angus,Ontario,GoDayCare.com
4124,Happiness Is...Inc Before and Afterschool Program (Provencher),"Rooms 21, 23 and Gym 320 ave de la Cathedrale avenue (av) Wpg, MB","Rooms 21 23 and Gym 320 ave de la Cathedrale avenue Wpg MB, Canada",320,ave de la cathedrale avenue,,,,Province of Manitoba
2693,OXFORD CHILD DEVELOPMENT CENTRE AFTER SCHOOL CARE,7608 154 STREET,7608 154 STREET,7608,154 street,,EDMONTON,,Province of Alberta
11305,Kids Campus - Jack Miner,,nan,144,Whitburn Street,,Whitby,ON,Province of Ontario
8743,Smart Start Learning Centre and Childcare - Middlecote,,nan,81,Middlecote Drive,,Ajax,ON,Province of Ontario
23187,Mountain Bear Daycare,7240 Bryant Pl,7240 Bryant Pl,7240,bryant pl,,Chilliwack,,Province of British Columbia
23591,Rainbows And Unicorns Preschool,5140 Smith Dr,5140 Smith Dr,5140,smith dr,,Richmond,,Province of British Columbia
6999,CENTRE DE LA PETITE ENFANCE FLEUR ET MIEL,"2501, route des Pionniers C.P. 65",2501 route des Pionniers CP 65,cp 65,route des pionniers,,Rouyn-Noranda,,Province of Quèbec
20774,Little Smiles Daycare,521 4Th Ave,521 4Th Ave,521,4th ave,,Fernie,,Province of British Columbia
8372,GARDERIE LES PETITS MATHIASSOIS,"18, rue Lussier",18 rue Lussier,18,rue lussier,,Saint-Mathias-sur-Richelieu,,Province of Quèbec
12788,PLASP - Thornwood Public School,,nan,277,Mississauga Valley Boulevard,,Mississauga,ON,Province of Ontario
10142,Programme Petit pas √† trois √©cole L'Envol,,nan,45,Johnson,,Trenton,ON,Province of Ontario
83,Northern Lights Day Home,none,none,,,,Inuvik,,Northwest Territories
2108,COMMUNITY CONNECTIONS CHILD CARE CENTRE,5108 50 STREET,5108 50 STREET,5108,50 street,,ROCKY MOUNTAIN HOUSE,,Province of Alberta
5613,CENTRE DE LA PETITE ENFANCE CRAYONS DE COULEUR INC.,"1145, rue Racine",1145 rue Racine,1145,rue racine,,Valcourt,,Province of Quèbec
4019,Family or Group Child Care Home *,None,None,,,,,,Province of Manitoba
24920,Kayla Nelson,"4231 Castle Road, Regina, SK, S4S 4N4",4231 castle road ,4231,castle road,,,,Province of Saskatchewan
8368,PETITE ÉCOLE MONTESSORI INC.,"1545, chemin Sainte-Angélique",1545 chemin Sainte-Angélique,1545,chemin sainte-angélique,,Saint-Lazare,,Province of Quèbec
13203,Snowdrop Montessori School Inc.,,nan,1428,Royal York Road,,Etobicoke,ON,Province of Ontario
1616,KIDS HAVEN CHILDCARE,2E SIR WINSTON CHURCHILL AVE,2E SIR WINSTON CHURCHILL AVE,2e,sir winston churchill ave,,ST. ALBERT,,Province of Alberta
6672,GARDERIE LES JOLIES FRIMOUSSES,"716, boulevard Décarie",716 boulevard Décarie,716,boulevard décarie,,Saint-Laurent,,Province of Quèbec
16047,Treasure Box Learning Centre,1409 Lewis Drive Quesnel BC,1409 lewis drive ,1409,lewis drive,,Quesnel,British Columbia,GoDayCare.com
6916,GARDERIE PLANÈTE KIDS (HULL),"260, boul. St-Raymond, unité 102",260 boul St-Raymond unité 102,260,boul st-raymond,unité 102,Gatineau,,Province of Quèbec
15811,Paige's Place-Child Day Home,5415 46th Street Whitecourt AB,5415 46th street ,5415,46th street,,Whitecourt,Alberta,GoDayCare.com
17061,Cheryl's Home Daycare,14 wedgewood brantford ON,14 wedgewood ,14,wedgewood,,Brantford,Ontario,GoDayCare.com
2077,BRIGHTPATH STONY PLAIN OSC,103/107/108/109 3805 49 AVENUE,103/107/108/109 3805 49 AVENUE,103/107/108/109,3805 49 avenue,,STONY PLAIN,,Province of Alberta
11663,Les √âtoiles Brillantes-Garderie,,nan,85,Forty First Street,,Toronto.,ON,Province of Ontario
12515,Mountshannon Early Learning Centre,,nan,60B,Mountshannon Drive,,Nepean,ON,Province of Ontario
1143,FIRST CHOICE OUT OF SCHOOL CARE,12506 118 AVENUE,12506 118 AVENUE,12506,118 avenue,,EDMONTON,,Province of Alberta
13573,Strath-MacLean Nursery School,,nan,860,St. Mary Street,,Peterborough,ON,Province of Ontario
9474,Caledon Hills Montessori,,nan,6046,Old Church Road,,Caledon East,ON,Province of Ontario
17799,Bright Beginnings Home Childcare,Sebastian Crescent Niagara Falls ON,sebastian crescent ,,sebastian crescent,,Niagara Falls,Ontario,GoDayCare.com
5263,GARDERIE DE L'INSTITUT,"900, avenue Joffre",900 avenue Joffre,900,avenue joffre,,Québec,,Province of Quèbec
21859,Blueberry Field Child Care Inc.,3720 Broadway Street,3720 Broadway Street,3720,broadway street,,Richmond,,Province of British Columbia
19544,Bgccvi - Ladysmith Child & Family Centre,220 High Street,220 High Street,220,high street,,Ladysmith,,Province of British Columbia
12595,P.R.Y.D.E. at St. Mark,,nan,95,Waller Street,,Whitby,ON,Province of Ontario
