,source_full_address,full_address,street_number,street_name,unit,rearranged,rearranged_parsed
8192,"130, rue Saint-Jean-Baptiste Est",130 rue Saint-Jean-Baptiste Est,130,rue saint-jean-baptiste est,,130 rue Saint-Jean-Baptiste Est,"[('130', 'house_number'), ('rue saint-jean-baptiste est', 'road')]"
8193,"160, Amédée-Côté",160 Amédée-Côté,160,amédée-côté,,160 Amédée-Côté,"[('160', 'house_number'), ('amédée-côté', 'road')]"
8194,"260, rue Duchaineau",260 rue Duchaineau,260,rue duchaineau,,260 rue Duchaineau,"[('260', 'house_number'), ('rue duchaineau', 'road')]"
8195,"800, rue Laro",800 rue Laro,800,rue laro,,800 rue Laro,"[('800', 'house_number'), ('rue laro', 'road')]"
8196,"456, rue Saint-Denis",456 rue Saint-Denis,456,rue saint-denis,,456 rue Saint-Denis,"[('456', 'house_number'), ('rue saint-denis', 'road')]"
8197,"308, rue Principale",308 rue Principale,308,rue principale,,308 rue Principale,"[('308', 'house_number'), ('rue principale', 'road')]"
8198,"187, rue David",187 rue David,187,rue david,,187 rue David,"[('187', 'house_number'), ('rue david', 'road')]"
8199,"179, rue du Colibris",179 rue du Colibris,179,rue du colibris,,179 rue du Colibris,"[('179', 'house_number'), ('rue du colibris', 'road')]"
8200,"333, rue Bianca",333 rue Bianca,333,rue bianca,,333 rue Bianca,"[('333', 'house_number'), ('rue bianca', 'road')]"
8201,"520-2, rue Principale",520-2 rue Principale,520-2,rue principale,,520-2 rue Principale,"[('520-2', 'house_number'), ('rue principale', 'road')]"
8202,"455, rue Principale",455 rue Principale,455,rue principale,,455 rue Principale,"[('455', 'house_number'), ('rue principale', 'road')]"
8203,"312, rue Principale",312 rue Principale,312,rue principale,,312 rue Principale,"[('312', 'house_number'), ('rue principale', 'road')]"
8204,"70, avenue des Pinsons",70 avenue des Pinsons,70,avenue des pinsons,,70 avenue des Pinsons,"[('70', 'house_number'), ('avenue des pinsons', 'road')]"
8205,"80A, rue Principale",80A rue Principale,80a,rue principale,,80A rue Principale,"[('80a', 'house_number'), ('rue principale', 'road')]"
8206,"126, boulevard des Trinitaires",126 boulevard des Trinitaires,126,boulevard des trinitaires,,126 boulevard des Trinitaires,"[('126', 'house_number'), ('boulevard des trinitaires', 'road')]"
8207,"155, boulevard Sir Wilfrid Laurier, locaux 101-102-104",155 boulevard Sir Wilfrid Laurier locaux 101-102-104,boulevard sir wilfrid laurier locaux,101-102-104,155,155 boulevard Sir Wilfrid Laurier locaux 101-102-104,"[('155', 'house_number'), ('boulevard sir wilfrid laurier locaux', 'road'), ('101-102-104', 'house_number')]"
8208,"218, rue Audet",218 rue Audet,218,rue audet,,218 rue Audet,"[('218', 'house_number'), ('rue audet', 'road')]"
8209,"23, avenue des Ormes",23 avenue des Ormes,23,avenue des ormes,,23 avenue des Ormes,"[('23', 'house_number'), ('avenue des ormes', 'road')]"
8210,"219, rue Principale",219 rue Principale,219,rue principale,,219 rue Principale,"[('219', 'house_number'), ('rue principale', 'road')]"
8211,"3, rue Daragon",3 rue Daragon,3,rue daragon,,3 rue Daragon,"[('3', 'house_number'), ('rue daragon', 'road')]"
8212,"870, rue Principale",870 rue Principale,870,rue principale,,870 rue Principale,"[('870', 'house_number'), ('rue principale', 'road')]"
8213,"1575, chemin des Vingt",1575 chemin des Vingt,1575,chemin des vingt,,1575 chemin des Vingt,"[('1575', 'house_number'), ('chemin des vingt', 'road')]"
8214,"705, boulevard Clairevue Ouest",705 boulevard Clairevue Ouest,705,boulevard clairevue ouest,,705 boulevard Clairevue Ouest,"[('705', 'house_number'), ('boulevard clairevue ouest', 'road')]"
8215,"421, rue Jeanne-Sauvé",421 rue Jeanne-Sauvé,421,rue jeanne-sauvé,,421 rue Jeanne-Sauvé,"[('421', 'house_number'), ('rue jeanne-sauvé', 'road')]"
8216,"1750, rue Roberval",1750 rue Roberval,1750,rue roberval,,1750 rue Roberval,"[('1750', 'house_number'), ('rue roberval', 'road')]"
8217,"775, montée Montarville",775 montée Montarville,775,montée montarville,,775 montée Montarville,"[('775', 'house_number'), ('montée montarville', 'road')]"
8218,"3171, du Sumac",3171 du Sumac,3171,du sumac,,3171 du Sumac,"[('3171', 'house_number'), ('du sumac', 'road')]"
8219,"15, rue Saint-Jacques",15 rue Saint-Jacques,15,rue saint-jacques,,15 rue Saint-Jacques,"[('15', 'house_number'), ('rue saint-jacques', 'road')]"
8220,"668, montée Montarville",668 montée Montarville,668,montée montarville,,668 montée Montarville,"[('668', 'house_number'), ('montée montarville', 'road')]"
8221,"1435, rue Roberval",1435 rue Roberval,1435,rue roberval,,1435 rue Roberval,"[('1435', 'house_number'), ('rue roberval', 'road')]"
8222,"1460-66, rue Huet",1460-66 rue Huet,1460-66,rue huet,,1460-66 rue Huet,"[('1460-66', 'house_number'), ('rue huet', 'road')]"
8223,"36, chemin de la Rabastalière",36 chemin de la Rabastalière,36,chemin de la rabastalière,,36 chemin de la Rabastalière,"[('36', 'house_number'), ('chemin de la rabastalière', 'road')]"
8224,"582, route 201",582 route 201,582,route 201,,582 route 201,"[('582', 'house_number'), ('route 201', 'road')]"
8225,"333, boulevard Monchamp",333 boulevard Monchamp,333,boulevard monchamp,,333 boulevard Monchamp,"[('333', 'house_number'), ('boulevard monchamp', 'road')]"
8226,"235, boulevard Monchamp",235 boulevard Monchamp,235,boulevard monchamp,,235 boulevard Monchamp,"[('235', 'house_number'), ('boulevard monchamp', 'road')]"
8227,"305, chemin Sainte-Catherine",305 chemin Sainte-Catherine,305,chemin sainte-catherine,,305 chemin Sainte-Catherine,"[('305', 'house_number'), ('chemin sainte-catherine', 'road')]"
8228,"169, rue de Ronsard",169 rue de Ronsard,169,rue de ronsard,,169 rue de Ronsard,"[('169', 'house_number'), ('rue de ronsard', 'road')]"
8229,"26, montée Lasaline",26 montée Lasaline,26,montée lasaline,,26 montée Lasaline,"[('26', 'house_number'), ('montée lasaline', 'road')]"
8230,"119, rue Saint-Pierre, bureau 101",119 rue Saint-Pierre,119,rue saint-pierre,,119 rue Saint-Pierre,"[('119', 'house_number'), ('rue saint-pierre', 'road')]"
8231,"2, montée des Bouleaux, bureau 110",2 montée des Bouleaux,2,montée des bouleaux,,2 montée des Bouleaux,"[('2', 'house_number'), ('montée des bouleaux', 'road')]"
8232,"265, rue Sainte-Catherine",265 rue Sainte-Catherine,265,rue sainte-catherine,,265 rue Sainte-Catherine,"[('265', 'house_number'), ('rue sainte-catherine', 'road')]"
8233,"169A, rue Lasalle",169A rue Lasalle,169a,rue lasalle,,169A rue Lasalle,"[('169a', 'house_number'), ('rue lasalle', 'road')]"
8234,"169, rue Lasalle",169 rue Lasalle,169,rue lasalle,,169 rue Lasalle,"[('169', 'house_number'), ('rue lasalle', 'road')]"
8235,"25, rue Saint-Pierre",25 rue Saint-Pierre,25,rue saint-pierre,,25 rue Saint-Pierre,"[('25', 'house_number'), ('rue saint-pierre', 'road')]"
8236,"1795, avenue Frère André",1795 avenue Frère André,1795,avenue frère andré,,1795 avenue Frère André,"[('1795', 'house_number'), ('avenue frère andré', 'road')]"
8237,"1201-A, avenue Saint-Paul",1201-A avenue Saint-Paul,1201-a,avenue saint-paul,,1201-A avenue Saint-Paul,"[('1201-a', 'house_number'), ('avenue saint-paul', 'road')]"
8238,"1201, avenue St-Paul",1201 avenue St-Paul,1201,avenue st-paul,,1201 avenue St-Paul,"[('1201', 'house_number'), ('avenue st-paul', 'road')]"
8239,"120, rue Mgr Decelles",120 rue Mgr Decelles,120,rue mgr decelles,,120 rue Mgr Decelles,"[('120', 'house_number'), ('rue mgr decelles', 'road')]"
8240,"25 A, rue Théroux",25 A rue Théroux,25 a,rue théroux,,25 A rue Théroux,"[('25 a', 'house_number'), ('rue théroux', 'road')]"
8241,"276, rue du Collège",276 rue du Collège,276,rue du collège,,276 rue du Collège,"[('276', 'house_number'), ('rue du collège', 'road')]"
8242,"1215, rue Du Puits",1215 rue Du Puits,1215,rue du puits,,1215 rue Du Puits,"[('1215', 'house_number'), ('rue du puits', 'road')]"
8243,"6540, chemin de Chambly",6540 chemin de Chambly,6540,chemin de chambly,,6540 chemin de Chambly,"[('6540', 'house_number'), ('chemin de chambly', 'road')]"
8244,"6600, chemin Chambly",6600 chemin Chambly,6600,chemin chambly,,6600 chemin Chambly,"[('6600', 'house_number'), ('chemin chambly', 'road')]"
8245,"5455, rue Canon",5455 rue Canon,5455,rue canon,,5455 rue Canon,"[('5455', 'house_number'), ('rue canon', 'road')]"
8246,"3380, rue Rideau",3380 rue Rideau,3380,rue rideau,,3380 rue Rideau,"[('3380', 'house_number'), ('rue rideau', 'road')]"
8247,"1435, boulevard Gaétan-Boucher",1435 boulevard Gaétan-Boucher,1435,boulevard gaétan-boucher,,1435 boulevard Gaétan-Boucher,"[('1435', 'house_number'), ('boulevard gaétan-boucher', 'road')]"
8248,"1675, rue Langevin",1675 rue Langevin,1675,rue langevin,,1675 rue Langevin,"[('1675', 'house_number'), ('rue langevin', 'road')]"
8249,"1910, boulevard Marie",1910 boulevard Marie,1910,boulevard marie,,1910 boulevard Marie,"[('1910', 'house_number'), ('boulevard marie', 'road')]"
8250,"6801, route de l'Aéroport",6801 route de l'Aéroport,6801,route de l'aéroport,,6801 route de l'Aéroport,"[('6801', 'house_number'), (""route de l'aéroport"", 'road')]"
8251,"5220, rue Grande Allée",5220 rue Grande Allée,5220,rue grande allée,,5220 rue Grande Allée,"[('5220', 'house_number'), ('rue grande allée', 'road')]"
8252,"4490, rue de Lanaudière",4490 rue de Lanaudière,4490,rue de lanaudière,,4490 rue de Lanaudière,"[('4490', 'house_number'), ('rue de lanaudière', 'road')]"
8253,"3600, rue Paré",3600 rue Paré,3600,rue paré,,3600 rue Paré,"[('3600', 'house_number'), ('rue paré', 'road')]"
8254,"5500, rue David",5500 rue David,5500,rue david,,5500 rue David,"[('5500', 'house_number'), ('rue david', 'road')]"
8255,"1924, boulevard Édouard",1924 boulevard Édouard,1924,boulevard édouard,,1924 boulevard Édouard,"[('1924', 'house_number'), ('boulevard édouard', 'road')]"
8256,"4800, boulevard Davis",4800 boulevard Davis,4800,boulevard davis,,4800 boulevard Davis,"[('4800', 'house_number'), ('boulevard davis', 'road')]"
8257,"3480, rue MacKay",3480 rue MacKay,3480,rue mackay,,3480 rue MacKay,"[('3480', 'house_number'), ('rue mackay', 'road')]"
8258,"2401, rue Coderre",2401 rue Coderre,2401,rue coderre,,2401 rue Coderre,"[('2401', 'house_number'), ('rue coderre', 'road')]"
8259,"3565, rue Pierre-Thomas-Hurteau",3565 rue Pierre-Thomas-Hurteau,3565,rue pierre-thomas-hurteau,,3565 rue Pierre-Thomas-Hurteau,"[('3565', 'house_number'), ('rue pierre-thomas-hurteau', 'road')]"
8260,"4195, boulevard Westley",4195 boulevard Westley,4195,boulevard westley,,4195 boulevard Westley,"[('4195', 'house_number'), ('boulevard westley', 'road')]"
8261,"5952, chemin Chambly",5952 chemin Chambly,5952,chemin chambly,,5952 chemin Chambly,"[('5952', 'house_number'), ('chemin chambly', 'road')]"
8262,"5110, boulevard Cousineau, #200B",5110 boulevard Cousineau #200B,boulevard cousineau,#200b,5110,#200 5110 boulevard Cousineau B,"[('#200', 'unit'), ('5110', 'house_number'), ('boulevard cousineau b', 'road')]"
8263,"3897, Grande Allée",3897 Grande Allée,3897,grande allée,,3897 Grande Allée,"[('3897', 'house_number'), ('grande allée', 'road')]"
8264,"5220, rue Grande Allée",5220 rue Grande Allée,5220,rue grande allée,,5220 rue Grande Allée,"[('5220', 'house_number'), ('rue grande allée', 'road')]"
8265,"5740, Grande Allée",5740 Grande Allée,5740,grande allée,,5740 Grande Allée,"[('5740', 'house_number'), ('grande allée', 'road')]"
8266,"3150, Montée St-Hubert",3150 Montée St-Hubert,3150,montée st-hubert,,3150 Montée St-Hubert,"[('3150', 'house_number'), ('montée st-hubert', 'road')]"
8267,"5950, chemin Chambly",5950 chemin Chambly,5950,chemin chambly,,5950 chemin Chambly,"[('5950', 'house_number'), ('chemin chambly', 'road')]"
8268,"3126, rue Pierre-Thomas-Hurteau",3126 rue Pierre-Thomas-Hurteau,3126,rue pierre-thomas-hurteau,,3126 rue Pierre-Thomas-Hurteau,"[('3126', 'house_number'), ('rue pierre-thomas-hurteau', 'road')]"
8269,"4220, montée Saint-Hubert",4220 montée Saint-Hubert,4220,montée saint-hubert,,4220 montée Saint-Hubert,"[('4220', 'house_number'), ('montée saint-hubert', 'road')]"
8270,"3695, boul. Taschereau",3695 boul Taschereau,3695,boul taschereau,,3695 boul Taschereau,"[('3695', 'house_number'), ('boul taschereau', 'road')]"
8271,"2095-2099, boulevard Édouard",2095-2099 boulevard Édouard,2095-2099,boulevard édouard,,2095-2099 boulevard Édouard,"[('2095-2099', 'house_number'), ('boulevard édouard', 'road')]"
8272,"7590-7600, chemin de Chambly",7590-7600 chemin de Chambly,7590-7600,chemin de chambly,,7590-7600 chemin de Chambly,"[('7590-7600', 'house_number'), ('chemin de chambly', 'road')]"
8273,"4600, rue Armand-Frappier",4600 rue Armand-Frappier,4600,rue armand-frappier,,4600 rue Armand-Frappier,"[('4600', 'house_number'), ('rue armand-frappier', 'road')]"
8274,"3910, montée St-Hubert",3910 montée St-Hubert,3910,montée st-hubert,,3910 montée St-Hubert,"[('3910', 'house_number'), ('montée st-hubert', 'road')]"
8275,"5949, boulevard Payer",5949 boulevard Payer,5949,boulevard payer,,5949 boulevard Payer,"[('5949', 'house_number'), ('boulevard payer', 'road')]"
8276,"5979, boulevard Payer",5979 boulevard Payer,5979,boulevard payer,,5979 boulevard Payer,"[('5979', 'house_number'), ('boulevard payer', 'road')]"
8277,"7020, Grande Allée",7020 Grande Allée,7020,grande allée,,7020 Grande Allée,"[('7020', 'house_number'), ('grande allée', 'road')]"
8278,"5791, boulevard Cousineau",5791 boulevard Cousineau,5791,boulevard cousineau,,5791 boulevard Cousineau,"[('5791', 'house_number'), ('boulevard cousineau', 'road')]"
8279,"4975, boulevard Sir Wilfrid-Laurier, 2e étage",4975 boulevard Sir Wilfrid-Laurier 2e étage,boulevard sir wilfrid-laurier,2e étage,4975,4975 boulevard Sir Wilfrid-Laurier 2e étage,"[('4975', 'house_number'), ('boulevard sir wilfrid-laurier', 'road'), ('2e étage', 'level')]"
8280,"100-1400, boulevard Edouard, suite 100",100-1400 boulevard Edouard #100,boulevard edouard,#100,100-1400,#100 100-1400 boulevard Edouard ,"[('#100', 'unit'), ('100-1400', 'house_number'), ('boulevard edouard', 'road')]"
8281,"4505, rue Leckie",4505 rue Leckie,4505,rue leckie,,4505 rue Leckie,"[('4505', 'house_number'), ('rue leckie', 'road')]"
8282,"3467, boulevard Gaétan Boucher",3467 boulevard Gaétan Boucher,3467,boulevard gaétan boucher,,3467 boulevard Gaétan Boucher,"[('3467', 'house_number'), ('boulevard gaétan boucher', 'road')]"
8283,"3729, rue Windsor",3729 rue Windsor,3729,rue windsor,,3729 rue Windsor,"[('3729', 'house_number'), ('rue windsor', 'road')]"
8284,"3572, boulevard Mountainview",3572 boulevard Mountainview,3572,boulevard mountainview,,3572 boulevard Mountainview,"[('3572', 'house_number'), ('boulevard mountainview', 'road')]"
8285,"175, rue Saint-Germain",175 rue Saint-Germain,175,rue saint-germain,,175 rue Saint-Germain,"[('175', 'house_number'), ('rue saint-germain', 'road')]"
8286,"750, rue Villeneuve Ouest",750 rue Villeneuve Ouest,750,rue villeneuve ouest,,750 rue Villeneuve Ouest,"[('750', 'house_number'), ('rue villeneuve ouest', 'road')]"
8287,"1025, rue Gauthier",1025 rue Gauthier,1025,rue gauthier,,1025 rue Gauthier,"[('1025', 'house_number'), ('rue gauthier', 'road')]"
8288,"2800, rue Monette",2800 rue Monette,2800,rue monette,,2800 rue Monette,"[('2800', 'house_number'), ('rue monette', 'road')]"
8289,"1305, boul. Casavant Est",1305 boul Casavant Est,1305,boul casavant est,,1305 boul Casavant Est,"[('1305', 'house_number'), ('boul casavant est', 'road')]"
8290,"7015, rue des Semailles",7015 rue des Semailles,7015,rue des semailles,,7015 rue des Semailles,"[('7015', 'house_number'), ('rue des semailles', 'road')]"
8291,"2150, rue Mailhot",2150 rue Mailhot,2150,rue mailhot,,2150 rue Mailhot,"[('2150', 'house_number'), ('rue mailhot', 'road')]"
8292,"7225, boulevard Laframboise",7225 boulevard Laframboise,7225,boulevard laframboise,,7225 boulevard Laframboise,"[('7225', 'house_number'), ('boulevard laframboise', 'road')]"
8293,"1700, rue Sainte-Madeleine",1700 rue Sainte-Madeleine,1700,rue sainte-madeleine,,1700 rue Sainte-Madeleine,"[('1700', 'house_number'), ('rue sainte-madeleine', 'road')]"
8294,"2420, rue Lambert-Sarazin",2420 rue Lambert-Sarazin,2420,rue lambert-sarazin,,2420 rue Lambert-Sarazin,"[('2420', 'house_number'), ('rue lambert-sarazin', 'road')]"
8295,"13570, avenue de l'Église",13570 avenue de l'Église,13570,avenue de l'église,,13570 avenue de l'Église,"[('13570', 'house_number'), (""avenue de l'église"", 'road')]"
8296,"485, avenue Brodeur",485 avenue Brodeur,485,avenue brodeur,,485 avenue Brodeur,"[('485', 'house_number'), ('avenue brodeur', 'road')]"
8297,"3050, rue Boullé",3050 rue Boullé,3050,rue boullé,,3050 rue Boullé,"[('3050', 'house_number'), ('rue boullé', 'road')]"
8298,"3222, rue Sicotte",3222 rue Sicotte,3222,rue sicotte,,3222 rue Sicotte,"[('3222', 'house_number'), ('rue sicotte', 'road')]"
8299,"5925, rue Lafleur",5925 rue Lafleur,5925,rue lafleur,,5925 rue Lafleur,"[('5925', 'house_number'), ('rue lafleur', 'road')]"
8300,"3095, rue Saint-Charles",3095 rue Saint-Charles,3095,rue saint-charles,,3095 rue Saint-Charles,"[('3095', 'house_number'), ('rue saint-charles', 'road')]"
8301,"1355, Calixa-Lavallée",1355 Calixa-Lavallée,1355,calixa-lavallée,,1355 Calixa-Lavallée,"[('1355', 'house_number'), ('calixa-lavallée', 'road')]"
8302,"1090, avenue Pratte",1090 avenue Pratte,1090,avenue pratte,,1090 avenue Pratte,"[('1090', 'house_number'), ('avenue pratte', 'road')]"
8303,"2065, rue Cherrier",2065 rue Cherrier,2065,rue cherrier,,2065 rue Cherrier,"[('2065', 'house_number'), ('rue cherrier', 'road')]"
8304,"6250, boulevard Laurier Ouest",6250 boulevard Laurier Ouest,6250,boulevard laurier ouest,,6250 boulevard Laurier Ouest,"[('6250', 'house_number'), ('boulevard laurier ouest', 'road')]"
8305,"6260, boulevard Laurier Ouest",6260 boulevard Laurier Ouest,6260,boulevard laurier ouest,,6260 boulevard Laurier Ouest,"[('6260', 'house_number'), ('boulevard laurier ouest', 'road')]"
8306,"597, rang Saint-Régis",597 rang Saint-Régis,597,rang saint-régis,,597 rang Saint-Régis,"[('597', 'house_number'), ('rang saint-régis', 'road')]"
8307,"3270, rue Robert",3270 rue Robert,3270,rue robert,,3270 rue Robert,"[('3270', 'house_number'), ('rue robert', 'road')]"
8308,"395, rue Vaudreuil",395 rue Vaudreuil,395,rue vaudreuil,,395 rue Vaudreuil,"[('395', 'house_number'), ('rue vaudreuil', 'road')]"
8309,"51, rue Frontenac",51 rue Frontenac,51,rue frontenac,,51 rue Frontenac,"[('51', 'house_number'), ('rue frontenac', 'road')]"
8310,"51B, rue Frontenac",51B rue Frontenac,51b,rue frontenac,,51B rue Frontenac,"[('51b', 'house_number'), ('rue frontenac', 'road')]"
8311,"240, rue France",240 rue France,240,rue france,,240 rue France,"[('240', 'house_number'), ('rue france', 'road')]"
8312,"1463, rue Bernier",1463 rue Bernier,1463,rue bernier,,1463 rue Bernier,"[('1463', 'house_number'), ('rue bernier', 'road')]"
8313,"1459, rue Bernier",1459 rue Bernier,1459,rue bernier,,1459 rue Bernier,"[('1459', 'house_number'), ('rue bernier', 'road')]"
8314,"935, rue Desaulniers",935 rue Desaulniers,935,rue desaulniers,,935 rue Desaulniers,"[('935', 'house_number'), ('rue desaulniers', 'road')]"
8315,"935, rue Desaulniers",935 rue Desaulniers,935,rue desaulniers,,935 rue Desaulniers,"[('935', 'house_number'), ('rue desaulniers', 'road')]"
8316,"147, rue Roman",147 rue Roman,147,rue roman,,147 rue Roman,"[('147', 'house_number'), ('rue roman', 'road')]"
8317,"433, rue Laurier",433 rue Laurier,433,rue laurier,,433 rue Laurier,"[('433', 'house_number'), ('rue laurier', 'road')]"
8318,"970, rue Choquette",970 rue Choquette,970,rue choquette,,970 rue Choquette,"[('970', 'house_number'), ('rue choquette', 'road')]"
8319,"180, rue Lareau",180 rue Lareau,180,rue lareau,,180 rue Lareau,"[('180', 'house_number'), ('rue lareau', 'road')]"
8320,"405, rue Coderre",405 rue Coderre,405,rue coderre,,405 rue Coderre,"[('405', 'house_number'), ('rue coderre', 'road')]"
8321,"202, rue Courville",202 rue Courville,202,rue courville,,202 rue Courville,"[('202', 'house_number'), ('rue courville', 'road')]"
8322,"1045, rue Provençal",1045 rue Provençal,1045,rue provençal,,1045 rue Provençal,"[('1045', 'house_number'), ('rue provençal', 'road')]"
8323,"101, rue Pierre-Brault",101 rue Pierre-Brault,101,rue pierre-brault,,101 rue Pierre-Brault,"[('101', 'house_number'), ('rue pierre-brault', 'road')]"
8324,"125, chemin de l'Aéroport",125 chemin de l'Aéroport,125,chemin de l'aéroport,,125 chemin de l'Aéroport,"[('125', 'house_number'), (""chemin de l'aéroport"", 'road')]"
8325,"66, rue Pierre-Brosseau",66 rue Pierre-Brosseau,66,rue pierre-brosseau,,66 rue Pierre-Brosseau,"[('66', 'house_number'), ('rue pierre-brosseau', 'road')]"
8326,"475, 2e Avenue",475 2e Avenue,475,2e avenue,,475 2e Avenue,"[('475', 'house_number'), ('2e avenue', 'road')]"
8327,"196, rue St-Louis, bureau 103",196 rue St-Louis,196,rue st-louis,,196 rue St-Louis,"[('196', 'house_number'), ('rue st-louis', 'road')]"
8328,"198, rue St-Louis, bureau 104",198 rue St-Louis,198,rue st-louis,,198 rue St-Louis,"[('198', 'house_number'), ('rue st-louis', 'road')]"
8329,"606, rue Champlain, suite 102",606 rue Champlain #102,rue champlain,#102,606,#102 606 rue Champlain ,"[('#102', 'unit'), ('606', 'house_number'), ('rue champlain', 'road')]"
8330,"608, rue Champlain",608 rue Champlain,608,rue champlain,,608 rue Champlain,"[('608', 'house_number'), ('rue champlain', 'road')]"
8331,"650, rue Boucher, suite 202",650 rue Boucher #202,rue boucher,#202,650,#202 650 rue Boucher ,"[('#202', 'unit'), ('650', 'house_number'), ('rue boucher', 'road')]"
8332,"115, rue Towner",115 rue Towner,115,rue towner,,115 rue Towner,"[('115', 'house_number'), ('rue towner', 'road')]"
8333,"385, rue des Colibris",385 rue des Colibris,385,rue des colibris,,385 rue des Colibris,"[('385', 'house_number'), ('rue des colibris', 'road')]"
8334,"115, rue des Mimosas",115 rue des Mimosas,115,rue des mimosas,,115 rue des Mimosas,"[('115', 'house_number'), ('rue des mimosas', 'road')]"
8335,"1095, rue Bernier",1095 rue Bernier,1095,rue bernier,,1095 rue Bernier,"[('1095', 'house_number'), ('rue bernier', 'road')]"
8336,"165, rue St- Paul",165 rue St- Paul,165,rue st paul,,165 rue St- Paul,"[('165', 'house_number'), ('rue st paul', 'road')]"
8337,"880, 2e Rue",880 2e Rue,880,2e rue,,880 2e Rue,"[('880', 'house_number'), ('2e rue', 'road')]"
8338,"112, boulevard Saint-Luc, local 101",112 boulevard Saint-Luc,112,boulevard saint-luc,,112 boulevard Saint-Luc,"[('112', 'house_number'), ('boulevard saint-luc', 'road')]"
8339,"141, boulevard Saint-Luc, suite 103",141 boulevard Saint-Luc #103,boulevard saint-luc,#103,141,#103 141 boulevard Saint-Luc ,"[('#103', 'unit'), ('141', 'house_number'), ('boulevard saint-luc', 'road')]"
8340,"201, rue Grenier",201 rue Grenier,201,rue grenier,,201 rue Grenier,"[('201', 'house_number'), ('rue grenier', 'road')]"
8341,"440, boulevard Saint-Luc, local 104",440 boulevard Saint-Luc,440,boulevard saint-luc,,440 boulevard Saint-Luc,"[('440', 'house_number'), ('boulevard saint-luc', 'road')]"
8342,"440, boulevard St-Luc, local 106",440 boulevard St-Luc,440,boulevard st-luc,,440 boulevard St-Luc,"[('440', 'house_number'), ('boulevard st-luc', 'road')]"
8343,"550, boulevard de Normandie, bureau 900",550 boulevard de Normandie,550,boulevard de normandie,,550 boulevard de Normandie,"[('550', 'house_number'), ('boulevard de normandie', 'road')]"
8344,"90A, route 104",90A route 104,90a,route 104,,90A route 104,"[('90a', 'house_number'), ('route 104', 'road')]"
8345,"715, boulevard d'Iberville, suite 104",715 boulevard d'Iberville #104,boulevard d'iberville,#104,715,#104 715 boulevard d'Iberville ,"[('#104', 'unit'), ('715', 'house_number'), (""boulevard d'iberville"", 'road')]"
8346,"735, boulevard d'Iberville",735 boulevard d'Iberville,735,boulevard d'iberville,,735 boulevard d'Iberville,"[('735', 'house_number'), (""boulevard d'iberville"", 'road')]"
8347,"425, rue des Colibris",425 rue des Colibris,425,rue des colibris,,425 rue des Colibris,"[('425', 'house_number'), ('rue des colibris', 'road')]"
8348,"1009, rue Saint-Pierre",1009 rue Saint-Pierre,1009,rue saint-pierre,,1009 rue Saint-Pierre,"[('1009', 'house_number'), ('rue saint-pierre', 'road')]"
8349,"510, avenue Mercille",510 avenue Mercille,510,avenue mercille,,510 avenue Mercille,"[('510', 'house_number'), ('avenue mercille', 'road')]"
8350,"266, avenue Saint-Denis",266 avenue Saint-Denis,266,avenue saint-denis,,266 avenue Saint-Denis,"[('266', 'house_number'), ('avenue saint-denis', 'road')]"
8351,"2035-F, avenue Victoria",2035-F avenue Victoria,avenue,victoria,2035-f,2035-F avenue Victoria,"[('2035-f', 'house_number'), ('avenue', 'road'), ('victoria', 'city')]"
8352,"2071-2073, rue Victoria",2071-2073 rue Victoria,2071-2073,rue victoria,,2071-2073 rue Victoria,"[('2071-2073', 'house_number'), ('rue victoria', 'road')]"
8353,"185, rue Riverside",185 rue Riverside,185,rue riverside,,185 rue Riverside,"[('185', 'house_number'), ('rue riverside', 'road')]"
8354,"480-482-484, rue Rothesay",480-482-484 rue Rothesay,480-482-484,rue rothesay,,480-482-484 rue Rothesay,"[('480-482-484', 'house_number'), ('rue rothesay', 'road')]"
8355,"201, rue Cartier",201 rue Cartier,201,rue cartier,,201 rue Cartier,"[('201', 'house_number'), ('rue cartier', 'road')]"
8356,"50, avenue Sainte-Hélène",50 avenue Sainte-Hélène,50,avenue sainte-hélène,,50 avenue Sainte-Hélène,"[('50', 'house_number'), ('avenue sainte-hélène', 'road')]"
8357,"1720, chemin Sainte-Angélique",1720 chemin Sainte-Angélique,1720,chemin sainte-angélique,,1720 chemin Sainte-Angélique,"[('1720', 'house_number'), ('chemin sainte-angélique', 'road')]"
8358,"1439, chemin Sainte-Angélique",1439 chemin Sainte-Angélique,1439,chemin sainte-angélique,,1439 chemin Sainte-Angélique,"[('1439', 'house_number'), ('chemin sainte-angélique', 'road')]"
8359,"1478B, chemin Sainte-Angélique",1478B chemin Sainte-Angélique,1478b,chemin sainte-angélique,,1478B chemin Sainte-Angélique,"[('1478b', 'house_number'), ('chemin sainte-angélique', 'road')]"
8360,"1478, chemin Sainte-Angélique",1478 chemin Sainte-Angélique,1478,chemin sainte-angélique,,1478 chemin Sainte-Angélique,"[('1478', 'house_number'), ('chemin sainte-angélique', 'road')]"
8361,"1475, chemin Sainte Angélique",1475 chemin Sainte Angélique,1475,chemin sainte angélique,,1475 chemin Sainte Angélique,"[('1475', 'house_number'), ('chemin sainte angélique', 'road')]"
8362,"499D, route de la Cité-des-Jeunes",499D route de la Cité-des-Jeunes,499d,route de la cité-des-jeunes,,499D route de la Cité-des-Jeunes,"[('499d', 'house_number'), ('route de la cité-des-jeunes', 'road')]"
