,cityprov
774,"La Loche SK, Canada"
775,"Muskowekwan 85 5 SK, Canada"
776,"Waverley NS, Canada"
777,"Lily Bay MB, Canada"
778,"Carry The Kettle 76 41 SK, Canada"
779,"Balcarres SK, Canada"
780,"Makinak MB, Canada"
781,"Mooseocoot 3 MB, Canada"
782,"Fisher Branch MB, Canada"
783,"NCN Mystery Lake Parcel MB, Canada"
784,"Esker Ridge MB, Canada"
785,"Mistawasis 103F SK, Canada"
786,"William Lake Provincial Park MB, Canada"
787,"Ochapowace 71 28 SK, Canada"
788,"Hanwell NB, Canada"
789,"Emeryville ON, Canada"
790,"Holmfield MB, Canada"
791,"St Claude MB, Canada"
792,"Gascoigne SK, Canada"
793,"Glenside SK, Canada"
794,"Murphys SK, Canada"
795,"Wuskwi Sakaheykun MB, Canada"
796,"Larkhall MB, Canada"
797,"Cantyre SK, Canada"
798,"Montmartre No 126 SK, Canada"
799,"Hassan SK, Canada"
800,"Milton No 292 SK, Canada"
801,"Riverside Wildlife Management Area MB, Canada"
802,"English River First Nation Cable Bay Cree Lake 192M SK, Canada"
803,"Trois rivieres QC, Canada"
804,"Norway House 17D 9 MB, Canada"
805,"Mistawasis 103 SK, Canada"
806,"Holliston SK, Canada"
807,"Mantario Wildlife Management Unit SK, Canada"
808,"Fishing Lake 89 SK, Canada"
809,"Stony Point MB, Canada"
810,"Swan Lake Reserve MB, Canada"
811,"Garson MB, Canada"
812,"Brooks AB, Canada"
813,"National Mills MB, Canada"
814,"Portage la Prairie MB, Canada"
815,"Mistawasis 103I SK, Canada"
816,"Long Lake MB, Canada"
817,"Milden SK, Canada"
818,"Goodwater SK, Canada"
819,"Industrial SK, Canada"
820,"Fort Albany ON, Canada"
821,"Muskowekwan 85 55 SK, Canada"
822,"Fairford MB, Canada"
823,"Greenwater Lake SK, Canada"
824,"Wawota SK, Canada"
825,"Ochapowace 71 110 SK, Canada"
826,"Edgell SK, Canada"
827,"Dunrea MB, Canada"
828,"Avonhurst SK, Canada"
829,"Fowler Lake Recreation Site SK, Canada"
830,"Denbow MB, Canada"
831,"Armilla SK, Canada"
832,"Dafoe SK, Canada"
833,"Cedoux SK, Canada"
834,"Northwest Angle Provincial Forest MB, Canada"
835,"Paquetville NB, Canada"
836,"Manor SK, Canada"
837,"Birds Hill Wildlife Refuge MB, Canada"
838,"Blackfalds AB, Canada"
839,"Linacre SK, Canada"
840,"Darwin MB, Canada"
841,"Gaines SK, Canada"
842,"Rock Ridge MB, Canada"
843,"Bernice MB, Canada"
844,"Westbank BC, Canada"
845,"Driver SK, Canada"
846,"Kingsley No 124 SK, Canada"
847,"Montreal Lake SK, Canada"
848,"Ochapowace 71 118 SK, Canada"
849,"Fairford Reserve MB, Canada"
850,"Meadow Portage MB, Canada"
851,"Pierrefonds QC, Canada"
852,"Granville Lake MB, Canada"
853,"Springhill MB, Canada"
854,"Norway House Cree Nation Minahigok Sakahigan MB, Canada"
855,"Windsor ON, Canada"
856,"Fosterton SK, Canada"
857,"Mortlach SK, Canada"
858,"Muskeg Lake 102E SK, Canada"
859,"Muskowekwan 85 59 SK, Canada"
860,"Bruderheim AB, Canada"
861,"Gray SK, Canada"
862,"Washago ON, Canada"
863,"Beverley SK, Canada"
864,"Wakopa MB, Canada"
865,"Camper MB, Canada"
866,"Tuxedo MB, Canada"
867,"Crooked Turn MB, Canada"
868,"Bacon Ridge MB, Canada"
869,"Creelman SK, Canada"
870,"Lacadena No 228 SK, Canada"
871,"Armit SK, Canada"
872,"Melville Game Preserve SK, Canada"
873,"St Catharines ON, Canada"
874,"Shergrove MB, Canada"
875,"Lakewood SK, Canada"
876,"Brights Grove ON, Canada"
877,"Dog Creek MB, Canada"
878,"Faulkner MB, Canada"
879,"Edward MB, Canada"
880,"Bruce Park MB, Canada"
881,"Bensham SK, Canada"
882,"Oak Lake Game Bird Refuge MB, Canada"
883,"Fort St James BC, Canada"
884,"Iffley SK, Canada"
885,"Swan Lake Game Bird Refuge MB, Canada"
886,"Harris SK, Canada"
887,"Carry The Kettle 76 19 SK, Canada"
888,"Anderson Island Protected Area SK, Canada"
889,"Tyndall Park MB, Canada"
890,"Moosomin and District Regional Park SK, Canada"
891,"Condie SK, Canada"
892,"Arborfield No 456 SK, Canada"
893,"Ingelow MB, Canada"
894,"Gillam MB, Canada"
895,"Assiniview Park MB, Canada"
896,"Elaine Lake Road Corridor Game Preserve SK, Canada"
897,"Cree Lake SK, Canada"
898,"Birch Bay MB, Canada"
899,"Marshall SK, Canada"
900,"Dawson Creek BC, Canada"
901,"J Hooge Wildlife Refuge MB, Canada"
902,"Kegworth SK, Canada"
903,"Coquitlam BC, Canada"
904,"Brada SK, Canada"
905,"Ochapowace 71 87 SK, Canada"
906,"Moosomin 112J SK, Canada"
907,"George Gordon First Nation 86 5 SK, Canada"
908,"Riverview NB, Canada"
909,"Keeseekoose 66 Ca 04 SK, Canada"
910,"Horse Creek SK, Canada"
911,"Whiskeyjack MB, Canada"
912,"Invergordon No 430 SK, Canada"
913,"Cameron MB, Canada"
914,"Albatross SK, Canada"
915,"Hillsborough No 132 SK, Canada"
916,"Dubuc SK, Canada"
917,"Ochapowace 71 124 SK, Canada"
918,"Annapolis Royal NS, Canada"
919,"Ochapowace 71 63 SK, Canada"
920,"Sprucewoods MB, Canada"
921,"North Kildonan MB, Canada"
922,"Lyonshall MB, Canada"
923,"Kedleston SK, Canada"
924,"Davis SK, Canada"
925,"Birdtail Hay Lands 57A MB, Canada"
926,"Val d'Amour NB, Canada"
927,"Tracadie sheila NB, Canada"
928,"Wanipigow East MB, Canada"
929,"Carievale SK, Canada"
930,"Norway House Cree Nation Hairy Lake MB, Canada"
931,"Whitemud Watershed Wildlife Management Area MB, Canada"
932,"West Shoal Lake Game Bird Refuge MB, Canada"
933,"Battleford Junction SK, Canada"
934,"Ituna Bon Accord No 246 SK, Canada"
935,"Freedale MB, Canada"
936,"Bay Shore Heights MB, Canada"
937,"Glen Bain No 105 SK, Canada"
938,"Courval SK, Canada"
939,"Deer Lodge MB, Canada"
940,"Ralls Island MB, Canada"
941,"Buffalo Point 36 MB, Canada"
942,"Hughes MB, Canada"
943,"Sandilands Provincial Forest MB, Canada"
944,"Grand Coulee SK, Canada"
945,"Shoal Lake MB, Canada"
946,"Pansy MB, Canada"
947,"Neudorf SK, Canada"
948,"Arlington Beach SK, Canada"
949,"Beaver Dale SK, Canada"
950,"Saint Basile NB, Canada"
951,"Burgis Beach SK, Canada"
952,"Ste Agathe MB, Canada"
953,"Bethany MB, Canada"
954,"Coronation Park SK, Canada"
955,"Lajord SK, Canada"
956,"Manigotagan River Provincial Park MB, Canada"
957,"Carberry Junction MB, Canada"
958,"Ochapowace 71 68 SK, Canada"
959,"Colby MB, Canada"
960,"Fulda SK, Canada"
961,"Nelson House 170A MB, Canada"
962,"Cumberland Beach ON, Canada"
963,"Carry The Kettle 76 51 SK, Canada"
964,"Buchanan No 304 SK, Canada"
965,"Grande Prairie AB, Canada"
966,"St Ouens MB, Canada"
967,"Glenforsa MB, Canada"
968,"Lyn ON, Canada"
969,"Overstoneville MB, Canada"
970,"Edgeworth SK, Canada"
971,"Deseronto ON, Canada"
972,"Langbank SK, Canada"
973,"Fallison MB, Canada"
974,"Hawoods SK, Canada"
975,"Altawan SK, Canada"
976,"Moline MB, Canada"
977,"Griffin No 66 SK, Canada"
978,"Norway House 17C 42 MB, Canada"
979,"River Road Provincial Park MB, Canada"
980,"Harvey Station NB, Canada"
981,"Allen Rapids MB, Canada"
982,"Stewart Valley SK, Canada"
983,"Bienfait SK, Canada"
984,"Glenbogie SK, Canada"
985,"New Maryland NB, Canada"
986,"Crescent Heights SK, Canada"
987,"Rosedale MB, Canada"
988,"Laurier No 38 SK, Canada"
989,"Miller's Hill SK, Canada"
990,"North Gower ON, Canada"
991,"Tyne Valley PE, Canada"
992,"Millbrook ON, Canada"
993,"Lucky Lake SK, Canada"
994,"Dilke SK, Canada"
995,"Réserve nationale de faune de Rockwood MB, Canada"
996,"Fort Walsh National Historic Site of Canada SK, Canada"
997,"Horndean MB, Canada"
998,"Muskowekwan 85A SK, Canada"
999,"Kahkewistahaw 72M SK, Canada"
1000,"Kirkness MB, Canada"
1001,"Blue Jay SK, Canada"
1002,"Porcupine Provincial Forest MB, Canada"
1003,"Parc national du Canada du Mont Riding MB, Canada"
1004,"Churchill Lake 193A SK, Canada"
1005,"Amherstview ON, Canada"
1006,"Geary NB, Canada"
1007,"Chelsea QC, Canada"
1008,"Wapikunoo Bay MB, Canada"
1009,"Arborg MB, Canada"
1010,"Don Mills ON, Canada"
1011,"Putahow Lake Site F MB, Canada"
1012,"St Isidore De Prescott ON, Canada"
1013,"Mistawasis 103H SK, Canada"
1014,"Whyte Ridge MB, Canada"
1015,"Kincaid SK, Canada"
1016,"Lidstone MB, Canada"
1017,"Hepburn SK, Canada"
1018,"Havelock ON, Canada"
1019,"Big Buffalo Beach Recreation Site SK, Canada"
1020,"Leven MB, Canada"
1021,"Gunnworth SK, Canada"
1022,"Keeseekoose 66 CA 03 SK, Canada"
1023,"Bradford ON, Canada"
1024,"Carry The Kettle 76 54 SK, Canada"
1025,"Blue Heron SK, Canada"
1026,"Meadow Lake SK, Canada"
1027,"Sunset Bay MB, Canada"
1028,"Hazel Cliffe SK, Canada"
1029,"Dawson YT, Canada"
1030,"Emerson MB, Canada"
1031,"Renwer MB, Canada"
1032,"Glenlawn MB, Canada"
1033,"Nickle Lake Regional Park SK, Canada"
1034,"Liebenthal SK, Canada"
1035,"Nį̀txeli Tuwé 1 MB, Canada"
1036,"Richer MB, Canada"
1037,"Colonsay No 342 SK, Canada"
1038,"Grimshaw AB, Canada"
1039,"Old England MB, Canada"
1040,"Mount Albert ON, Canada"
1041,"Halfway House Recreation Site SK, Canada"
1042,"St Francois Xavier MB, Canada"
1043,"Rocanville SK, Canada"
1044,"Verdun QC, Canada"
1045,"Lamont AB, Canada"
1046,"Rafter MB, Canada"
1047,"Listowel ON, Canada"
1048,"Bender MB, Canada"
1049,"Gold Eagle SK, Canada"
1050,"O Pipon Na Piwin Cree Nation 1 MB, Canada"
1051,"Watrous SK, Canada"
1052,"Carmichael SK, Canada"
1053,"International Peace Garden MB, Canada"
1054,"Mistawasis 103A SK, Canada"
1055,"Fillmore SK, Canada"
1056,"Ettington SK, Canada"
1057,"Battle of Fish Creek National Historic Site of Canada SK, Canada"
1058,"Tatuwe Chock MB, Canada"
1059,"Ponask Lake MB, Canada"
1060,"Pleasant Valley MB, Canada"
1061,"Little Saskatchewan MB, Canada"
1062,"Dieppe NB, Canada"
1063,"Lenore Lake Wildlife Refuge SK, Canada"
1064,"Ochapowace 71 76 SK, Canada"
1065,"Negginan MB, Canada"
1066,"Clarenville shoal Harbour NL, Canada"
1067,"Little Fishing Lake SK, Canada"
1068,"Ochapowace 71 71 SK, Canada"
1069,"Estlin SK, Canada"
1070,"Blumenthal SK, Canada"
1071,"Cuthbert SK, Canada"
1072,"North Star SK, Canada"
1073,"Fleming SK, Canada"
1074,"Cumberland House Provincial Park SK, Canada"
1075,"Wilkie SK, Canada"
1076,"Cross Lake 19D MB, Canada"
1077,"Chatfield MB, Canada"
1078,"Zelana MB, Canada"
1079,"Deloraine MB, Canada"
1080,"Marshy Point Game Bird Refuge MB, Canada"
1081,"Morin Lake 217 SK, Canada"
1082,"West Kildonan MB, Canada"
1083,"Victoria Crescent MB, Canada"
1084,"Eastview SK, Canada"
1085,"North Junction MB, Canada"
1086,"Bloodvein 12 MB, Canada"
1087,"Norway House 17C 14 MB, Canada"
1088,"Carey MB, Canada"
1089,"Stleonard QC, Canada"
1090,"Otter Lake Wildlife Management Area MB, Canada"
1091,"Calrin MB, Canada"
1092,"Kelsey MB, Canada"
1093,"Beaver Bank NS, Canada"
1094,"Spruce Bay Heights MB, Canada"
1095,"Eyebrow No 193 SK, Canada"
1096,"Silver MB, Canada"
1097,"Cote st luc QC, Canada"
1098,"Foxboro ON, Canada"
1099,"Merid SK, Canada"
1100,"Coe Hill ON, Canada"
1101,"Pine Glen NB, Canada"
1102,"Asinkaanumevatt MB, Canada"
1103,"McTaggart SK, Canada"
1104,"Vista MB, Canada"
1105,"Bishopric SK, Canada"
1106,"Carooman MB, Canada"
1107,"Lake of The Rivers No 72 SK, Canada"
1108,"Merryflat SK, Canada"
1109,"Hart Butte No 11 SK, Canada"
1110,"Carry The Kettle 76 64 SK, Canada"
1111,"Coxby SK, Canada"
1112,"City Park South SK, Canada"
1113,"Ritchot MB, Canada"
1114,"Smith Hill MB, Canada"
1115,"Charlotte Co NB, Canada"
1116,"Elfros SK, Canada"
1117,"Sawbill MB, Canada"
1118,"Maskikopawiscikosik 229 SK, Canada"
1119,"Feather Rapids MB, Canada"
1120,"Arnot MB, Canada"
1121,"Lampard SK, Canada"
1122,"Moosomin No 121 SK, Canada"
1123,"Crystal Beach Regional Park SK, Canada"
1124,"Westmount QC, Canada"
1125,"Spruce Creek MB, Canada"
1126,"Kronsgart MB, Canada"
1127,"Elm Creek MB, Canada"
1128,"East Anglia SK, Canada"
1129,"Imperial SK, Canada"
1130,"Middleton NS, Canada"
1131,"Opaskwayak Cree Nation 21E MB, Canada"
1132,"Le Goulet NB, Canada"
1133,"Loreburn No 254 SK, Canada"
1134,"Greenan SK, Canada"
1135,"Carnduff SK, Canada"
1136,"St George NB, Canada"
1137,"Muskowekwan 85 3 SK, Canada"
1138,"Pebble Beach MB, Canada"
1139,"Westlock AB, Canada"
1140,"Burton NB, Canada"
1141,"Brora SK, Canada"
1142,"Argo SK, Canada"
1143,"Woodbridge ON, Canada"
1144,"G J Froese Wildlife Refuge MB, Canada"
1145,"Cabot MB, Canada"
1146,"Gimli Industrial Park MB, Canada"
1147,"Midland ON, Canada"
1148,"Aberdeen No 373 SK, Canada"
1149,"Fenwood SK, Canada"
1150,"Buckland No 491 SK, Canada"
1151,"Seymourville MB, Canada"
1152,"Pinawa Dam Provincial Park MB, Canada"
1153,"Balsam Harbour MB, Canada"
1154,"Haute MB, Canada"
1155,"Moose Jaw No 161 SK, Canada"
1156,"Canuck SK, Canada"
1157,"Dorval QC, Canada"
1158,"Norway House Cree Nation Otahawkanihk Landing MB, Canada"
1159,"Richmond BC, Canada"
1160,"Big Island Lake Cree Territory SK, Canada"
1161,"Labrador City NL, Canada"
1162,"Baildon No 131 SK, Canada"
1163,"Reykjavik Game Bird Refuge MB, Canada"
1164,"Seven Sisters Falls MB, Canada"
1165,"Hazenmore SK, Canada"
1166,"Fabreville QC, Canada"
1167,"Burge Lake Provincial Park MB, Canada"
1168,"Esterhazy SK, Canada"
1169,"Kelloe MB, Canada"
1170,"Carry The Kettle 76 58 SK, Canada"
1171,"Turner Valley AB, Canada"
1172,"Cross Lake 19A MB, Canada"
1173,"Cookson Wildlife Management Unit SK, Canada"
1174,"Harperville MB, Canada"
1175,"Ocean Man 69D SK, Canada"
1176,"Bradwell SK, Canada"
1177,"Kapawasihk MB, Canada"
1178,"Mantagao Lake Wildlife Management Area MB, Canada"
1179,"Barrier Bay MB, Canada"
1180,"Young Point MB, Canada"
1181,"Long Plain 6 MB, Canada"
1182,"Southwood MB, Canada"
1183,"Deacons Corner MB, Canada"
1184,"Hargrave MB, Canada"
1185,"Esker Ridge B MB, Canada"
1186,"Arcola SK, Canada"
1187,"Blucher No 343 SK, Canada"
1188,"Little Limestone Lake Provincial Park MB, Canada"
1189,"Wapasihk MB, Canada"
1190,"Ochapowace 71 3 SK, Canada"
1191,"Sunnyside Beach MB, Canada"
1192,"Notre Dame De L'ile Perrot QC, Canada"
1193,"Jedburgh SK, Canada"
1194,"Delhi ON, Canada"
1195,"Mountain MB, Canada"
1196,"Drayton Valley AB, Canada"
1197,"Chater MB, Canada"
1198,"Odhill MB, Canada"
1199,"Inglenook SK, Canada"
1200,"Deschambault Lake (South East Arm) Recreation Site SK, Canada"
1201,"Cleeves SK, Canada"
1202,"Lieu historique national du Canada du Fort Pelly SK, Canada"
1203,"Clair SK, Canada"
1204,"Ituna SK, Canada"
1205,"Delisle SK, Canada"
1206,"Island View SK, Canada"
1207,"Capasin SK, Canada"
1208,"Matago MB, Canada"
1209,"Pitt Meadows BC, Canada"
1210,"Deerhorn MB, Canada"
1211,"Neuanlage SK, Canada"
1212,"Arabella SK, Canada"
1213,"Courtright ON, Canada"
1214,"Jackhead 43 MB, Canada"
1215,"Kuroki SK, Canada"
1216,"Burtts Corner NB, Canada"
1217,"Lacordaire SK, Canada"
1218,"Napinka MB, Canada"
1219,"Fox Hills SK, Canada"
1220,"Fortune SK, Canada"
1221,"Magnetawan ON, Canada"
1222,"Honeymoon SK, Canada"
1223,"Avery SK, Canada"
1224,"Lumsden Beach SK, Canada"
1225,"Tidal MB, Canada"
1226,"Garden River No 490 SK, Canada"
1227,"Kinistino SK, Canada"
1228,"Agassiz Provincial Forest MB, Canada"
1229,"Holloway SK, Canada"
1230,"Brookfield MB, Canada"
1231,"Bolton ON, Canada"
1232,"Duncan BC, Canada"
1233,"Grass River Provincial Park MB, Canada"
1234,"Lakeside Meadows MB, Canada"
1235,"Wapisiw Sakahikan MB, Canada"
1236,"Horod MB, Canada"
1237,"Moodie MB, Canada"
1238,"Norbury SK, Canada"
1239,"Georgetown ON, Canada"
1240,"Lauder Sandhills Wildlife Management Area MB, Canada"
1241,"Keeseekoose 66 Ke 02 SK, Canada"
1242,"Ste Genevieve QC, Canada"
1243,"Hespeler ON, Canada"
1244,"Loon Lake SK, Canada"
1245,"Bell Lake Provincial Park MB, Canada"
1246,"Crane River 51 MB, Canada"
1247,"Floral SK, Canada"
1248,"Lansdowne MB, Canada"
1249,"Alsask SK, Canada"
1250,"Carlyle SK, Canada"
1251,"McNab Regional Park SK, Canada"
1252,"Kendal SK, Canada"
1253,"Bengough SK, Canada"
1254,"Boggy Creek Game Preserve SK, Canada"
1255,"Wattsview MB, Canada"
1256,"Springstein MB, Canada"
1257,"South Headingley MB, Canada"
1258,"York Factory National Historic Site of Canada MB, Canada"
1259,"Cartier MB, Canada"
1260,"Douglas MB, Canada"
1261,"Beulah MB, Canada"
1262,"Ingersoll ON, Canada"
1263,"Norway House 17C 20 MB, Canada"
1264,"Maple Bush No 224 SK, Canada"
1265,"Whiskey Jack Landing MB, Canada"
1266,"QC QC, Canada"
1267,"Schanzenfeld MB, Canada"
1268,"Meetoos SK, Canada"
1269,"Leaside Beach MB, Canada"
1270,"Salt Point MB, Canada"
1271,"Shamattawa 1 MB, Canada"
1272,"Parkland Wildlife Management Area MB, Canada"
1273,"Crystal Bay Sunset SK, Canada"
1274,"Melville Beach SK, Canada"
1275,"Keeseekoose 66 St 03 SK, Canada"
1276,"Chimney Coulee Historic Site SK, Canada"
1277,"Reeve MB, Canada"
1278,"Auvergne No 76 SK, Canada"
1279,"Ochapowace 71 77 SK, Canada"
1280,"Mount Royal West SK, Canada"
1281,"Balmoral MB, Canada"
1282,"Longhope SK, Canada"
1283,"Cunliffe SK, Canada"
1284,"Goose Creek MB, Canada"
1285,"Prescott ON, Canada"
1286,"Cottam ON, Canada"
1287,"Ellice MB, Canada"
1288,"Ochapowace 71 52 SK, Canada"
1289,"English River Mawdsley Lake 192R SK, Canada"
1290,"Boissevain MB, Canada"
1291,"Fox Lake 1 MB, Canada"
1292,"Lieu historique national du Canada de La Fourche MB, Canada"
1293,"Nutana SK, Canada"
1294,"Longlaketon No 219 SK, Canada"
1295,"Chepi Lake MB, Canada"
1296,"Elmore SK, Canada"
1297,"Beaver Creek SK, Canada"
1298,"Caron No 162 SK, Canada"
1299,"Lake MB, Canada"
1300,"Winnipeg  MB, Canada"
1301,"Grandmother's Bay 219 SK, Canada"
1302,"Muskeg Lake 102M SK, Canada"
1303,"Tuxedo Industrial Area MB, Canada"
1304,"Northside SK, Canada"
1305,"Quispamsis NB, Canada"
1306,"Chitek Lake Recreation Site SK, Canada"
1307,"Narol MB, Canada"
1308,"North Bay ON, Canada"
1309,"Tatamagouche NS, Canada"
1310,"Ipswich MB, Canada"
1311,"Muskowekwan 85 47 SK, Canada"
1312,"Bekevar SK, Canada"
1313,"Bath NB, Canada"
1314,"Carrick MB, Canada"
1315,"Blacks Harbour NB, Canada"
1316,"Wedgeport NS, Canada"
1317,"Tofield AB, Canada"
1318,"Norway House Cree Nation Provincial Road 373B MB, Canada"
1319,"Eckner SK, Canada"
1320,"Dendron SK, Canada"
1321,"Nipawin No 487 SK, Canada"
1322,"Hanover ON, Canada"
1323,"Moosomin 112H SK, Canada"
1324,"Opaskwayak Cree Nation 21A South MB, Canada"
1325,"Argue MB, Canada"
1326,"Clayton No 333 SK, Canada"
1327,"Waldersee MB, Canada"
1328,"Emerald Park SK, Canada"
1329,"Dundurn No 314 SK, Canada"
1330,"Kinistin 91 SK, Canada"
1331,"Glovertown NL, Canada"
1332,"Evesham SK, Canada"
1333,"Tadoule Lake MB, Canada"
1334,"Prince Albert SK, Canada"
1335,"Lakeland MB, Canada"
1336,"Ochapowace 71 36 SK, Canada"
1337,"Doonside SK, Canada"
1338,"Bredenbury SK, Canada"
1339,"St Andrews NB, Canada"
1340,"Sandy Hook MB, Canada"
1341,"Hoosier SK, Canada"
1342,"Thuycholeeni Lake C MB, Canada"
1343,"Bronx MB, Canada"
1344,"Framnes MB, Canada"
1345,"Brough SK, Canada"
1346,"Meacham SK, Canada"
1347,"Ameer MB, Canada"
1348,"Muskeegan SK, Canada"
1349,"Beaumont MB, Canada"
1350,"Handsworth SK, Canada"
1351,"Mantario SK, Canada"
1352,"Fox Mine MB, Canada"
1353,"Ochapowace 71 119 SK, Canada"
1354,"Sapotaweyak Cree Nation MB, Canada"
1355,"Neuhorst SK, Canada"
1356,"Ochapowace 71 109 SK, Canada"
1357,"Steinbach MB, Canada"
1358,"Maple Creek SK, Canada"
1359,"Baden ON, Canada"
1360,"Wolfville NS, Canada"
1361,"Elfros No 307 SK, Canada"
1362,"Norwood East MB, Canada"
1363,"Cross Lake 19x02 MB, Canada"
1364,"Strathcona MB, Canada"
1365,"Kahkewistahaw 72 A 1 SK, Canada"
1366,"Giroux MB, Canada"
1367,"Big Muddy SK, Canada"
1368,"Nakiskatowaneek 227 SK, Canada"
1369,"Muskowekwan 85 22 SK, Canada"
1370,"City Park North SK, Canada"
1371,"Fort Pitt SK, Canada"
1372,"Jasmin SK, Canada"
1373,"Kemnay MB, Canada"
1374,"Notre Dame De Lourdes MB, Canada"
1375,"Fenelon Falls ON, Canada"
1376,"Lieu historique national du Canada du Massacre de Cypress Hills SK, Canada"
1377,"Roseisle MB, Canada"
1378,"Blackstock ON, Canada"
1379,"Quèbec QC, Canada"
1380,"Dry River MB, Canada"
1381,"Piney MB, Canada"
1382,"Brighton ON, Canada"
1383,"Markham ON, Canada"
1384,"LeRoy SK, Canada"
1385,"Heglund Island Wildlife Refuge SK, Canada"
1386,"Norway House 17 MB, Canada"
1387,"Lac Eauclaire Recreation Site SK, Canada"
1388,"Beresina SK, Canada"
1389,"Binney MB, Canada"
1390,"Mainprize Regional Park SK, Canada"
1391,"Hendon SK, Canada"
1392,"Regent MB, Canada"
1393,"Kyle SK, Canada"
1394,"Good Spirit Acres SK, Canada"
1395,"St isidore NB, Canada"
1396,"Fond du Lac 231 SK, Canada"
1397,"Poplar Bay Provincial Park MB, Canada"
1398,"Muskowekwan 85 19 SK, Canada"
1399,"Ogema SK, Canada"
1400,"Nora SK, Canada"
1401,"Ochapowace 71 75 SK, Canada"
1402,"Broadview SK, Canada"
1403,"Ochapowace 71 19 SK, Canada"
1404,"Devlin ON, Canada"
1405,"Eclipse MB, Canada"
1406,"Poplar Park MB, Canada"
1407,"Lieu historique national du Canada du Homestead Motherwell SK, Canada"
1408,"Caronport SK, Canada"
1409,"Coldwater ON, Canada"
1410,"Norris Lake Provincial Park MB, Canada"
1411,"Atwood ON, Canada"
1412,"East Trout Nipekamew Lakes Recreation Site SK, Canada"
1413,"Ohpahahpiskow Sakahegan MB, Canada"
1414,"Bear Creek SK, Canada"
1415,"Askikkapit MB, Canada"
1416,"Wekusko Falls Provincial Park MB, Canada"
1417,"Bratt's Lake No 129 SK, Canada"
1418,"Christopher Lake SK, Canada"
1419,"Oak Ridges ON, Canada"
1420,"Loverna SK, Canada"
1421,"Putahow Lake Site C MB, Canada"
1422,"Ochapowace 71 78 SK, Canada"
1423,"Bellegarde SK, Canada"
1424,"Tolstoi MB, Canada"
1425,"Cotes Landing MB, Canada"
1426,"Epping SK, Canada"
1427,"Glenmoor MB, Canada"
1428,"Mink Creek MB, Canada"
1429,"Norway House 17C 37 MB, Canada"
1430,"Napahkapihskow Sakhahigan MB, Canada"
1431,"Muskwaminiwatim 225 SK, Canada"
1432,"Lac du Bonnet MB, Canada"
1433,"Birling SK, Canada"
1434,"Deep River ON, Canada"
1435,"Lake Manitoba First Nation MB, Canada"
1436,"McTavish MB, Canada"
1437,"Alvena SK, Canada"
1438,"Souris PE, Canada"
1439,"Bethany ON, Canada"
1440,"Muskeg Lake 102C SK, Canada"
1441,"Battle River No 438 SK, Canada"
1442,"Antelope Park No 322 SK, Canada"
1443,"Carry The Kettle 76 60 SK, Canada"
1444,"Bertrand NB, Canada"
1445,"Grahamdale MB, Canada"
1446,"Echo Valley Provincial Park SK, Canada"
1447,"St Lupicin MB, Canada"
1448,"Asimakaniseekan Askiy 102A SK, Canada"
1449,"Richmond Richmond BC, Canada"
1450,"Carry The Kettle 76 24 SK, Canada"
1451,"Estevan SK, Canada"
1452,"Moreland SK, Canada"
1453,"Sebright ON, Canada"
1454,"Carmichael No 109 SK, Canada"
1455,"Muskeg Lake 102F SK, Canada"
1456,"Shellbrook SK, Canada"
1457,"Little Black River MB, Canada"
1458,"Ochapowace 71 69 SK, Canada"
1459,"Memorial Lake Regional Park SK, Canada"
1460,"Dakota Tipi MB, Canada"
1461,"Langley BC, Canada"
1462,"Gypsumville MB, Canada"
1463,"Fishing Lake 89A SK, Canada"
1464,"Cambridge ON, Canada"
1465,"Cumberland 20 SK, Canada"
1466,"Ebor MB, Canada"
1467,"Berlo MB, Canada"
1468,"Laurie River MB, Canada"
1469,"Helene Lake Recreation Site SK, Canada"
1470,"Little Buffalo SK, Canada"
1471,"Mahone Bay NS, Canada"
1472,"Adelaide Park SK, Canada"
1473,"St Boniface Industrial Park MB, Canada"
1474,"North Industrial SK, Canada"
1475,"Kawacatoose First Nation 88 SK, Canada"
1476,"Hardene SK, Canada"
1477,"Blanshard MB, Canada"
1478,"Rossburn MB, Canada"
1479,"Fay Lake MB, Canada"
1480,"Highrock MB, Canada"
1481,"Elgin ON, Canada"
1482,"Gibsons BC, Canada"
1483,"Gretna MB, Canada"
1484,"Greenstreet SK, Canada"
1485,"Coleville SK, Canada"
1486,"Garden Grove MB, Canada"
1487,"Milner Ridge MB, Canada"
1488,"Rossman Lake Sunset Point MB, Canada"
1489,"Baring SK, Canada"
1490,"Driscol Lake SK, Canada"
1491,"Hillside SK, Canada"
1492,"Menteith MB, Canada"
1493,"Pointe Brle NB, Canada"
1494,"Dauphin River 48A MB, Canada"
1495,"McConnell MB, Canada"
1496,"Moosomin 112 SK, Canada"
1497,"Brisbin SK, Canada"
1498,"Breslau ON, Canada"
1499,"Ilford MB, Canada"
1500,"North Point Douglas MB, Canada"
1501,"Hartney MB, Canada"
1502,"Rosetown MB, Canada"
1503,"Rolling River MB, Canada"
1504,"Carry The Kettle 76 50 SK, Canada"
1505,"Langford MB, Canada"
1506,"Nelson House MB, Canada"
1507,"South Norfolk MB, Canada"
1508,"Schist Lake MB, Canada"
1509,"Moosehorn Wildlife Management Area MB, Canada"
1510,"Carman Junction MB, Canada"
1511,"Lido Plage MB, Canada"
1512,"Kerrs Lake MB, Canada"
1513,"Kindersley Regional Park SK, Canada"
