Name,Community,"Contact Name",Website,Email,Telephone,"Street Address","Operating Grant"
"YMCA School Age Child Care - Paradise Elementary",Paradise,"Terrance  Shea",www.ymcanl.com/children.php,olga.sullivan@nl.ymca.ca,"(709) 754-2962","60 Karwood Drive",Yes
"YMCA School Age Child Care - Roncalli School","St. John's","Abena  Boachie",www.ymcanl.com/children.php,olga.sullivan@nl.ymca.ca,"(709) 754-2962","130 Airport Heights Drive",Yes
"YMCA School Age Child Care - St. Andrew's Elementary","St. John's","Juanita Brown",,olga.sullivan@nl.ymca.ca,"(709) 754-2962","141 University Avenue",Yes
"YMCA School Age Child Care - St.Teresa's School","St. John's","Wanda Maidment",www.ymcanl.com/children.php,olga.sullivan@nl.ymca.ca,"(709) 579-9111","110 Mundy Pond Road",Yes
"YMCA School Age Child Care - Vanier Elementary","St. John's","Yvonne Frecker",www.ymcanl.com/children.php,olga.sullivan@nl.ymca.ca,"(709) 754-2962","75 Ennis Avenue",Yes
"YMCA School Age Child Care St. Peters Elementary","Mount Pearl","Cathy Williams",,olga.sullivan@nl.ymca.ca,"(709) 754-2962","106 Ashford  Drive",Yes
"YMCA Summerford Early Learning & Child Care",Summerford,"Nola Price",www.exploitsvalleyymca.ca/childcare/,shirley.shea@ev.ymca.ca,"(709) 629-3717","150 Road to the Isles",Yes
"YMCA Twillingate Early Learning & Child Care Centre",Twillingate,"Sue Ann Shea",www.exploitsvalleyymca.ca/childcare/,shirley.shea@ev.ymca.ca,"(709) 884-1800","2 Hugh Lane",Yes
"YMCA Wee Care Center",Peterview,"Karen Gunn",www.exploitsvalleyymca.ca/childcare/,shirley.shea@ev.ymca.ca,"(709) 257-3631","8 Abbott Street ",Yes
"Younger Years Daycare and Preschool","St. John's","Cecilia McGruer",,ceciliamcgruer@live.ca,"(709) 753-3334","24 Hunts Lane",Yes
