,Nom de l'installation,Région administrative,Adresse,Municipalité,Code postal,Téléphone,Télécopieur,Adresse courriel,Type de service de garde,Places totales au permis,Places 17 mois ou moins,Place à contribution réduite,Territoire couvert,Places totales à l'agrément,Nombre de RSG reconnues
1651,CENTRE DE LA PETITE ENFANCE BON-BON,6 - Montréal,"2640, rue Jasmin",Saint-Laurent,H4R 1H6,(514) 745-1486,,ola_derbas@hotmail.com,CPE,54.0,0.0,CR,,,
1652,"CENTRE DE LA PETITE ENFANCE HELLÉNIQUE ""FOYER D'ENFANTS""",6 - Montréal,"275, rue Houde",Saint-Laurent,H4N 2J3,(514) 744-3321,(514) 744-3267,director@foyerdenfants.com,CPE,80.0,0.0,CR,,,
1653,CENTRE DE LA PETITE ENFANCE L'ORÉAL KIDS,6 - Montréal,"3500, rue Douglas-B.-Floréani, local 1-16",Saint-Laurent,H4S 2B9,(514) 338-1200,,mary.patsatzis@loreal.com,CPE,67.0,15.0,CR,,,
1654,CENTRE DE LA PETITE ENFANCE LA BRICOLE,6 - Montréal,"635, avenue Sainte-Croix",Saint-Laurent,H4L 3X6,"(514) 747-7696, poste 2",(514) 747-8943,labricole@cegepsl.qc.ca,CPE,80.0,15.0,CR,,,
1655,CENTRE DE LA PETITE ENFANCE LE JARDIN DES RÊVES INC.,6 - Montréal,"1745, rue Décarie, bureau 200",Saint-Laurent,H4L 3N5,"(514) 747-5822, poste 223",(514) 747-4441,n.pachal@cpeljdr.ca,CPE,80.0,0.0,CR,,,
1656,CENTRE DE LA PETITE ENFANCE LES PETITES CELLULES,6 - Montréal,"2050, rue Cohen",Saint-Laurent,H4R 0M9,(514) 379-7011,,stella.xx.de.gaetano@ericsson.com,CPE,74.0,15.0,CR,,,
1657,CENTRE DE LA PETITE ENFANCE MAIMONIDE VILLE ST-LAURENT,6 - Montréal,"1888, rue Bourdon",Saint-Laurent,H4M 2X7,(514) 744-8066,(514) 313-5702,info@cpemaimonide.ca,CPE,60.0,0.0,CR,,,
1658,CENTRE DE LA PETITE ENFANCE SHALOM,6 - Montréal,"2600, rue Badeaux",Saint-Laurent,H4M 1M5,(514) 748-6444,(514) 748-1273,cpeshalom17@gmail.com,CPE,80.0,0.0,CR,,,
1659,CENTRE DE LA PETITE ENFANCE SOL INC.,6 - Montréal,"1925, rue de l'Église",Saint-Laurent,H4M 1E6,"(514) 331-9994, poste 2",(514) 331-1233,direction.cpesol@videotron.ca,CPE,80.0,15.0,CR,,,
1660,CENTRE DE LA PETITE ENFANCE SÉPHARADE DE MONTRÉAL,6 - Montréal,"2190, rue Ward",Saint-Laurent,H4M 1T7,(514) 744-0710,(514) 744-9747,daniellesabbahcpe@hotmail.com,CPE,60.0,0.0,CR,,,
1661,CENTRE DE LA PETITE ENFANCE TCHOU-TCHOU,6 - Montréal,"1075, avenue Sainte-Croix",Saint-Laurent,H4L 3Z2,(514) 744-4090,(514) 744-4302,c.durocher@aucoeurdelenfance.ca,CPE,80.0,10.0,CR,,,
1662,CENTRE DE LA PETITE ENFANCE VANIER,6 - Montréal,"980, boulevard de la Côte-Vertu",Saint-Laurent,H4L 1Y4,(514) 744-2506,(514) 744-4842,xenosa@vaniercollege.qc.ca,CPE,80.0,10.0,CR,,,
1663,CENTRE DE PLAISIR ET D'APPRENTISSAGE POUR L'ENFANT INC.,6 - Montréal,"300, boulevard Marcel-Laurin, bureau 110",Saint-Laurent,H4M 2L4,(514) 507-1878,(514) 507-3099,kidsfunlearningcenter@gmail.com,GARD,67.0,15.0,,,,
1664,CENTRE ÉDUCATIF BARRÉ,6 - Montréal,"2100, rue de Londres",Saint-Laurent,H4L 3A6,(514) 748-1340,(514) 748-2992,desousa514@gmail.com,GARD,80.0,0.0,CR,,,
1665,CENTRE ÉDUCATIF DE SOUSA ST-LAURENT,6 - Montréal,"2110, rue de londres",Saint-Laurent,H4L 3A6,(514) 333-0099,(514) 748-2992,desousa514@gmail.com,GARD,80.0,10.0,CR,,,
1666,CENTRE ÉDUCATIF ST-LAURENT CONCEPT VERT,6 - Montréal,"1595, rue Barré",Saint-Laurent,H4L 4M5,(514) 215-1110,(514) 748-2992,desousa514@gmail.com,GARD,77.0,10.0,,,,
1667,GARDERIE & MATERNELLE DALPÉ INC.,6 - Montréal,"135, boulevard Deguire, appartement 114",Saint-Laurent,H4N 1N8,(514) 334-4512,(514) 334-0045,garderiedalpe@qc.aira.com,GARD,80.0,0.0,CR,,,
1668,GARDERIE ACADÉMIE BOIS-FRANC,6 - Montréal,"4105, chemin du Bois-Franc",Saint-Laurent,H4S 1A8,(514) 337-5452,,admin@garderieboisfranc.com,GARD,63.0,0.0,,,,
1669,GARDERIE ACADÉMIE BOIS-FRANC 2,6 - Montréal,"4115, chemin du Bois-Franc",Saint-Laurent,H4S 1A8,(514) 336-9506,(514) 336-9506,academieboisfranc2@gmail.com,GARD,43.0,10.0,,,,
1670,GARDERIE ACADÉMIE MONTESSORI A.M.I. COEURS BRILLANTS,6 - Montréal,"333, boulevard Décarie, bureau 323",Saint-Laurent,H4N 3M9,(514) 744-2220,(514) 322-1759,brightheartsmontessori@gmail.com,GARD,48.0,9.0,,,,
1671,GARDERIE AIMEE INC.,6 - Montréal,"1730, rue Poirier",Saint-Laurent,H4L 1J3,(514) 747-4114,(514) 747-2695,garderieaimee@hotmail.com,GARD,80.0,15.0,CR,,,
1672,GARDERIE ALEXIS NIHON,6 - Montréal,"4927, rue Lévy",Saint-Laurent,H4R 2N9,(514) 333-5587,,garderiealexisnihon@bellnet.ca,GARD,80.0,20.0,CR,,,
1673,GARDERIE BETTY,6 - Montréal,"410, rue Gratton",Saint-Laurent,H4M 2E2,(514) 747-6639,(514) 738-5868,garderiebetty@hotmail.com,GARD,80.0,10.0,CR,,,
1674,GARDERIE CÂLIN ET CARAMEL,6 - Montréal,"7590, chemin de la Côte-de-Liesse",Saint-Laurent,H4T 1E7,(438) 804-4363,(438) 804-4363,info@calincaramel.com,GARD,80.0,20.0,,,,
1675,GARDERIE ERIKA INC./ERIKA DAY NURSERIES INC.,6 - Montréal,"1545, rue Decelles",Saint-Laurent,H4L 2E1,(514) 747-9623,(514) 747-9961,g.erika1545@gmail.com,GARD,58.0,8.0,CR,,,
1676,GARDERIE ET DAY CARE,6 - Montréal,"1001, boulevard Alexis-Nihon, bureau 100",Saint-Laurent,H4R 1S1,(514) 745-6112,,garderieet@hotmail.com,GARD,42.0,0.0,,,,
1677,GARDERIE GAN OR,6 - Montréal,"2170, rue Ward",Saint-Laurent,H4M 1T7,(514) 747-2667,,ganor2010@hotmail.com,GARD,80.0,20.0,,,,
1678,GARDERIE JARDIN DES LILAS,6 - Montréal,"1477, rue MacDonald",Saint-Laurent,H4L 2A8,(514) 338-3737,,garderiejardindeslilas@gmail.com,GARD,41.0,10.0,,,,
1679,GARDERIE K.I.D.S. TECHNOPARC,6 - Montréal,"7200, rue Albert-Einstein, bureau 100",Saint-Laurent,H4S 2C1,(514) 332-8295,(514) 935-7385,kids.technoparc@gmail.com,GARD,80.0,10.0,CR,,,
1680,GARDERIE K.I.D.S. TECHNOPARC II,6 - Montréal,"7200, rue Albert-Einstein, bureau 200",Saint-Laurent,H4S 2C1,(514) 332-8295,(514) 935-7385,lawrence.vatch@gmail.com,GARD,40.0,5.0,,,,
1681,GARDERIE KAT-KOUT INC.,6 - Montréal,"2205, rue de l'Église",Saint-Laurent,H4M 1G5,(514) 956-9004,,garderiekatkout@gmail.com,GARD,72.0,0.0,,,,
1682,GARDERIE LA JOCONDE INC.,6 - Montréal,"2700, boulevard Poirier",Saint-Laurent,H4R 2P6,(514) 332-6161,,garderielajoconde@gmail.com,GARD,60.0,10.0,CR,,,
1683,GARDERIE LA PETITE MAISON ROUGE,6 - Montréal,"1701-1703, rue Poirier",Saint-Laurent,H4L 1J4,(514) 564-4546,,g.petite.maison.rouge@gmail.com,GARD,73.0,15.0,,,,
1684,GARDERIE LE CHÂTEAU DES PETITS ANGES ABC INC.,6 - Montréal,"655, boulevard Décarie",Saint-Laurent,H4L 3L3,(514) 744-5757,,c.gascon@sympatico.ca,GARD,18.0,5.0,,,,
1685,GARDERIE LE PETIT SAFARI,6 - Montréal,"1260, boulevard Marcel-Laurin",Saint-Laurent,H4R 1J7,(514) 994-4919,,petitsafari@gmail.com,GARD,38.0,5.0,,,,
1686,GARDERIE LES AMIS DE MEDA,6 - Montréal,"740, boulevard Décarie",Saint-Laurent,H4L 3L5,(514) 744-0333,,lesamis2meda@yahoo.ca,GARD,43.0,15.0,,,,
1687,GARDERIE LES CINQ OURSONS INC.,6 - Montréal,"1919, rue Lucien-Thimens, bureau 203",Saint-Laurent,H4R 1K8,(514) 228-3545,(514) 904-1332,info@lesdeuxoursons.ca,GARD,68.0,20.0,,,,
1688,GARDERIE LES COLIBRIS DE BOIS FRANC INC.,6 - Montréal,"2550, rue Des Harfangs",Saint-Laurent,H4R 2P6,(514) 336-3416,(514) 336-8061,ndelia52@hotmail.com,GARD,80.0,20.0,CR,,,
1689,GARDERIE LES DEUX OURSONS INC.,6 - Montréal,"1919, rue Lucien-Thimens, bureau 202",Saint-Laurent,H4R 1K8,(514) 228-3545,(514) 904-1332,info@lesdeuxoursons.ca,GARD,79.0,5.0,,,,
1690,GARDERIE LES JOLIES FRIMOUSSES,6 - Montréal,"716, boulevard Décarie",Saint-Laurent,H4L 3L5,(514) 748-1111,(514) 744-4777,garderielesjoliesfrimousses@gmail.com,GARD,64.0,4.0,,,,
1691,GARDERIE LUNEY TOONS,6 - Montréal,"1325, rue Cartier",Saint-Laurent,H4L 2N6,(514) 750-8880,(514) 750-8880,garderieducartier@hotmail.com,GARD,41.0,11.0,,,,
1692,GARDERIE LUNEY TOONS,6 - Montréal,"855, boulevard de la Côte-Vertu",Saint-Laurent,H4L 1Y7,(514) 750-7777,(514) 750-7777,garderieluneytoons@hotmail.com,GARD,43.0,8.0,,,,
1693,GARDERIE MINI ET MICKEY,6 - Montréal,"1343, rue Saint-Louis",Saint-Laurent,H4L 2P4,(514) 747-5438,(514) 747-5438,mircoalessi1@gmail.com,GARD,55.0,0.0,CR,,,
1694,GARDERIE MONTESSORI SAINT-LAURENT,6 - Montréal,"760, rue Saint-Germain, bureau 101",Saint-Laurent,H4L 3R5,(514) 335-6688,,info@ecolemontessorivillemarie.com,GARD,54.0,0.0,,,,
1695,GARDERIE NITZA INC.,6 - Montréal,"2101, rue Saint-Louis",Saint-Laurent,H4M 1P1,(514) 564-2554,(514) 507-7779,garderienitza@yahoo.ca,GARD,49.0,10.0,,,,
1696,GARDERIE SUSAN B.G.W. INC.,6 - Montréal,"822, boulevard Décarie",Saint-Laurent,H4L 3L9,(514) 747-1282,,garderiesusan@videotron.ca,GARD,50.0,0.0,CR,,,
1697,GARDERIE YVONNE INC.,6 - Montréal,"535, boulevard Décarie",Saint-Laurent,H4L 3L1,(514) 748-1478,,sandramercurio@videotron.ca,GARD,29.0,0.0,CR,,,
1698,GARDERIE ÉDUCATIVE ELINGTHON INC.,6 - Montréal,"1432, rue Poirier",Saint-Laurent,H4L 1H3,(514) 748-7878,(514) 748-0707,garderieelingthon-inc@hotmail.com,GARD,52.0,10.0,,,,
1699,GARDERIE ÉDUCATIVE INNOVATION 1,6 - Montréal,"2311, boulevard Alfred-Nobel",Saint-Laurent,H4S 2B6,(514) 334-6695,,garderieinnovation@gmail.com,GARD,80.0,15.0,,,,
1700,GARDERIE ÉDUCATIVE LES ANGES DE BOIS FRANC,6 - Montréal,"5570, boulevard Henri-Bourassa Ouest, bureau 260",Saint-Laurent,H4R 0M6,(514) 503-0385,(438) 387-7969,garderielesangesbf@gmail.com,GARD,80.0,15.0,,,,
1701,GARDERIE ÉDUCATIVE MARYSE,6 - Montréal,"645, boulevard de la Côte-Vertu",Saint-Laurent,H4L 1Y1,(514) 744-5255,(514) 744-5255,info@garderierita.com,GARD,80.0,5.0,CR,,,
1702,GARDERIE ÉDUCATIVE MONTPELLIER,6 - Montréal,"140, boulevard de la Côte-Vertu",Saint-Laurent,H4N 1C6,(514) 745-5000,(514) 745-5001,garderiemontpellier@hotmail.com,GARD,76.0,10.0,,,,
1703,GARDERIE ÉDUCATIVE MONTPELLIER II,6 - Montréal,"150, boulevard de la Côte-Vertu, bureau 205",Saint-Laurent,H4N 1C6,(514) 745-5000,(514) 745-5001,garderiemontpellier@hotmail.com,GARD,70.0,10.0,,,,
1704,GARDERIE ÉDUCATIVE O'BRIEN INC.,6 - Montréal,"1295, rue Poirier",Saint-Laurent,H4L 1H1,(514) 744-1117,(514) 744-1117,garderieobrien@hotmail.com,GARD,80.0,15.0,,,,
1705,GARDERIE ÉDUCATIVE RITA INC.,6 - Montréal,"825, boulevard de la Côte-Vertu",Saint-Laurent,H4L 1Y6,(514) 744-2595,(514) 744-2595,younan.rita@gmail.com,GARD,80.0,5.0,,,,
1706,GARDERIE ÉDUCATIVE TÉLÉTABISE,6 - Montréal,"603, boulevard de la Côte-Vertu",Saint-Laurent,H4L 1X8,(514) 852-3222,,garderienaitreetbienetre1@gmail.com,GARD,55.0,5.0,,,,
1707,GARDERIE ÉMELIE INC.,6 - Montréal,"1675, rue Poirier",Saint-Laurent,H4L 1J2,(514) 747-0002,(514) 747-0044,garderieemelie@gmail.com,GARD,23.0,9.0,,,,
1708,L'HEURE JOYEUSE DE COTE VERTU,6 - Montréal,"1548, boulevard de la Côte-Vertu, suite 201",Saint-Laurent,H4L 1Z8,(514) 507-7701,(514) 507-7702,garderielheurejoyeuse@gmail.com,GARD,34.0,4.0,,,,
1709,LA GARDERIE ÉDUCATIVE DE L'ÉCOLE ARMEN-QUÉBEC DE L'UNION GÉNÉRALE ARMÉNIENNE DE BIENFAISANCE,6 - Montréal,"775, rue Manoogian",Saint-Laurent,H4N 1Z5,(514) 744-0234,(514) 744-2785,valleedesfleurs@alexmanoogian.qc.ca,GARD,80.0,12.0,,,,
1710,LA MOSAÏQUE,6 - Montréal,"1159, avenue Sainte-Croix",Saint-Laurent,H4L 3Z2,(514) 333-8989,,b.cormier@aucoeurdelenfance.ca,CPE,80.0,10.0,CR,,,
1711,LA PETITE ÉCOLE DE BEACONOU,6 - Montréal,"330, avenue Sainte-Croix, bureau 100",Saint-Laurent,H4N 3K4,(514) 744-8484,(514) 744-9286,admin@garderiebeaconou.com,GARD,80.0,22.0,,,,
1712,LA PETITE ÉCOLE DE BEACONOU II,6 - Montréal,"330, avenue Sainte-Croix, bureau 110",Saint-Laurent,H4N 3K4,(514) 744-8484,,admin@garderiebeaconou.com,GARD,51.0,0.0,,,,
1713,LE SOULIER MAGIQUE,6 - Montréal,"720, boulevard Décarie, bureau 202",Saint-Laurent,H4L 3L5,(438) 494-8611,,garderiesouliermagique@outlook.com,GARD,49.0,10.0,,,,
1714,LES MINI-WATTS,6 - Montréal,"3205, rue Guénette",Saint-Laurent,H4S 1N2,"(514) 338-4440, poste 4551",(514) 338-4845,mini-watts@bellnet.ca,CPE,45.0,10.0,CR,,,
1715,LES PETITS TOURNESOL,6 - Montréal,"240, boulevard Alexis-Nihon",Saint-Laurent,H4M 2A3,(514) 739-4079,,lespetitstournesol@hotmail.com,GARD,44.0,0.0,,,,
1716,P'TIT TRAIN EXPRESS INC.,6 - Montréal,"3500, boulevard de la Côte-Vertu, porte 132",Saint-Laurent,H4R 2X7,(514) 439-3377,,info@ptittrainexpress.com,GARD,77.0,10.0,,,,
1717,PETITE ÉCOLE DE GRANDES DÉCOUVERTES INC.,6 - Montréal,"2140, rue Lucien-Thimens",Saint-Laurent,H4R 1L1,(514) 303-8949,,pegdgarderie2140@gmail.com,GARD,68.0,5.0,,,,
1718,VOL-AU-VENT,6 - Montréal,"2707, boulevard Poirier",Saint-Laurent,H4R 2E6,(514) 331-1190,(514) 331-1385,mmarchand@cpebombardier.com,CPE,58.0,20.0,CR,,,
1719,VOL-AU-VENT II,6 - Montréal,"2707, boulevard Poirier, local A",Saint-Laurent,H4R 2E6,(514) 331-1190,(514) 331-1385,mmarchand@cpebombardier.com,CPE,62.0,0.0,CR,,,
1720,YMCA DU GRAND MONTRÉAL (SUCCURSALE ST-LAURENT),6 - Montréal,"1745, rue Décarie",Saint-Laurent,H4L 3N5,(514) 747-5353,(514) 747-9453,sorina.fagaras@ymcaquebec.org,GARD,55.0,0.0,CR,,,
1721,ACADÉMIE MONTESSORI DU GRAND MONTRÉAL,6 - Montréal,"5500, rue Jarry Est",Saint-Léonard,H1P 1T9,(514) 325-3456,(514) 325-9020,rodrigoerosemarie994@gmail.com,GARD,48.0,0.0,,,,
1722,ACADÉMIE PRE-SCOLAIRE LES ENFANTS UNIS,6 - Montréal,"5220, boulevard des Grandes-Prairies",Saint-Léonard,H1R 1A8,(514) 321-7171,(514) 321-9896,enfantsunis@hotmail.com,GARD,39.0,0.0,,,,
1723,ACADÉMIE PRÉ-SCOLAIRE FUTURE KIDS INC.,6 - Montréal,"8065, boulevard Viau, bureau 101",Saint-Léonard,H1R 2T2,(514) 593-8091,(514) 593-4790,canadamiami@hotmail.com,GARD,80.0,0.0,CR,,,
1724,ACADÉMIE ÉDUCATIVE PREMIÈRE ÉTAPE INC.,6 - Montréal,"5630, rue Jarry Est",Saint-Léonard,H1P 3J4,(514) 325-4774,(514) 325-4774,ac.educative1etape@gmail.com,GARD,24.0,0.0,,,,
1725,CENTRE DE LA PETITE ENFANCE CLARA,6 - Montréal,"9000, rue Paul-Corbeil",Saint-Léonard,H1R 3A6,(514) 326-8000,(514) 326-7555,direction@cpeclara.com,CPE,80.0,0.0,CR,,,
1726,CENTRE DE LA PETITE ENFANCE CLARA,6 - Montréal,"5255, rue des Galets",Saint-Léonard,H1R 3W6,(514) 326-8000,(514) 326-7555,info@cpeclara.com,CPE,80.0,20.0,CR,,,
1727,CENTRE DE LA PETITE ENFANCE L'ESCARGOT INC.,6 - Montréal,"8055, rue Collerette",Saint-Léonard,H1P 2V6,(514) 329-3220,(514) 329-0915,lallaire@bellnet.ca,CPE,48.0,10.0,CR,,,
1728,CENTRE DE LA PETITE ENFANCE L'ESCARGOT INC.,6 - Montréal,"8055, rue Collerette",Saint-Léonard,H1P 2V6,(514) 329-3220,(514) 329-0915,lallaire@bellnet.ca,CPE,80.0,0.0,CR,,,
1729,CENTRE DE LA PETITE ENFANCE LES CRAYONS MAGIQUES,6 - Montréal,"4550, boulevard des Grandes-Prairies",Saint-Léonard,H1R 1A1,(514) 852-8002,(514) 852-8007,cpecrayonsmagiques@videotron.net,CPE,60.0,9.0,CR,,,
1730,CENTRE DE LA PETITE ENFANCE LES CRAYONS MAGIQUES (INSTALLATION VERMILLON),6 - Montréal,"6085, boul. Couture",Saint-Léonard,H1P 3G7,(514) 852-8002,,cpecrayonsmagiques@videotron.net,CPE,80.0,20.0,CR,,,
1731,CENTRE DE LA PETITE ENFANCE PIED À PIED,6 - Montréal,"5863, rue Jarry Est",Saint-Léonard,H1P 1V7,(514) 721-6893,(514) 955-4628,piedapied@hotmail.com,CPE,43.0,0.0,CR,,,
1732,CENTRE EDUCATIF FLEURY INC.,6 - Montréal,"6365, boulevard Robert",Saint-Léonard,H1P 1N2,(514) 321-3885,(514) 494-3467,famato@videotron.ca,GARD,46.0,0.0,CR,,,
1733,"GARDERIE ""LES ENFANTS D'ABORD""",6 - Montréal,"6163, rue Bélanger",Saint-Léonard,H1T 3T4,(514) 227-0972,,hind58am@hotmail.com,GARD,36.0,0.0,CR,,,
1734,GARDERIE AU JARDIN DES MERVEILLES #2,6 - Montréal,"5278, rue Jean-Talon Est",Saint-Léonard,H1S 1L3,(514) 722-9425,(514) 722-7053,claudio@borrega.ca,GARD,80.0,11.0,CR,,,
1735,GARDERIE AU RENDEZ-VOUS DES BOUT'CHOUX,6 - Montréal,"4701, boulevard Robert",Saint-Léonard,H1R 3E6,(514) 439-0772,(514) 439-0772,bayahome@gmail.com,GARD,54.0,5.0,,,,
1736,GARDERIE AU ROYAUME DES ÉTOILES,6 - Montréal,"5555, rue Antonio-Dagenais",Saint-Léonard,H1S 3C5,(514) 252-8247,(514) 252-8391,c.s.m@qc.aira.com,GARD,31.0,0.0,CR,,,
1737,GARDERIE AU ROYAUME DU SOURIRE,6 - Montréal,"6347, boulevard Couture",Saint-Léonard,H1P 3J5,(514) 325-3770,(514) 325-3770,groyaumedusourire@hotmail.com,GARD,68.0,10.0,,,,
1738,GARDERIE AZALÉE INC.,6 - Montréal,"8395-8397, boulevard Viau",Saint-Léonard,H1R 2T6,(514) 507-6179,,azalee0118@gmail.com,GARD,30.0,0.0,,,,
1739,GARDERIE BEL AGIR,6 - Montréal,"8465, boulevard Viau, bureau 201",Saint-Léonard,H1R 2T6,(514) 360-2447,(514) 360-2447,info@garderiebelagir.com,GARD,80.0,15.0,,,,
1740,GARDERIE BEL AGIR INC.,6 - Montréal,"8465, boulevard Viau, bureau 200",Saint-Léonard,H1R 2T6,(514) 360-2447,(514) 360-2447,info@garderiebelagir.com,GARD,80.0,15.0,,,,
1741,GARDERIE BOUT CHOU,6 - Montréal,"9500, boulevard Lacordaire",Saint-Léonard,H1R 0C4,(514) 326-4386,,boutchougarderie@gmail.com,GARD,80.0,10.0,CR,,,
1742,GARDERIE CENTRE ÉDUCATIF IMAGINATION STATION INC. / IMAGINATION STATION DAYCARE-LEARNING CENTER INC.,6 - Montréal,"5845, boulevard Couture",Saint-Léonard,H1P 1A8,(514) 322-2221,(514) 322-2221,info@fsacademy.ca,GARD,80.0,14.0,,,,
1743,GARDERIE CYMA,6 - Montréal,"6157, rue Bélanger",Saint-Léonard,H1T 3T4,(514) 321-7478,,garderiecyma@hotmail.com,GARD,63.0,5.0,,,,
1744,GARDERIE DES ANGES GARDIENS,6 - Montréal,"4731, boulevard Robert",Saint-Léonard,H1R 3E6,(514) 327-1843,(514) 680-6221,anges-gardiens@hotmail.com,GARD,15.0,0.0,CR,,,
1745,GARDERIE DES ENFANTS MODÈLES & MONTESSORI INC.,6 - Montréal,"6274, rue Jean-Talon Est",Saint-Léonard,H1S 1M8,(514) 259-9130,,gemminc@videotron.ca,GARD,58.0,0.0,CR,,,
1746,GARDERIE EDUCATIVE ROYAUME DES PETITS,6 - Montréal,"4619, rue Jarry Est",Saint-Léonard,H1R 1X6,(514) 728-0018,(514) 728-0018,magarderie@videotron.ca,GARD,80.0,15.0,CR,,,
1747,GARDERIE EN ACTION INC./ACTION DAYCARE INC.,6 - Montréal,"6011, boulevard Robert",Saint-Léonard,H1P 1M9,(514) 328-6051,(514) 328-6183,dina@actiondaycare.com,GARD,80.0,0.0,CR,,,
1748,GARDERIE EN ACTON II INC./ACTION DAYCARE II INC.,6 - Montréal,"6013, boulevard Robert",Saint-Léonard,H1P 1M9,(514) 328-5957,,dina@actiondaycare.com,GARD,50.0,0.0,,,,
1749,GARDERIE ET ACADÉMIE AU JARDIN DES PETITS INC.,6 - Montréal,"8675, boulevard Viau",Saint-Léonard,H1R 2T9,(514) 360-6761,,garderieacademieajdp@gmail.com,GARD,80.0,0.0,,,,
1750,GARDERIE ET MATERNELLE LE MONDE DES PETITS INC.,6 - Montréal,"8320, boulevard Langelier",Saint-Léonard,H1P 2C1,(514) 322-1121,(514) 322-6226,cmas1119@hotmail.com,GARD,80.0,0.0,CR,,,
1751,GARDERIE IL ETAIT UNE FOIS INC.,6 - Montréal,"4898, rue Jarry Est",Saint-Léonard,H1R 1X9,(514) 321-3885,(514) 494-3467,,GARD,55.0,10.0,CR,,,
1752,GARDERIE JARRY INC.,6 - Montréal,"4870, rue Jarry Est",Saint-Léonard,H1R 1X9,(514) 323-9716,(514) 324-2302,,GARD,80.0,0.0,CR,,,
1753,GARDERIE L'UNIVERS DE L'ILIAN INC.,6 - Montréal,"6165, rue Jean-Talon Est",Saint-Léonard,H1S 1M9,(514) 252-8193,,universdeilian@gmail.com,GARD,52.0,0.0,,,,
1754,GARDERIE LANGELIER INC.,6 - Montréal,"8990, boulevard Langelier",Saint-Léonard,H1P 3E6,(514) 321-9277,,garderie.langelier@hotmail.com,GARD,80.0,0.0,CR,,,
1755,GARDERIE LE COIN DES AMIS INC.,6 - Montréal,"4833, rue Jean-Talon Est",Saint-Léonard,H1S 1K4,(514) 256-8474,,garderielecoindesamis@hotmail.com,GARD,30.0,5.0,,,,
1756,GARDERIE LE NID DES PAPILLONS INC.,6 - Montréal,"9282, boulevard Lacordaire",Saint-Léonard,H1R 2B7,(514) 328-7878,,topmos75@hotmail.com,GARD,55.0,5.0,,,,
1757,GARDERIE LES CAJOLYNS INC.,6 - Montréal,"6611, rue Jarry Est",Saint-Léonard,H1P 1W5,(514) 227-6270,(514) 328-9400,garderielescajolyns@gmail.com,GARD,80.0,10.0,,,,
1758,GARDERIE LES COLOMBES,6 - Montréal,"4385, rue Denis-Papin",Saint-Léonard,H1R 3J8,(438) 386-3634,(438) 386-3634,kallalamine@gmail.com,GARD,26.0,0.0,,,,
1759,GARDERIE LES MINIS EINSTEIN INC.,6 - Montréal,"5250, rue Dujarié",Saint-Léonard,H1R 1K2,(514) 678-7288,(000) 000-0000,lesminiseinstein@yahoo.com,GARD,75.0,10.0,CR,,,
1760,GARDERIE LES P'TITS BONHOMMES LTÉE,6 - Montréal,"7474, rue Millet",Saint-Léonard,H1S 2N2,(514) 725-6284,(514) 725-8645,,GARD,58.0,0.0,CR,,,
1761,GARDERIE LES PETITES COLOMBES,6 - Montréal,"4389, rue Denis-Papin",Saint-Léonard,H1R 3J8,(514) 400-4894,,garderiepcolombes@gmail.com,GARD,18.0,10.0,,,,
1762,GARDERIE LES PETITS POUSSINS BLEUS INC.,6 - Montréal,"4313, rue Jarry est",Saint-Léonard,H1R 1X2,(514) 357-4918,,garderiepetitspoussins@hotmail.com,GARD,47.0,5.0,,,,
1763,GARDERIE ÉDUCATIVE AU JARDIN DES PETITS INC.,6 - Montréal,"8930, boulevard Viau",Saint-Léonard,H1R 2V3,(514) 558-9968,,garderieaujardindespetits@gmail.com,GARD,52.0,10.0,,,,
1764,GARDERIE ÉDUCATIVE AU PARADIS DES PETITS INC.,6 - Montréal,"4705, boulevard Lavoisier",Saint-Léonard,H1R 3E9,(514) 728-3152,(514) 728-3152,ybentoura@gmail.com,GARD,53.0,9.0,,,,
1765,GARDERIE ÉDUCATIVE DE CHENILLE À PAPILLON INC.,6 - Montréal,"8450, boulevard Viau",Saint-Léonard,H1R 2T7,(514) 678-3378,(514) 678-3378,dechenilleapapillon@videotron.ca,GARD,56.0,9.0,CR,,,
1766,GARDERIE ÉDUCATIVE ET PRÉMATERNELLE LE MONDE DES MERVEILLES INC.,6 - Montréal,"8500, boulevard Langelier",Saint-Léonard,H1P 3C5,(514) 852-2828,(514) 852-8009,lemondedesmerveilles@bellnet.ca,GARD,80.0,0.0,,,,
1767,GARDERIE ÉDUCATIVE LA REINE DES NEIGES INC.,6 - Montréal,"4820, rue Jean-Talon Est",Saint-Léonard,H1S 1K2,(514) 379-4003,,garderielareinedesneiges@gmail.com,GARD,51.0,10.0,,,,
1768,GARDERIE ÉDUCATIVE PICCOLI BOUTCHOUX,6 - Montréal,"8446, boulevard Langelier",Saint-Léonard,H1P 2C2,(514) 577-8185,,piccoliboutchoux@videotron.ca,GARD,38.0,10.0,,,,
1769,GARDERIE ÉTOILE DU MATIN,6 - Montréal,"6055, rue La Dauversière",Saint-Léonard,H1S 1R5,(514) 254-4121,(514) 254-1525,,GARD,60.0,0.0,CR,,,
1770,JARDIN D'ENFANTS MA PREMIÈRE CLASSE INC.,6 - Montréal,"6065, rue Bélanger",Saint-Léonard,H1T 3T4,(514) 252-9595,(514) 252-9596,mapremiereclasse@videotron.ca,GARD,60.0,0.0,CR,,,
