Name,Prov_Terr,City,Address,Age_Groups,Telephone,
"Discovery Montessori Preschool, Daycare",British Columbia,Richmond,6211 Forsyth Crescent Richmond BC,Toddler Kindergarten Preschool Schoolage,604-807-9796,
Fantasy Island,British Columbia,Richmond,9711 Geal RD Richmond BC,Toddler Kindergarten Preschool,7788376262,
Golden Bear Children's Centre,British Columbia,Rossland,Spokane Street Rossland BC,Infant Toddler Preschool Schoolage,250 362 5856,
Kim's Daycare,British Columbia,Salmon Arm,1890 Okanagan Ave. SE Salmon Arm BC,Infant Toddler Kindergarten Preschool,250-804-2765,
Sunny Sky Childcare,British Columbia,Salmon Arm,5371 Mayfair Road Salmon Arm BC,Infant Toddler Kindergarten Preschool Schoolage,(250) 833-5371,
A Stumbling Tot Childcare Center,British Columbia,Sardis,125-5373 Peach Road Sardis BC,Infant Toddler Kindergarten Preschool Schoolage,604-702-8684,
Binky's Child-Minding Service,British Columbia,Sardis,Cowichan Street Sardis BC,Infant Toddler Kindergarten Preschool Schoolage,604-250-5256,
Little People Daycare After School Care,British Columbia,Sardis,45740 Thomas Road Sardis BC,Kindergarten Schoolage,604 318 5436,
Adel's Play N Discovery House,British Columbia,Sidney,"2146 Beacon Avenue, West Sidney BC",Preschool,250-655-4888,
Ashleys Playhouse,British Columbia,Sidney,fifth Sidney BC,Infant Toddler,2509206350,
HOPE,British Columbia,Sidney,Bowerbank Road Sidney BC,Infant Toddler Preschool,2506554276,
Positive Path Early Learning,British Columbia,Sidney,2269 Mills Road Sidney BC,Preschool,250-655-7244,
"Choo Choo, Let's Go! Childcare Centre - Centre De Garde",British Columbia,Sooke,2340 Sunriver Way Sooke BC,Infant Toddler Preschool,778-352-3456,
"CJ's Playhouse, Licensed Family Child Care",British Columbia,Sooke,Charters Rd Sooke BC,Infant Toddler Preschool,250 642 2881,
Evolution Child Development Centre,British Columbia,Sooke,6638 Eakin Drive Sooke BC,Preschool,778 425 3232,
Funky Monkey Daycare,British Columbia,Sooke,Stone Hearth Lane Sooke BC,Infant Toddler Preschool,778 425 0066,
Happy Face Day Care,British Columbia,Sooke,2659A Otter Point Rd Sooke BC,Infant Toddler Preschool,250-642-0422,
Kid's Cottage Daycare,British Columbia,Sooke,6760 Steeple Chase Sooke BC,Infant Toddler Kindergarten Preschool,2509209334,
Kyla's Country Corner Daycare,British Columbia,Sooke,Country Rd. Sooke BC,Infant Toddler Kindergarten Preschool Schoolage,778-679-0683,
Lyrics And Laughter Licensed Family Daycare,British Columbia,Sooke,Otter Point Rd. Sooke BC,Toddler Kindergarten Preschool Schoolage,250-642-2898,
MamaMitchelli's Kids Courier Service,British Columbia,Sooke,Otter Point Road Sooke BC,Kindergarten Preschool Schoolage,778-425-1108,
One Village Family Daycare,British Columbia,Sooke,6853 Grant Rd West Sooke BC,Infant Toddler Kindergarten Preschool Schoolage,250-858-5897,
Moussi Montessori,British Columbia,Squamish,38647 Buckley Avenue Squamish BC,Toddler Preschool,(604) 848-8098,
Mumpy's Squamish Playhouse,British Columbia,Squamish,The Crescent Squamish BC,Infant Toddler Preschool,6048493265,
Tot's Club Childcare,British Columbia,Squamish,Manquam  Area Squamish BC,Infant Toddler Kindergarten Preschool Schoolage,604-892-7510,
5 Stars Daycare,British Columbia,Surrey,58th Ave. Surrey BC,Infant Toddler,604-543-8972,
A Child's Mind Family Daycare,British Columbia,Surrey,113th Avenue Surrey BC,Toddler Preschool,778-395-0440,
AB Angels Childcare And Learning Centre,British Columbia,Surrey,127 Street Surrey BC,Toddler Preschool Schoolage,6045438848,
Al Mustafa Academy,British Columbia,Surrey,10535 135A Street Surrey BC,Toddler Preschool,7788775523,
Amazing Grace Childcare Centre,British Columbia,Surrey,10816 155A ST Surrey BC,Infant Toddler Kindergarten Preschool Schoolage,(778) 885-9369,
Anju's Day Care,British Columbia,Surrey,8655 king george hwy surrey BC,Toddler Kindergarten Preschool Schoolage,604 572-6081,
Anju's Day Care,British Columbia,Surrey,105 8655 king george hwy Surrey BC,Toddler Kindergarten Preschool Schoolage,(604)572-6081,
Apple Tree Childcare Center,British Columbia,Surrey,5482-124B 5482 124B Street Surrey BC,Infant Toddler Kindergarten Preschool Schoolage,604-599-6653,
Art And Play Daycare,British Columbia,Surrey,"2318, 156th Street, Surrey Surrey BC",Infant Toddler,604 536 7900,
Busy Bumble Bees,British Columbia,Terrace,terrace Terrace BC,Infant Toddler,2506399999,
Piccola Casa Lincesed Family Childcare,British Columbia,Vancouver,133 1st Avenue W Vancouver BC,Infant Toddler Preschool,604 306 5303,
'Amiguitos' Little Friends Family Daycare,British Columbia,Vancouver,8460 Duff St. Vancouver BC,Infant Toddler Preschool,(604) 323-7907,
'La Calypso',British Columbia,Vancouver,1555 west 7th st Vancouver BC,Preschool,7782319459,
A-1 Montessori Learning Centre,British Columbia,Vancouver,2001 West 37th Ave Vancouver BC,Toddler Kindergarten Preschool,604-329-2273,
Acadia Park Preschool,British Columbia,Vancouver,2750 Acadia Park Lane Vancouver BC,Toddler Kindergarten Preschool Schoolage,604-822-5568,
Acorn-Eight Oaks Day Care Centre,British Columbia,Vancouver,3637 Cambie Street Vancouver BC,Toddler Kindergarten Preschool Schoolage,604-872-0022,
Alison's Famliy Daycare,British Columbia,Vancouver,3588 W 37th Ave Vancouver BC,Infant Toddler Preschool,6047816309,
Anahid  Family ChildCare,British Columbia,Vancouver,1000 Beach Ave Vancouver BC,Infant Toddler,7783730329,
Bayshore Gardens Children'S Centre,British Columbia,Vancouver,581 Cardero Street Vancouver BC,Infant Toddler Preschool,604-718-6555,
Bayview Community Preschool,British Columbia,Vancouver,2251 Collingwood Street Vancouver BC,Kindergarten Preschool Schoolage,604-713-5295,
Beach YMCA Daycare,British Columbia,Vancouver,1475 Burrard Street Vancouver BC,Toddler Kindergarten Preschool Schoolage,604-683-3834,
A Mothers Touch Licensed Family Daycare,British Columbia,Vernon,2812 Lardeau Way Vernon BC,Infant Toddler Preschool,250-542-1877,
Arc-en-ciel - Rainbow Child Enrichment Centre,British Columbia,Vernon,2903 24th St. Vernon BC,Toddler Kindergarten Preschool Schoolage,250-549-4265,
Arc-en-ciel Rainbow Child Enrichment Centre,British Columbia,Vernon,2903 24th St. Vernon BC,Toddler Kindergarten Preschool Schoolage,250-549-4265,
Funfer All Daycare,British Columbia,Vernon,17th Ave Vernon BC,Infant Toddler Kindergarten Preschool,(250) 549-4282,
Little Pals Family Daycare,British Columbia,Vernon,3417 15 Avenue Vernon BC,Infant Toddler Kindergarten Preschool Schoolage,250 309 6804,
Sara's Home Daycare,British Columbia,Vernon,3807 32nd ave Vernon BC,Infant Toddler Preschool,778-475-1516,
Quails' Nest Daycare,British Columbia,Victoria,Camden Ave. Victoria BC,Infant Toddler Preschool,250 721-2342,
A Growing Place Early Childhood Centre,British Columbia,Victoria,4749 William Head Road Victoria BC,Preschool,250-391-1133,
A To Z Kids Care,British Columbia,Victoria,EDGEMONT ROAD Victoria BC,Toddler Preschool,7786781915,
Abc Infant Care,British Columbia,Victoria,2700 Scott Street Victoria BC,Infant Toddler Preschool,250-598-3741,
Abc Kindergarten,British Columbia,Victoria,1750 Haultain Street Victoria BC,Infant Toddler Kindergarten Preschool Schoolage,250-598-3741,
Allison'S Wonderland Child Care Centre,British Columbia,Victoria,121 Obed Avenue Victoria BC,Toddler Kindergarten Preschool Schoolage,250-479-3900,
Anklebyters Out Of School Care,British Columbia,Victoria,3751 Grange Road Victoria BC,Schoolage,250-216-2756,
Arbutus Grove Children'S Centre,British Columbia,Victoria,3905 Haro Road Victoria BC,Toddler Kindergarten Preschool Schoolage,250-477-3731,
ArtsCalibre Academy,British Columbia,Victoria,3031 Quadra Street Victoria BC,Preschool,250-382-3533,
Beacon Gardens Early Childhood Centre,British Columbia,Victoria,117 St. Andrews Street Victoria BC,Toddler Kindergarten Preschool Schoolage,250-386-5111,
Beacon Gardens Too,British Columbia,Victoria,520 Niagara Street Victoria BC,Infant Toddler Kindergarten Preschool Schoolage,250-881-2033,
A PLUS DAYCARE,British Columbia,West Vancouver,MACBETH CRESCENT West Vancouver BC,Infant Toddler,6047901818,
Child Connect Early Learning Center,British Columbia,West Vancouver,1305 Taylor Way West Vancouver BC,Preschool,604 281 4410,
Eagle Harbour Montessori Childcare,British Columbia,West Vancouver,5575 Marine Drive West Vancouver BC,Kindergarten Preschool Schoolage,6048081822,
HAR EL,British Columbia,West Vancouver,1305 TAYLOR WAY West Vancouver BC,Preschool,604-925-6488,
Pauline Johnson Playschool,British Columbia,West Vancouver,1150 22nd of west vancouver West Vancouver BC,Preschool,604-787-9314,
Petit PJ Preschool,British Columbia,West Vancouver,1150 22nd Street West Vancouver BC,Preschool,(604) 926-5972,
PJ Kids Club,British Columbia,West Vancouver,1150 22nd Street West Vancouver BC,Toddler Kindergarten Preschool Schoolage,604-926-5972,
Creative Minds,British Columbia,Westbank,webber Westbank BC,Infant Toddler Kindergarten Preschool Schoolage,,
Morning Dove Daycare,British Columbia,Westbank,Elk Road Westbank BC,,,
"TLC For Kids, Ltd",British Columbia,Westbank,104-2081 McDougall Road Westbank BC,Toddler Kindergarten Preschool Schoolage,250 769 4855,
Wee Care Family Childcare,British Columbia,Westbank,0000 Mcallister rd Westbank BC,Infant Toddler Kindergarten Preschool Schoolage,250-452-0543,
West Kelowna Learning Centre,British Columbia,Westbank,3660 Brown Road Westbank BC,Infant Toddler Kindergarten Preschool Schoolage,250-452-6866,
Babysitting Whistler,British Columbia,Whistler,4368 Main Street Whistler BC,Infant Toddler Kindergarten Preschool Schoolage,604 902 2229,
Mumpys Whistler Playhouse,British Columbia,Whistler,1500 Spring Creek drive Whistler BC,Infant Toddler Preschool,604-907-2828,
Nature's Kids Educational Child Care,British Columbia,Winfield,9362 Mountview Rd Winfield BC,Toddler Kindergarten Preschool,250 766 4626,
Take Your Time Child Care,British Columbia,Winfield,Pretty Road Winfield BC,Toddler Kindergarten Preschool,778-480-0109,
Kiddie Sunshine Centre,Manitoba,Altona,54 Centre Street Altona MB,Infant,204-324-5369,
Peggy's Home Daycare,Manitoba,Beausejour,Park Ave Beausejour MB,Toddler Preschool,204-268-66174,
Munchkinland,Manitoba,Dauphin,keays st Dauphin MB,Infant Toddler Kindergarten Preschool Schoolage,204-6389487,
Home Away From Home Daycare,Manitoba,Dugald,33087 Suthwyn Rd Dugald MB,Infant Toddler Kindergarten Preschool Schoolage,204-955-8096,
Elm Creek Stay And Play Centre,Manitoba,Elm Creek,194 Gordon Avenue Elm Creek MB,Infant,204-436-3332,
Fisher Branch Care-A-Lot For Tots Inc.,Manitoba,Fisher Branch,P.o. Box 215 Fisher Branch MB,Infant Preschool Schoolage,1-204-372-6460,
J. A. Cuddy Child Care Centre,Manitoba,Flin Flon,5 Main Street FLIN FLON MB,Infant,204-736-3289,
Daily Discoveries,Manitoba,Gilbert Plains,106 Burrows Avenue Gilbert Plains MB,Infant,204-548-2274,
Hartney Tiny Tot Junction,Manitoba,Hartney,415 Centennial Street Hartney MB,Infant,204-858-2316,
William And Jacks Place,Manitoba,Manitou,Abbeydale Crescent. Manitou MB,Toddler Kindergarten Preschool Schoolage,,
Lil Tots Day Care,Manitoba,Melita,Front Street Melita MB,,,
Morden Community Child Care Centre,Manitoba,Morden,5 Rampton Street Morden MB,Infant,204-822-6663,
Niverville Home Daycare,Manitoba,Niverville,Southpark Dr Niverville MB,Infant Toddler Kindergarten Preschool Schoolage,204-388-6124,
La Garderie Arc-En-Ciel,Manitoba,Notre Dame De Lourdes,123 Rogers Rue Notre Dame De Lourdes MB,Infant,204-248-2315,
Robyn's Home Daycare,Manitoba,Selkirk,Manitoba Avenue Selkirk MB,Infant Toddler Kindergarten Preschool,204-381-1565,
Kids R Kids Daycare,Manitoba,Shilo,Box 883 Shilo MB,Infant Toddler Kindergarten Preschool Schoolage,204-765-4626,
Tiger Hills Community Resource Centre,Manitoba,Treherne,226 Andrews Street Treherne MB,Infant,204.723.2702,
Amazing Home Childcare,Manitoba,Winnipeg,Concordia Avenue Winnipeg MB,Infant Toddler Kindergarten Preschool Schoolage,4313731380,
1FT Sport 3andup-Nursery-Kindergarden (Glenelm School),Manitoba,Winnipeg,Carmen Avenue Winnipeg MB,Toddler Kindergarten Preschool Schoolage,204-668-4561,
A Angelo And Freinds,Manitoba,Winnipeg,garfield st Winnipeg MB,Infant Toddler Kindergarten Preschool,2048804700,
Advantage Child Care Academy Inc,Manitoba,Winnipeg,51 Scurfield Boulevard Winnipeg MB,Infant Toddler Preschool,204-453-2222,
Ainee Home Day Care,Manitoba,Winnipeg,Shearwater Bay Winnipeg MB,Infant Toddler Preschool,204 9609178,
Amanda Johnson's Family Child Care,Manitoba,Winnipeg,Sinclair St Winnipeg MB,Infant,582-8472,
Amanda's Day Home,Manitoba,Winnipeg,Adsum Drive Winnipeg MB,Infant Toddler,416-6536,
Amanda's Home Daycare,Manitoba,Winnipeg,Wentwood cres. Winnipeg MB,Infant Toddler Kindergarten Preschool,694-4440,
Amazing Home Childcare,Manitoba,Winnipeg,Concordia Avenue Winnipeg MB,Infant Toddler Kindergarten Preschool Schoolage,4313731380,
Angel's 24 Hour Childcare Home,Manitoba,Winnipeg,455 Pritchard Avenue Winnipeg MB,Infant Toddler Kindergarten Preschool Schoolage,(204) 942-1904,
Happy Face Nursery School,Manitoba,Winnipegosis,516 5th Street Winnipegosis MB,Infant,204-656-4474,
Halte Scolaire Calinourson,New Brunswick,Allardville,974 Route 160 Allardville NB,Schoolage,725-9897,
Atholville Little Foot Day Care - Garderie Les Petits Pieds,New Brunswick,Atholville,214 Dumanoire Atholville NB,Preschool Schoolage,753-5626,
Aux Pays Des Enfants,New Brunswick,Atholville,272 B Notre Dame Atholville NB,Infant Preschool Schoolage,753-6038,
Garderie Doux Câlin,New Brunswick,Balmoral,43 Rue Lepage Balmoral NB,Preschool Schoolage,826-1902,
Club Des Amis 4,New Brunswick,Bathurst,1410 Miramichi Avenue Bathurst NB,Infant Preschool Schoolage,548-8584,
Club Des Amis 6,New Brunswick,Bathurst,980 Boul. Vanier Bathurst NB,Preschool Schoolage,547-0084,
Club Des Amis 7,New Brunswick,Bathurst,980 Boul. Vanier Bathurst NB,Infant Preschool,547-0085,
Club Des Amis Deux,New Brunswick,Bathurst,850 Grandview Street Bathurst NB,Schoolage,545-8583,
Club Des Amis Halte Scolaire Inc.,New Brunswick,Bathurst,850 Grandview Street Bathurst NB,Infant Preschool Schoolage,547-0008,
Club Des Amis Trois,New Brunswick,Bathurst,840 Grandview Street Bathurst NB,Preschool Schoolage,547-0008,
Garderie Bimbo Day Care Inc.,New Brunswick,Bathurst,644 University Drive Bathurst NB,Infant Preschool,548-8069,
Garderie Sesame,New Brunswick,Bathurst,2691 Miramichi Ave Bathurst NB,Infant Preschool Schoolage,546-4761,
Halte Scolaire Bimbo After School,New Brunswick,Bathurst,644 University Drive Bathurst NB,Schoolage,548-8069,
Kids Korner - Au Coin Des Petits,New Brunswick,Bathurst,P.o. Box 264 Bathurst NB,Infant Preschool,548-0466,
Garderie Boîte À Soleil,New Brunswick,Beresford,1052 Rue Principale Beresford NB,Infant Preschool Schoolage,547-8991,
Garderie Happy Little Faces Day Care,New Brunswick,Beresford,1119 Rue Principale Beresford NB,Infant Preschool Schoolage,546-5401,
Garderie Manège Enchanté And Halte Scolaire,New Brunswick,Beresford,1190 Rue Principale Beresford NB,Infant Preschool Schoolage,548-9324,
Garderie Tourelou,New Brunswick,Beresford,806 rue de l'École Beresford NB,Preschool Schoolage,542-1907,
Halte Scolaire Mon Soleil,New Brunswick,Beresford,207 Rue Gagnon Beresford NB,Schoolage,345-5372,
Pre-Maternelle Et Halte Scolaire Mon Soleil,New Brunswick,Beresford,207 Rue Gagnon Beresford NB,Preschool Schoolage,542-1406,
Centre D'animation L'arc-en-ciel,New Brunswick,Bertrand,894 blvd. des Acadiens Bertrand NB,Preschool Schoolage,727-6737,
Garderie Acamie,New Brunswick,Bertrand,894 Boul. Des Acadiens Bertrand NB,Infant Preschool Schoolage,344-5030,
Garderie Tante Carole,New Brunswick,Bertrand,956 Blvdl. Des Acadiens Bertrand NB,Infant Preschool Schoolage,727-2727,
Tiny Tots Afterschool Program,New Brunswick,Black's Harbour,26 Park Avenue Black's Harbour NB,Schoolage,456-1123,
Tiny Tots Daycare Ltd.,New Brunswick,Black's Harbour,26 Park Avenue Black's Harbour NB,Infant Preschool,456-2087,
Clora Coughlan's Pre-School,New Brunswick,Blackville,117 Main Street Blackville NB,Preschool,843-9894,
Garde Scolaire Des Tournesols,New Brunswick,Bouctouche,26 Rue Du Parc Bouctouche NB,Schoolage,743-3614,
Jardin De Tournesols-Sunflower Patch,New Brunswick,Bouctouche,26 Rue Du Parc Bouctouche NB,Infant Preschool Schoolage,743-8121,
Crafty Corner Childcare Centre,New Brunswick,Bristol,7 Kirk Street Bristol NB,Infant Preschool Schoolage,392-6161,
Florenceville Bristol Afterschool Club,New Brunswick,Bristol,4728 Juniper Road Bristol NB,Schoolage,392-6424,
Campbellton Recreation Department Preschool Program,New Brunswick,Campbellton,29 Roseberry Street Campbellton NB,Preschool,789-2717,
Garderie Des Apprentis-Sages,New Brunswick,Campbellton,34 Rue Stanley Campbellton NB,Preschool Schoolage,753-7654,
Garderie L'Enfant Magique Inc.,New Brunswick,Campbellton,CP 1039 Campbellton NB,Infant Preschool Schoolage,753-4069,
Garderie Les Bouts Choux,New Brunswick,Campbellton,59 Andrew Campbellton NB,Preschool Schoolage,753-3735,
Garderie Polichinelle,New Brunswick,Campbellton,87 Rue Arran Campbellton NB,Infant Preschool Schoolage,753-4218,
Pré-Maternelle Du Centre De Ressources Pour Parents,New Brunswick,Campbellton,6 Rue Prince Williams Campbellton NB,Preschool,753-4172,
Garderie Lisette,New Brunswick,Cap-pele,36 Rue Brun Cap-Pelé NB,Infant Preschool,577-8208,
Le Paradis Des Petits Ltée,New Brunswick,Cap-pele,P.o.box 1098 Cap-Pelé NB,Preschool Schoolage,577-2299,
Garderie Bourgeoys,New Brunswick,Caraquet,248 Rue Marguerite Bourgeoys Caraquet NB,Preschool Schoolage,727-6883,
Garderie Katou,New Brunswick,Caraquet,Cp 5729 Caraquet NB,Infant Preschool Schoolage,727-4852,
Garderie La Licorne,New Brunswick,Caraquet,132 Rue Du Portage Caraquet NB,Preschool Schoolage,727-7150,
Garderie Les Petits Bambins,New Brunswick,Caraquet,76 Chemin St-Simon Caraquet NB,Preschool Schoolage,727-6433,
Garderie Les Petits Trésors,New Brunswick,Caraquet,5 Rue De La Forge Caraquet NB,Preschool Schoolage,727-4656,
Halte Scolaire Kopin-Kopine,New Brunswick,Caraquet,246 Rue Marguerite-Bourgeoys Caraquet NB,Schoolage,727-4160,
Halte Scolaire L'Arc-en-Ciel,New Brunswick,Caraquet,894 blvd. des Acadiens Caraquet NB,Schoolage,727-6737,
Halte Scolaire Les Petits Trésors,New Brunswick,Caraquet,626 Boul St-Pierre Ouest Caraquet NB,Schoolage,727-2303,
Garderie Le P'tit Monde Des Enfants,New Brunswick,Clair,695 rue Principale Clair NB,Infant Preschool Schoolage,992-2115,
Garderie Anne-Marie,New Brunswick,Cocagne,170 White SEttlement Road Cocagne NB,Infant Preschool Schoolage,576-6575,
Les Ami(e)s À Nanette,New Brunswick,Cocagne,5337 Rte. 134 Cocagne NB,Preschool Schoolage,576-2031,
Dalhousie Preschool Inc.,New Brunswick,Dalhousie,140 Brunswick Dalhousie NB,Infant Preschool Schoolage,684-2700,
Garderie Hanzel Et Gretel,New Brunswick,Dalhousie,249 Vautour Street Dalhousie NB,Preschool Schoolage,684-2425,
Garderie Les Amis De Jessie,New Brunswick,Dalhousie,471 Rue Montgomery Dalhousie NB,Preschool Schoolage,684-2405,
Centre Éducatif Ellemenno « P »,New Brunswick,Dieppe,400 Rue Louis Dieppe NB,Preschool Schoolage,388-5666,
Centre Éducatif « Le Platinum Inc. »,New Brunswick,Dieppe,355 Rue Amirault Dieppe NB,Preschool Schoolage,855-9000,
Centre Parascolaire Entre Amis Junior - Between Friends Afterschool Junior',New Brunswick,Dieppe,505 rue Champlain Dieppe NB,Schoolage,388-2665,
Centre Parascolaire Entre Amis-Between Friends,New Brunswick,Dieppe,505 Rue Champlain Dieppe NB,Schoolage,855-2647,
Club Anna Malenfant,New Brunswick,Dieppe,1070 Rue Amirault Dieppe NB,Schoolage,384-8407,
Dieppe Boys And Girls Club Day Care - Garderie Du Club Garçons Et Filles De,New Brunswick,Dieppe,76 Rue Emmanuel Dieppe NB,Preschool Schoolage,857-3807,
Garderie 'tits Bonhommes,New Brunswick,Dieppe,470 Acadie Ave Dieppe NB,Infant Toddler Kindergarten Preschool Schoolage,(506) 233-0081,
Garderie Chez Catherine,New Brunswick,Dieppe,515 Avenue Guy Dieppe NB,Preschool Schoolage,855-5271,
Garderie Chez Les Jumelles Ltée.,New Brunswick,Dieppe,392 Rue Amirault Dieppe NB,Preschool,382-4565,
Garderie La Lapinière,New Brunswick,Dieppe,353 Rue Gould Dieppe NB,Preschool,855-6912,
Garderie Ami-Bee,New Brunswick,Dunlop,866 Robertville Road Dunlop NB,Preschool Schoolage,783-4998,
Halte Scolaire Ami-Bee,New Brunswick,Dunlop,866 Robertville Road Dunlop NB,Schoolage,783-4998,
Centre Récréatif Les Calinours Deux,New Brunswick,Edmundston,45 31 Avenue Edmundston NB,Infant Preschool,737-8702,
Garderie Chez Mamie,New Brunswick,Edmundston,45 31 Avenue Edmundston NB,Preschool Schoolage,737-8702,
Garderie Des P'tits Amis,New Brunswick,Edmundston,15 Blvd. De la Capitale Edmundston NB,Preschool Schoolage,739-9062,
Garderie Mont Saint Marie Inc. (préscolaire Et Après-Classe),New Brunswick,Edmundston,641 Rue St-François Edmundston NB,Infant Preschool Schoolage,735-9199,
Garderie Mont Sainte-Marie Inc.,New Brunswick,Edmundston,641 Rue St-François Edmundston NB,Preschool,735-9199,
Florenceville Bristol Playschool,New Brunswick,Florenceville,381 Main Street Florenceville NB,Preschool,392-6797,
L'il Spuds Daycare,New Brunswick,Florenceville,49 McCain Street Florenceville NB,Infant Preschool Schoolage,392-8310,
Andrea's Home Childcare,New Brunswick,Fredericton,Lilac Cres Fredericton NB,Infant Toddler Preschool,472-2078,
Au Petit Monde De Franco Inc. (franco I),New Brunswick,Fredericton,715 Priestman Street Fredericton NB,Preschool Schoolage,458-9915,
Au Petit Monde De Franco Inc. (franco Ii),New Brunswick,Fredericton,715 Priestman Street. Fredericton NB,Schoolage,458-9915,
Au Petit Monde De Franco Inc. (franco Iii),New Brunswick,Fredericton,715 Priestman Street. Fredericton NB,Preschool,458-9915,
Big Bear Preschool,New Brunswick,Fredericton,20 Robinson Drive Fredericton NB,Infant Preschool,450-2670,
Bright Beginnings Daycare Inc.,New Brunswick,Fredericton,486 Needham St. Fredericton NB,Infant Preschool,506-458-6998,
College Hill Day Care Co-Operative,New Brunswick,Fredericton,850 Montgomery Street Fredericton NB,Infant Preschool Schoolage,458-2883,
Connie Wheaton's Daycare,New Brunswick,Fredericton,76 Wiggins Drive Fredericton NB,Infant Preschool Schoolage,454-8037,
Creative Childcare,New Brunswick,Fredericton,1691 Lincoln Rd Fredericton NB,Toddler Kindergarten Preschool Schoolage,459-8458,
Creative Childcare,New Brunswick,Fredericton,1666 Lincoln Road Fredericton NB,Infant Preschool Schoolage,459-8458,
Sunbury West Headstart Inc.,New Brunswick,Fredericton Junction,5 Prides Landing Road Fredericton Junction NB,Preschool,368-7710,
Grand Bay Baptist Tiny Treasures Preschool,New Brunswick,Grand Bay-westfield,77 Woolastook Drive Grand Bay-Westfield NB,Preschool,738-2766,
Westfield After School Program,New Brunswick,Grand Bay-westfield,24 Epworth Park Road Grand Bay-Westfield NB,Schoolage,738-8103,
Grand Manan Day Care Centre,New Brunswick,Grand Manan,1021 Route 776 Grand Manan NB,Preschool Schoolage,662-3653,
Garderie Broadway,New Brunswick,Grand-sault,Cp 7152 Grand-Sault NB,Infant Preschool Schoolage,473-4055,
Garderie Chez Sylvie,New Brunswick,Grand-sault,25 Rue Sheriff Grand-Sault NB,Infant Preschool Schoolage,475-9190,
Garderie Le Carrousel,New Brunswick,Grand-sault,99 Rue Deschênes Grand-Sault NB,Infant Preschool Schoolage,473-1665,
Halte Scolaire Élémentaire Sacré-Coeur,New Brunswick,Grand-sault,Cp 7152 Grand-Sault NB,Schoolage,473-4055,
Kim 'n' Kids Daycare,New Brunswick,Hampton,46 Tilley Street Hampton NB,Preschool Schoolage,832-2475,
Little Adventures Preschool Inc.,New Brunswick,Hampton,38 Loyalist Drive Hampton NB,Infant Preschool,832-2273,
Reach For The Stars Preschool,New Brunswick,Hampton,951 Main Street Hampton NB,Preschool,832-1949,
Seeds After School Centre,New Brunswick,Hampton,Main Street Hampton NB,Schoolage,506-609-7766,
Joy Preschool,New Brunswick,Hartland,349 Main Street Hartland NB,Preschool,375-6594,
Totally Kids Daycare And Afterschool,New Brunswick,Hartland,136 Main Street Hartland NB,Preschool Schoolage,375-8000,
Havelock Boys And Girls Club Inc. Playschool,New Brunswick,Havelock,13 Cross Street Havelock NB,Preschool Schoolage,534-8298,
Garderie Bambi Daycare,New Brunswick,Irishtown,52 Maclean Cross Road Irishtown NB,Preschool Schoolage,857-8010,
Petite École Elmwood Little School,New Brunswick,Irishtown,52 Maclean Cross Road Irishtown NB,Infant Preschool Schoolage,854-8779,
Rainbows And Dreams,New Brunswick,Irishtown,30 Red Oak Drive Irishtown NB,Schoolage,383-9183,
Le Monde Des Petits,New Brunswick,Lameque,217A Rue Du Pêcheur Nord Lamèque NB,Schoolage,344-5030,
Garderie Petits Moineaux,New Brunswick,Memramcook,538 Chemin La Montain Memramcook NB,Infant Toddler Kindergarten Preschool Schoolage,(506) 758-9009,
Service De Garde 'la Belle Cour',New Brunswick,Memramcook,341 rue Pré d'En Haut chemin Royal Memramcook NB,Schoolage,758-3970,
A 2 Z Learning And Care Centre,New Brunswick,Minto,17 Crawford Lane Minto NB,Infant Preschool Schoolage,327-3456,
Early World Of Learning Daycare,New Brunswick,Minto,1052 Northside Drive Minto NB,Infant Preschool Schoolage,327-4551,
Beary Special Daycare Inc.,New Brunswick,Miramichi,227 Wellington Street Miramichi NB,Infant Preschool Schoolage,623-5966,
Chatham Day Care Center Inc.,New Brunswick,Miramichi,P.o. Box 1053 Miramichi NB,Infant Preschool Schoolage,773-9779,
Clark's Early Learning Program,New Brunswick,Miramichi,11 Golden Hawk Drive Miramichi NB,Preschool Schoolage,773-7943,
Enchanted Castle Daycare,New Brunswick,Miramichi,249 Wellington Street Miramichi NB,Infant Toddler Kindergarten Preschool Schoolage,506-627-8289,
Garderie La Boîte À Surprises,New Brunswick,Miramichi,300 Chemin Beaverbrook Miramichi NB,Preschool Schoolage,627-4117,
Garderie Peek-A-Boo,New Brunswick,Miramichi,440 King George Highway Miramichi NB,Infant Preschool Schoolage,622-7070,
Joyce Arbeau's Learning Centre Pre-School,New Brunswick,Miramichi,321 Williston Drive Miramichi NB,Preschool,773-7908,
Just Kids Day Care Center Inc.,New Brunswick,Miramichi,296 Radio Street Miramichi NB,Infant Preschool Schoolage,622-3041,
Kacie's Early Learning,New Brunswick,Miramichi,4 Chipman street Miramichi NB,Infant Toddler Preschool Schoolage,506-773-5437,
Kindertots Children's Centre Inc.,New Brunswick,Miramichi,122 Hutchison Drive Miramichi NB,Infant Preschool Schoolage,778-3936,
A Day For Tiny Me,New Brunswick,Moncton,174 1/2 Bonaccord street Moncton NB,Infant Toddler Kindergarten Preschool Schoolage,5062043024,
