,Unnamed: 0,facility,type,community,agegroups,district,address,operator,num_spaces,age,licence_status
125,125,East Coast Kids Child Care & Learning Center,Full-time Centre,Hillsborough,Preschool,Anglophone East,31  School   Lane Hillsborough E0A 1X0 (506) 962-5868,KAREN LINDSAY,57,"Preschool, School-age",Active
126,126,East Coast Kids Riverside-Albert,Full-time Centre,Riverside-Albert,Preschool,Anglophone East,90  Water   Street Riverside-Albert E4H 3Z7 (506) 962-5868,KAREN LINDSAY,24,"Preschool, School-age",Active
127,127,Eastwood Play and Learn,Home,Woodstock,Infant,Anglophone West,111  Eastwood   Drive Woodstock E7M 1P5 (506) 324-1033,CATHERINE KUWERTZ,6,"Infant, Preschool, School-age",Active
128,128,cole de la Petite Enfance,Full-time Centre,Tracadie-Sheila,Preschool,Francophone Nord-Est,4138  rue   Principale   Tracadie-Sheila E1X 1B8 (506) 395-4013,678667 NB LTE,60,Preschool,Active
129,129,cole de la Petite enfance 3,Full-time Centre,Tracadie-Sheila,Infant,Francophone Nord-Est,4138  rue   Principale   Tracadie-Sheila E1X 1B8 (506) 395-4013,678667 NB LTE,18,"Infant, School-age",Active
130,130,EJ Afterschool Program,Part-time Centre,Oromocto,School-age,Anglophone West,300  Restigouche   Road Oromocto E2V 2H5 (506) 260-9898,E B Sports Consulting Inc.,46,School-age,Active
131,131,ELSIPOGTOG DAY CARE,Full-time Centre,Elsipogtog First Nation,Preschool,Anglophone North,208  MAIN   Street Elsipogtog First Nation E4W 2X9 (506) 523-8305,Elsipogtog Band,25,"Preschool, School-age",Active
132,132,Elsipogtog Headstart,Full-time Centre,Elsipogtog First Nation,Preschool,Anglophone North,361  Big Cove   Road Elsipogtog First Nation E4W 2S3 (506) 523-8254,Elsipogtog Band,35,Preschool,Active
133,133,Enlightened Souls Day Care,Home,Riverview,Infant,Anglophone East,40  Henderson   Avenue Riverview E1B 3P3 (506) 381-9380,Katherine O'Brien,6,"Infant, Preschool, School-age",Active
134,134,Enrich Kids,Part-time Centre,Fredericton,School-age,Anglophone West,B 557  Saint Mary's   Street Fredericton E3A 8H4 (506) 897-0105,Enrich Kids Group Inc,30,School-age,Active
135,135,Evergreen Acres Childcare,Home,Richibucto Road,Infant,Anglophone West,15  Debbie   Lane Richibucto Road E3A 6T6 (506) 261-3236,Kristiana Myers,6,"Infant, Preschool, School-age",Active
136,136,FAMILY TIES AFTER SCHOOL PROGRAM,Part-time Centre,Saint John,School-age,Anglophone South,166  Tower   Street Saint John E2M 1Z2 (506) 214-6789,FAMILY TIES PLAY CARE INC,49,School-age,Active
137,137,FAMILY TIES PLAYCARE CENTRE,Full-time Centre,Saint John,Infant,Anglophone South,166  Tower   Street Saint John E2M 1Z2 (506) 214-6789,FAMILY TIES PLAY CARE INC,60,"Infant, Preschool",Active
138,138,Fit Kids,Part-time Centre,Fredericton,School-age,Anglophone West,688  Prospect   Street Fredericton E3B 6G9 (506) 472-3674,E B Sports Consulting Inc.,60,School-age,Active
139,139,FitCamp90 After-School,Part-time Centre,Moncton,School-age,Anglophone East,274  Halifax   Street Moncton E1C 9S3 (506) 860-0690,Mouhamadou Issa Seck,24,School-age,Active
140,140,FitCamp90 After-School,Part-time Centre,Moncton,School-age,Anglophone East,274  Halifax   Street Moncton E1C 9S3 (506) 860-0690,Mouhamadou Issa Seck,24,School-age,Active
141,141,FitCamp90 After-School,Part-time Centre,Moncton,School-age,Anglophone East,274  Halifax   Street Moncton E1C 9S3 (506) 860-0690,Mouhamadou Issa Seck,24,School-age,Active
142,142,Forest Park Childcare,Home,Noonan,Infant,Anglophone West,14  Butternut   Lane Noonan E3A 0Z3 (506) 440-4268,Jason Amato,6,"Infant, Preschool, School-age",Active
143,143,Forever Young Home Childcare Centre,Home,Fredericton,Infant,Anglophone West,175  Diamond   Street Fredericton E3G 7T9 (506) 206-1548,Shannon Jones,6,"Infant, Preschool, School-age",Active
144,144,Franco I,Full-time Centre,Fredericton,Preschool,Francophone Sud,715  Street   Priestman   Fredericton E3B 5W7 (506) 458-9915,Au p'tit monde de franco Inc.,60,"Preschool, School-age",Active
145,145,Franco II,Part-time Centre,Fredericton,School-age,Francophone Sud,715  Street   Priestman   Fredericton E3B 5W7 (506) 458-9915,Au p'tit monde de franco Inc.,60,School-age,Active
146,146,Franco III,Full-time Centre,Fredericton,Preschool,Francophone Sud,715  Street   Priestman   Fredericton E3B 5W7 (506) 458-9915,Au p'tit monde de franco Inc.,60,Preschool,Active
147,147,Fredericton Christian Academy Children's Centre,Part-time Centre,Fredericton,School-age,Anglophone West,778  MacLaren   Avenue Fredericton E3A 3L7 (506) 458-9379,Fredericton Christian Academy Inc.,60,School-age,Active
148,148,Fredericton Christian Academy Early Childhood Learning Centre,Full-time Centre,Fredericton,Preschool,Anglophone West,778  MacLaren   Avenue Fredericton E3A 3L7 (506) 458-9379,Fredericton Christian Academy Inc.,40,Preschool,Active
149,149,Fredericton Early Learning Centre,Full-time Centre,Fredericton,Preschool,Anglophone West,351  Aberdeen   Street Fredericton E3B 1R8 (506) 452-8894,Fredericton Early Learning Centre,41,Preschool,Active
150,150,Fredericton Montessori Academy,Part-time Centre,Fredericton,School-age,Anglophone West,131  Duncan   Lane Fredericton E3B 9T1 (506) 444-6249,Fredericton Montessori Academy Inc.,60,School-age,Active
151,151,Fredericton Montessori Academy - Casa,Full-time Centre,Fredericton,Preschool,Anglophone West,131  Duncan   Lane Fredericton E3B 9T1 (506) 444-6249,Fredericton Montessori Academy Inc.,36,"Preschool, School-age",Active
152,152,FRFRC After School Care,Part-time Centre,Fredericton,Preschool,Anglophone West,60  Veterans   Drive Fredericton E3A 4C3 (506) 474-0252,Fredericton Regional Family Resource Centre Inc.,30,"Preschool, School-age",Active
153,153,Full Circle Academy,Part-time Centre,Moncton,School-age,Anglophone East,125  Russ Howard   Drive Moncton E1C 0L7 (506) 382-7529,Indoor Sports Management Group LTD.,60,School-age,Active
154,154,FULL CIRCLE ACADEMY 2,Full-time Centre,Moncton,Preschool,Anglophone East,125  Russ Howard   Drive Moncton E1C 0L7 (506) 382-7529,Indoor Sports Management Group LTD.,24,"Preschool, School-age",Active
155,155,Future Footprints Family Centre,Full-time Centre,Perth-Andover,Preschool,Anglophone West,9  School   Street Perth-Andover E7H 4T4 (506) 273-4250,Future Footprints Family Centre,60,"Preschool, School-age",Active
156,156,Garderie  Grand Pas,Full-time Centre,Saint John,Preschool,Francophone Sud,67  Road   Ragged Point   Saint John E2K 5C3 (506) 658-4607,Association Rgionale Communaut Francophone Saint-Jean Inc.,60,Preschool,Active
157,157,Garderie  Jo-Jo,Home,DIEPPE,School-age,Francophone Sud,211    STE-THRSE   DIEPPE E1A 1T2 (506) 382-9507,Joanne Richard,9,School-age,Active
158,158,Garderie a petits pas,Full-time Centre,Saint John,Preschool,Francophone Sud,67  Road   Ragged Point   Saint John E2K 5C3 (506) 658-4607,Association Rgionale Communaut Francophone Saint-Jean Inc.,60,Preschool,Active
159,159,GARDERIE ABC DAYCARE,Full-time Centre,Moncton,Preschool,Francophone Sud,210  Road   Mill   Moncton E1A 4B1 (506) 857-8999,058626 NB INC.,44,Preschool,Active
160,160,GARDERIE ABC DEUX,Part-time Centre,Moncton,School-age,Francophone Sud,82  Street   Drummond   Moncton E1A 2Z2 (506) 857-8999,058626 NB INC.,18,School-age,Active
161,161,GARDERIE ABC TROIS,Full-time Centre,Moncton,Preschool,Francophone Sud,210  Road   Mill   Moncton E1A 4B1 (506) 857-8999,058626 NB INC.,32,"Preschool, School-age",Active
162,162,Garderie Acamie,Full-time Centre,Caraquet,Infant,Francophone Nord-Est,295  boulevard   St-Pierre Ouest   Caraquet E1W 1B7 (506) 727-6737,CENTRE D'ANIMATION L'ARC-EN-CIEL,48,"Infant, Preschool",Active
163,163,Garderie Adorable,Full-time Centre,Memramcook,Infant,Francophone Sud,215  chemin   Lac   Memramcook E4K 1R6 (506) 758-9972,Ren LeBlanc,24,"Infant, Preschool",Active
164,164,GARDERIE ANNE-MARIE 2,Full-time Centre,Saint-Antoine,Infant,Francophone Sud,4572  rue   Principale   Saint-Antoine E4V 1R4 (506) 525-2722,GARDERIE ANNE-MARIE INC.,60,"Infant, Preschool, School-age",Active
165,165,GARDERIE APRES CLASSE COCCINELLE II,Part-time Centre,Saint John,School-age,Francophone Sud,67  Road   Ragged Point   Saint John E2K 5C3 (506) 658-4607,Association Rgionale Communaut Francophone Saint-Jean Inc.,60,School-age,Active
166,166,GARDERIE APRES CLASSE LA COCCINELLE,Part-time Centre,Saint John,School-age,Francophone Sud,67  Road   Ragged Point   Saint John E2K 5C3 (506) 658-4609,Association Rgionale Communaut Francophone Saint-Jean Inc.,60,School-age,Active
167,167,Garderie Arc-en-ciel,Home,Dieppe,Infant,Francophone Sud,166  rue   Lakeburn   Dieppe E1A 2E8 (506) 382-4693,JESSICA CORMIER,6,"Infant, Preschool, School-age",Active
168,168,GARDERIE ARLEQUIN DAYCARE INC.,Full-time Centre,Irishtown,Infant,Francophone Sud,2311  Route   15   Irishtown E1H 2L4 (506) 856-3418,GARDERIE ARLEQUIN DAYCARE INC.,60,"Infant, Preschool, School-age",Active
169,169,GARDERIE ARLEQUIN II DAYCARE,Full-time Centre,Moncton,Preschool,Francophone Sud,444  Drive   Mclaughlin   Moncton E1A 4R4 (506) 857-8010,GARDERIE ARLEQUIN DAYCARE INC.,52,"Preschool, School-age",Active
170,170,GARDERIE ARLEQUIN III DAYCARE,Full-time Centre,Moncton,Infant,Francophone Sud,1122  Drive   Elmwood   Moncton E1H 2H2 (506) 384-5332,GARDERIE ARLEQUIN DAYCARE INC.,48,"Infant, Preschool, School-age",Active
171,171,Garderie au Bourgeonnet,Full-time Centre,Saint John,Infant,Francophone Sud,67  Road   Ragged Point   Saint John E2K 5C3 (506) 658-4607,Association Rgionale Communaut Francophone Saint-Jean Inc.,48,"Infant, Preschool",Active
172,172,Garderie au coin des petits,Full-time Centre,Kedgwick,Preschool,Francophone Nord-Ouest,3  rue   Notre Dame   Kedgwick E8B 1H2 (506) 284-9811,JOANIE GODIN,27,"Preschool, School-age",Active
173,173,Garderie Au Pays Des Enfants Inc.,Full-time Centre,Atholville,Preschool,Francophone Nord-Est,B 272  rue   Notre Dame   Atholville E3N 3Z9 (506) 753-6038,Garderie Au Pays Des Enfants inc.,52,"Preschool, School-age",Active
174,174,Garderie au pays des merveilles 2,Part-time Centre,Grand-Barachois,School-age,Francophone Sud,162  chemin   Cormier Village   Grand-Barachois (506) 532-9536,707253 NB Inc.,15,School-age,Active
175,175,GARDERIE AU PTIT CAROUSSEL,Home,Dieppe,Infant,Francophone Sud,76  rue   Mathias   Dieppe E1A 9H6 (506) 870-0563,MONICA LAROCQUE,6,"Infant, Preschool, School-age",Active
176,176,Garderie Au rve des anges,Full-time Centre,Saint-Jacques,School-age,Francophone Nord-Ouest,8  rue   Du Ruisseau   Saint-Jacques E7B 2Y6 (506) 736-0800,Caroline Blier Hbert,24,School-age,Active
177,177,Garderie Au Royaume en chant  T ,Full-time Centre,Kedgwick,Infant,Francophone Nord-Ouest,5  rue   Rue Des Sapins   Kedgwick E8B 2B3 (506) 284-1017,Claudine Brub,27,"Infant, Preschool, School-age",Active
178,178,Garderie aux P'tits Amours Inc.,Full-time Centre,Petit-Rocher,Infant,Francophone Nord-Est,65  rue   LaPlante Est   Petit-Rocher E8J 1H4 (506) 783-7070,Garderie Aux P'tits Amours Inc.,60,"Infant, Preschool, School-age",Active
179,179,Garderie aux P'tits Amours Inc. 2,Full-time Centre,Petit-Rocher,School-age,Francophone Nord-Est,65  rue   LaPlante Est   Petit-Rocher E8J 1H4 (506) 783-7070,Garderie Aux P'tits Amours Inc.,52,School-age,Active
180,180,GARDERIE BEAUSJOUR,Part-time Centre,Shediac,School-age,Francophone Sud,810  chemin   Ohio   Shediac E4P 2K1 (506) 533-9461,GARDERIE BEAUSJOUR LTE,60,School-age,Active
181,181,Garderie Bimbo Daycare Inc.,Full-time Centre,Bathurst,Infant,Francophone Nord-Est,644  Drive   University   Bathurst E2A 2W6 (506) 548-8069,GARDERIE BIMBO DAY CARE INC.,123,"Infant, Preschool",Active
182,182,Garderie Bourgeoys 2,Home,Caraquet,Infant,Francophone Nord-Est,248  rue   Marguerite Bourgeoys   Caraquet E1W 1A4 (506) 727-6883,Julienne Comeau,6,"Infant, Preschool, School-age",Active
183,183,Garderie Carrefour des amis,Full-time Centre,Beresford,Infant,Francophone Nord-Est,806  rue   cole   Beresford E8K 1V5 (506) 542-1907,Carrefour des amis inc.,60,"Infant, Preschool, School-age",Active
184,184,Garderie centre ducatif les petits pas,Full-time Centre,Saint-Quentin,Infant,Francophone Nord-Ouest,9  rue   Violette   Saint-Quentin E8A 2B7 (506) 235-2942,Diane Beaulieu,60,"Infant, Preschool",Active
185,185,Garderie centre ducatif les petits pas 2,Part-time Centre,Saint-Quentin,School-age,Francophone Nord-Ouest,210  rue   Mgr Martin Est   Saint-Quentin E8A 1V4 (506) 235-6024,Diane Beaulieu,48,School-age,Active
186,186,GARDERIE CHAMPLAIN DAYCARE,Full-time Centre,Moncton,Infant,Francophone Sud,66  Promenade   Newcombe   Moncton E1A 7K2 (506) 383-0077,GARDERIE CHAMPLAIN DAYCARE INC.,44,"Infant, Preschool",Active
187,187,GARDERIE CHAMPLAIN DAYCARE 2,Part-time Centre,Moncton,School-age,Francophone Sud,66  Promenade   Newcombe   Moncton E1A 9V4 (506) 383-0077,GARDERIE CHAMPLAIN DAYCARE INC.,40,School-age,Active
188,188,Garderie Champlain Daycare 3,Full-time Centre,Moncton,Infant,Francophone Sud,80  Promenade   Newcombe   Moncton E1A 9V4 (506) 383-0078,Garderie Champlain Daycare 2 Inc.,41,"Infant, Preschool",Active
189,189,Garderie Champlain Daycare 4,Part-time Centre,Moncton,School-age,Francophone Sud,80  Promenade   Newcombe   Moncton E1A 9V4 (506) 383-0078,Garderie Champlain Daycare 2 Inc.,43,School-age,Active
190,190,GARDERIE CHATEAU MAGIQUE 2015,Full-time Centre,Nguac,Infant,Anglophone North,40  Robin   rue Nguac E9G 0B1 (506) 779-6057,GARDERIE CHATEAU MAGIQUE 2015,58,"Infant, Preschool, School-age",Active
191,191,GARDERIE CHEZ ALINOU,Home,Grand-Barachois,Infant,Francophone Sud,16  Street   Paul   Grand-Barachois E4P 7Y5 (506) 351-0904,ALINE BRIDEAU,6,"Infant, Preschool, School-age",Active
192,192,Garderie chez Christine,Home,St-Simon,Infant,Francophone Nord-Est,295  chemin   Lebouthillier   St-Simon E8P 1Z5 (506) 726-0315,CHRISTINE PINET,6,"Infant, Preschool, School-age",Active
193,193,Garderie chez Cyn,Home,Kedgwick,Infant,Francophone Nord-Ouest,114  chemin   Rang 7 Et 8   Kedgwick E8B 1W1 (506) 284-3280,CYNTHIA BERGERON,6,"Infant, Preschool, School-age",Active
194,194,Garderie Chez Dd,Home,Tracadie-Sheila,Infant,Francophone Nord-Est,1120  rue   Saulnier Ouest   Tracadie-Sheila E1X 2J4 (506) 395-5482,DELLA MCLAUGHLIN,6,"Infant, Preschool, School-age",Active
195,195,Garderie chez Gigi,Home,Saint-Irene,Infant,Francophone Nord-Est,1808  chemin   Saulnier Ouest   Saint-Irene E1X 2B1 (506) 395-4749,Ginette Lebreton,6,"Infant, Preschool, School-age",Active
196,196,Garderie chez Ginette,Home,Dunlop,Infant,Francophone Nord-Est,1741  Route   315   Dunlop E8K 2K7 (506) 226-0829,GINETTE VIENNEAU,6,"Infant, Preschool, School-age",Active
197,197,GARDERIE CHEZ ISA,Home,Dieppe,Infant,Francophone Sud,50  rue   Surette   Dieppe E1A 8H7 (506) 386-7197,ISABELLE BREAU,6,"Infant, Preschool, School-age",Active
198,198,Garderie chez Julie,Home,Kedgwick,Infant,Francophone Nord-Ouest,7692  Route   17   Kedgwick E8B 1W5 (506) 284-0238,JULIE THIBAULT,6,"Infant, Preschool, School-age",Active
199,199,GARDERIE CHEZ KRI KRI,Full-time Centre,Grande-Digue,Preschool,Francophone Sud,14  rue   Dominique   Grande-Digue E4R 0B9 (506) 531-0880,GARDERIE CHEZ KRI KRI INC.,20,"Preschool, School-age",Active
200,200,GARDERIE CHEZ LISE,Part-time Centre,Dieppe,School-age,Francophone Sud,23  croissant   Murielle   Dieppe E1A 7R3 (506) 382-6845,Lise LeBlanc,15,School-age,Active
201,201,GARDERIE CHEZ NADI,Home,Dieppe,Infant,Francophone Sud,55  Promenade   Madawaska   Dieppe E1A 5C8 (506) 229-2265,NADIA BRIDEAU,6,"Infant, Preschool, School-age",Active
202,202,Garderie chez Nadine,Home,Edmundston,Infant,Francophone Nord-Ouest,845  chemin   Canada   Edmundston E3V 3X1 (506) 737-8425,NADINE PERREAULT,6,"Infant, Preschool, School-age",Active
203,203,Garderie chez Nini,Home,Saint-Quentin,Infant,Francophone Nord-Ouest,6395  Route   17   Saint-Quentin E8A 2J8 (506) 504-0057,JOANIE LEPAGE,6,"Infant, Preschool, School-age",Active
204,204,Garderie chez Sabrina,Full-time Centre,Sainte-Anne-de-Madawaska,Infant,Francophone Nord-Ouest,190  rue   Principale   Sainte-Anne-de-Madawaska E7E 1B8 (506) 445-1180,SABRINA DAMBOISE,21,"Infant, Preschool, School-age",Active
205,205,GARDERIE CHEZ SMARTIES,Home,Grand-Barachois,Infant,Francophone Sud,2175  Route   133   Grand-Barachois E4P 8E8 (506) 874-8857,NADIA BOUDREAU,6,"Infant, Preschool, School-age",Active
206,206,Garderie Chez Steph,Home,Caraquet,Infant,Francophone Nord-Est,267  rue   Paquet   Caraquet E1W 1A4 (506) 727-0965,STEPHANIE DUGUAY,6,"Infant, Preschool, School-age",Active
207,207,GARDERIE CHEZ SYLVIE,Home,Dieppe,Infant,Francophone Sud,366  rue   Beaumont   Dieppe E1A 1A8 (506) 384-7369,SYLVIE LEBLANC,6,"Infant, Preschool, School-age",Active
208,208,Garderie chez Tante Rosi,Full-time Centre,Petite-Lamque,Infant,Francophone Nord-Est,5  chemin   Gauvin   Petite-Lamque E8T 2M9 (506) 344-5655,GARDERIE CHEZ TANTE ROSI LTEE,59,"Infant, Preschool, School-age",Active
209,209,Garderie chez Tetelle,Full-time Centre,Haut-Lamque,Preschool,Francophone Nord-Est,151  chemin   Haut-Lamque   Haut-Lamque E8T 3M8 (506) 344-5577,CHRISTELLE NOEL,20,"Preschool, School-age",Active
210,210,Garderie Communautaire Les Schtroumpfs Inc,Full-time Centre,Shippagan,Infant,Francophone Nord-Est,203  avenue   Loudun   Shippagan E8S 1R6 (506) 336-4538,Garderie Communautaire Les Schtroumpfs Inc.,49,"Infant, Preschool, School-age",Active
211,211,Garderie Cooprative d'Allardville,Full-time Centre,Allardville,Preschool,Francophone Nord-Est,4572  Route   134   Allardville E8L 1E4 (506) 725-2072,GARDERIE COOPRATIVE D'ALLARDVILLE LTE,45,"Preschool, School-age",Active
212,212,Garderie Cooprative de Rogersville,Part-time Centre,Rogersville,School-age,Francophone Sud,2 65  rue   De L'cole   Rogersville E4Y 1V4 (506) 623-8069,GARDERIE COOPRATIVE DE ROGERSVILLE LTE,49,School-age,Active
213,213,Garderie Cooprative de Rogersville II,Full-time Centre,Rogersville,Preschool,Francophone Sud,2 50  rue   De L'cole   Rogersville E4Y 1V7 (506) 623-8069,GARDERIE COOPRATIVE DE ROGERSVILLE LTE,30,Preschool,Active
214,214,Garderie Coucou,Home,Lamque,Infant,Francophone Nord-Est,273  rue   Du Pecheur Nord   Lamque E8T 1K9 (506) 344-2232,AMELIE DUGUAY,6,"Infant, Preschool, School-age",Active
215,215,Garderie Dandi,Part-time Centre,Moncton,School-age,Francophone Sud,46  rue   Upton   Moncton E1E 3Z1 (506) 874-0656,DANIEL BABINEAU,60,School-age,Active
216,216,Garderie de l'imaginaire,Home,Saint-Basile,Infant,Francophone Nord-Ouest,1520  rue   Principale   Saint-Basile E7C 1M8 (506) 353-0650,MLANIE FRASER,6,"Infant, Preschool, School-age",Active
217,217,Garderie de mon enfance,Home,Eel River Crossing,Infant,Francophone Nord-Est,67  rue   De L'Anse   Eel River Crossing E8E 1P9 (506) 686-3207,JOSE LAVALLE,6,"Infant, Preschool, School-age",Active
218,218,Garderie des Apprentis-Sages,Full-time Centre,Campbellton,Infant,Francophone Nord-Est,8  Street   Boucher   Campbellton E3N 2P1 (506) 790-5596,Jennifer Lagac,24,"Infant, Preschool, School-age",Active
219,219,Garderie des Grands Amis,Full-time Centre,Dundee,Preschool,Francophone Nord-Est,172  Route   280   Dundee E8E 1Y5 (506) 826-9212,Yvette Maltais,16,Preschool,Active
220,220,Garderie des Petits Pcheurs,Full-time Centre,Cap-Pel,Infant,Francophone Sud,2474  chemin   Acadie   Cap-Pel E4N 1C9 (506) 871-5888,La Garderie des Petits Pcheurs Inc.,44,"Infant, Preschool, School-age",Active
221,221,Garderie des P'tits Amis,Full-time Centre,Edmundston,Infant,Francophone Nord-Ouest,27  avenue   Laboissonniere   Edmundston E3V 3S7 (506) 739-9062,CAROL LEVESQUE,51,"Infant, Preschool, School-age",Active
222,222,Garderie des P'tits Amis 1,Full-time Centre,Edmundston,Infant,Francophone Nord-Ouest,27  avenue   Laboissonniere   Edmundston E3V 3S7,CAROL LEVESQUE,44,"Infant, Preschool, School-age",Active
223,223,Garderie des P'tits Marins,Full-time Centre,Grand-Barachois,Infant,Francophone Sud,12  chemin   Job   Grand-Barachois E4P 7P7 (506) 532-5768,Garderie des P'tits Marins LTE,60,"Infant, Preschool, School-age",Active
224,224,GARDERIE DES P'TITS MARINS 2,Full-time Centre,Grand-Barachois,Infant,Francophone Sud,12  chemin   Job   Grand-Barachois E4P 7P7 (506) 532-5768,Garderie des P'tits Marins LTE,30,"Infant, Preschool",Active
225,225,GARDERIE DES P'TITS MARINS 3,Part-time Centre,Grand-Barachois,Preschool,Francophone Sud,12  chemin   Job   Grand-Barachois E4P 7P7 (506) 532-5768,Garderie des P'tits Marins LTE,45,"Preschool, School-age",Active
226,226,GARDERIE DES P'TITS MOLLUSQUES,Full-time Centre,Bouctouche,Infant,Francophone Sud,78  rue   Mclaughlin   Bouctouche E4S 3R2 (506) 743-5433,Garderie des P'tits Mollusques Inc.,39,"Infant, Preschool",Active
227,227,GARDERIE DES P'TITS MOLLUSQUES 2,Part-time Centre,Bouctouche,School-age,Francophone Sud,26  rue   du Parc   Bouctouche E4S 3C5 (506) 743-5433,Garderie des P'tits Mollusques Inc.,34,School-age,Active
228,228,Garderie des P'tits Mollusques 3,Full-time Centre,Sainte-Marie-de-Kent,Infant,Francophone Sud,2114  route   515   Sainte-Marie-de-Kent E4S 2E1 (506) 744-0378,Garderie des P'tits Mollusques inc.,46,"Infant, Preschool, School-age",Active
229,229,Garderie Doux Clins,Home,Balmoral,Infant,Francophone Nord-Est,43  Street   Lepage   Balmoral E8E 1J1 (506) 826-1902,Louisa Savoie,6,"Infant, Preschool, School-age",Active
230,230,Garderie Dragon Day Care,Part-time Centre,Atholville,School-age,Francophone Nord-Est,105  rue   Notre Dame   Atholville E3N 4T1 (506) 759-4488,MAXTALI ENTERPRISES INC.,60,School-age,Active
231,231,Garderie du Bonheur,Full-time Centre,Saint-Franois-de-Madawaska,Preschool,Francophone Nord-Ouest,13  rue   Bellevue   Saint-Franois-de-Madawaska E7A 1A4 (506) 739-3994,Nathalie Caron,60,"Preschool, School-age",Active
232,232,Garderie du Domaine 2 Inc.,Full-time Centre,Edmundston,Preschool,Francophone Nord-Ouest,100  avenue   Fraser   Edmundston E3V 1Z8 (506) 735-1619,GARDERIE DU DOMAINE INC.,35,"Preschool, School-age",Active
233,233,Garderie du Domaine Inc.,Full-time Centre,Edmundston,Infant,Francophone Nord-Ouest,100  avenue   Fraser   Edmundston E3V 1Z8 (506) 735-1619,GARDERIE DU DOMAINE INC.,56,"Infant, Preschool",Active
234,234,Garderie du Parc,Home,Caraquet,Infant,Francophone Nord-Est,44  rue   Du Parc   Caraquet E1W 1A7 (506) 727-3397,LIETTE MCLAUGHLIN RAHMOUNE,6,"Infant, Preschool, School-age",Active
235,235,Garderie cole de la Petite Enfance 2,Full-time Centre,Tracadie-Sheila,Infant,Francophone Nord-Est,4138  rue   Principale   Tracadie-Sheila E1X 1B8 (506) 395-4013,678666 NB LTE,60,"Infant, Preschool, School-age",Active
236,236,Garderie Enchante,Full-time Centre,Shediac,Preschool,Francophone Sud,100  rue   Aurle Cormier   Shediac E4P 9B9 (506) 533-9822,Sonia O'Brien,14,"Preschool, School-age",Active
237,237,Garderie Familiale Petit  Petit,Home,Shippagan,Infant,Francophone Nord-Est,146  rue   2e   Shippagan E8S 1A8 (506) 336-1102,MYLNE CHIASSON,6,"Infant, Preschool, School-age",On Hold
238,238,Garderie Happy Feet Daycare,Full-time Centre,Grand-Sault/Grand Falls,Infant,Francophone Nord-Ouest,338  boulevard   Broadway   Grand-Sault/Grand Falls E3Z 2K4 (506) 475-9309,Happy Feet Daycare Inc.,60,"Infant, Preschool, School-age",Active
239,239,GARDERIE HAPPY LITTLE FACES DAY CARE,Full-time Centre,Beresford,Infant,Anglophone North,1119  Principale   rue Beresford E8K 1E4 (506) 546-5401,GARDERIE HAPPY LITTLE FACES DAY CARE INC,30,"Infant, Preschool",Active
240,240,GARDERIE INDIGO,Home,Moncton,School-age,Francophone Sud,11  rue   Highlandview   Moncton E1A 2K9 (506) 383-5078,LUCIE KELLY,9,School-age,Active
241,241,Garderie Jade,Full-time Centre,Pointe-Brle,Infant,Francophone Nord-Est,225  rue   Pointe-Brule   Pointe-Brle E8S 2V9 (506) 601-4455,GARDERIE JADE INC.,43,"Infant, Preschool, School-age",Active
242,242,Garderie Jeunes Amigos Inc.,Part-time Centre,Memramcook,School-age,Francophone Sud,83  Road   Old Shediac   Memramcook E4K 1V1 (506) 377-5437,Garderie Jeunes Amigos Inc.,15,School-age,Active
243,243,GARDERIE LA CARTINE DAYCARE,Full-time Centre,Dieppe,Infant,Francophone Sud,1766  rue   Amirault   Dieppe E1A 7K2 (506) 384-2278,GARDERIE LA CARTINE DAYCARE INC,60,"Infant, Preschool, School-age",Active
244,244,GARDERIE LA CARTINE DAYCARE 2,Full-time Centre,Dieppe,Preschool,Francophone Sud,1766  rue   Amirault   Dieppe E1A 7K2 (506) 384-2278,GARDERIE LA CARTINE DAYCARE INC,57,"Preschool, School-age",Active
245,245,GARDERIE LA COCCINELLE,Home,Dieppe,Infant,Francophone Sud,50  rue   Gilbert-Finn   Dieppe E1A 8L4 (506) 899-0673,SHAREN COMEAU,6,"Infant, Preschool, School-age",Active
246,246,Garderie La Dcouverte Centre de dveloppement de l'enfant,Full-time Centre,Tracadie-Sheila,Preschool,Francophone Nord-Est,3120  rue   Principale   Tracadie-Sheila E1X 1A2 (506) 395-5420,CENTRE DE DVELOPPEMENT DE L'ENFANT INC.,60,Preschool,Active
247,247,Garderie La Floraison,Full-time Centre,Moncton,Preschool,Francophone Sud,140  Street   Botsford   Moncton E1C 4X5 (506) 855-5987,Garderie La Floraison Inc.,57,Preschool,Active
248,248,Garderie La Girouette,Home,Saint-Isidore,Infant,Francophone Nord-Est,4  rue   Beaulieu   Saint-Isidore E8M 1T3 (506) 358-1183,Julie Morais-Chiasson,6,"Infant, Preschool, School-age",Active
249,249,Garderie la Licorne,Home,Caraquet,Infant,Francophone Nord-Est,132  rue   Du Portage   Caraquet E1W 1A8 (506) 727-7150,GARDERIE LA LICORNE,6,"Infant, Preschool, School-age",Active
250,250,Garderie la Marelle Daycare,Full-time Centre,Dieppe,Preschool,Francophone Sud,1060  chemin   Melanson   Dieppe E1A 7P2 (506) 384-0707,Garderie la Marelle Daycare Inc.,46,"Preschool, School-age",Active
