,Name,Community,Contact Name,Contact,Street Address,Operating Grant,postal_code,phone,mailing_address,hours_operation,days_operation,months_operation
94,Milestones Early Learning Centre - Kenmount Terrace,St. John's,Sara Shears,kenmount@milestones.ca(709) 722-9507,75 Kiwanis Street,Yes,A1N 1L1,(709) 368-0133,"7 Gardiner Place St. John's, NL A1A 5C3",6:30 a.m. - 8:15 p.m,Monday - Sunday,January - December
95,Milestones Early Learning Centre - Park Avenue A,Mount Pearl,Barbara Cooper/Elaine Burke,Visit Centre Website(709) 368-0133,228 Park Avenue,Yes,A1K 1A3,(709) 437-7237,"13 Quarry Road Torbay, NL A1K 1A3",7:30 a.m. - 6:00 p.m.,Monday - Friday,January - December
96,Milestones Early Learning Centre - Ricketts Road A,St. John's,Marja Stewart/Susan White,Visit Centre Websitericketts@milestoneselc.ca(709) 739-7148,3 Ricketts Road,Yes,A1C 5S7,(709) 864-4728,"Burton's Pond Rd. Memorial University St. John's, NL A1C 5S7",7:45 a.m. - 6:00 p.m.,Monday - Friday,January - December
97,Milestones Early Learning Centre - Torbay Road,St. John's,Sharon Earle,Visit Centre Websitetorbay@milestoneselc.ca(709) 722-9245,555 Torbay Road,Yes,A1E 1V1,(709) 579-9111,"P. O. Box 21291 St. John's, NL  A1A 5G6",2:00 p.m. - 6:00 p.m.,Monday - Friday,September - June
98,Milestones Early Learning Centre - Watts Pond A,Torbay,Amanda Bishop,wattspond@milestoneselc.ca(709) 437-6234,5A Watts Pond Road,Yes,A1N 5B5,(709) 747-2777,"5 Cunard Place Mount Pearl, NL A1N 5B5",7:30 a.m. - 5:30 p.m.,Monday - Friday,January - December
99,Milestones Early Learning Centre - Watts Pond B,Torbay,Megan Martin,Wattspond@milestones.ca(709) 437-2530,5B Watts Pond Road,Yes,A1L 2P7,(709) 237-7447,"25 Mundy Pond Road St. John's, NL  A1E 5C3",7:30 a.m. - 6:00 p.m.,Monday - Friday,January - December
100,Milestones Early Learning Centre Quigleys Lane,Torbay,Janna King,quigleys@milestoneselc.ca(709) 437-6769,2 Doyles & Quigleys Lane,Yes,A1Y 1A9,(709) 596-0885,"81 LeMarchant Street Carbonear, NL  A1Y 1A9",7:30 a.m. - 5:00 p.m.,Monday - Friday,January - December
101,New Beginnings Daycare,Marystown,Jill Antle,newbeginningsdaycare@live.com(709) 279-1348,Crescent Boulevard,No,A1A 5K8,(709) 722-6794,"25 Mundy Pond Road St. John's, NL A1E 5C3",7:30 a.m. - 5:30 p.m.,Monday - Friday,January - December
102,New Dimensions Child Care Center,St. John's,Crystal Yoga,newdimensionschildcare@gmail.ca(709) 745-3692,10 Canada Drive,Yes,A1A 5C3,(709) 722-9346,"7 Gardiner Place St. John's, NL A1A 5C3",6:30 a.m.- 8:15 p.m.,Monday - Sunday,January - December
103,New Fun Land I,Glenwood,Christine Reid,Visit Centre Websitenewfunlandoperator10@gmail.com(709) 679-5464,29 Maple Avenue,Yes,A1N 2C4,(709) 764-2961,"P.O. Box 21291 St. John's, NL A1A 5G6",2:00 p.m. - 6:00 p.m.,Monday - Friday,September - June
104,New Fun Land II,Springdale,Kaitlyn Langdon,Visit Centre Websitenewfunlandoperator10@gmail.com(709) 673-4949,83 Little Bay Road,Yes,A1A 6N4,(709) 733-7316,"6 St. Clare Avenue St. John's, NL A1C 6N4",8:15 a.m. - 12:15 p.m.,Monday - Friday,January - December
105,New Fun Land III,Lewisporte,Mary Watkins,Visit Centre Websitenewfunlandoperator03@gmail.com(709) 535-3131,2 Smallwood Drive,Yes,A1E 5Z5,(709) 364-6118,"64 Sorrell Drive St. John's, NL  A1B 4S4",7:00 a.m. - 6:00 p.m.,Monday - Friday,January - December
106,New Fun Land IV,Gander,Joni Anstey,Visit Centre Websitenewfunlandoperator10@gmail.com(709) 651-3737,100 Roe Avenue,Yes,A1N 1L9,(709) 368-0224,"64 Sorrell Drive St. John's, NL  A1B 4S4",7:00 a.m. - 6:00 p.m.,Monday - Friday,January - December
107,New Fun Land IX,Churchill Falls,Sherry Cull,Visit Centre Websitenewfundlandoperator09@gmail.com(709) 925-3394,3 Ressegieu Drive,No,A1E 2Z9,(709) 739-5496,"25 Mundy Pond Road St. John's, NL  A1E 5C3",7:30 a.m. - 5:30 p.m.,Monday - Friday,January - December
108,New Fun Land V,Gander,Michelle Ranger,Visit Centre Websitenewfunlandoperator10@gmail.com(709) 651-7373,106 Roe Avenue,Yes,A1V 2N1,(709) 651-3737,"P.O. Box 70 Glenwood, NL  A0G 2K0",7:30 a.m. - 5:30 p.m.,Monday - Friday,January - December
109,New Fun Land VI,Gander,Tracie Edison,Visit Centre Websitenewfunlandoperator10@gmail.com(709) 651-3377,106B Roe Avenue,Yes,A0B 2P0,(709) 582-3322,"P.O. Box 377 New Harbour, NL  A0B 2P0",7:30 a.m. - 5:30 p.m.,Monday - Friday,January - December
110,New Fun Land XII,Gander,Alisha Verge,Visit Centre Websitenewfunlandoperator10@gmail.com(709) 651-7070,18 Rowsell Blvd,Yes,A2A 1V8,(709) 489-4472,"13B Price's Avenue Grand Falls-Windsor, NL  A2B 1C8",2:00 p.m. - 6:00 p.m.,Monday - Friday,January - December
111,North Shore Care & Share Daycare Centre,Irishtown-Summerside,Lorraine Jenkins,careandsharedaycare@hotmail.com(709) 783-3298,3 Wells Lane,Yes, A0A 1G0,(709) 786-3400,"P.O. Box 370 Bay Roberts, NL A0A 1G0",7:30 a.m. - 4:00 p.m.,Monday - Friday,September - June
112,Nursery Time Preschool and Day Care Centre,St. John's,Joanne Kavanagh,nurserytime18@outlook.com(709) 722-3311,205 Logy Bay Road,No,A0G 4M0,(709) 884-1800,"13 Price's Avenue Grand Falls-Windsor, NL  A2B 1C9",7:30 a.m. - 6:00 p.m.,Monday - Friday,September - June
113,Oak Trees and Acorns Child Care Centre,St. John's,Margaret Morgan,oaktrees@chancellorpark.ca(709) 724-7227,270 Portugal Cove Road,No,A1X 7W2,(709) 834-2114,"25 Sunrise Avenue  Conception Bay South, NL  A1X 7W2",7:30 a.m. - 5:30 p.m.,Monday - Friday,January - December
114,Panda Bear Daycare,St. John's,Gwen Tibbo,pandabearlittleunivertsity@gmail.com(709) 726-5222,44 Linegar Avenue,Yes,A1A 5C3,(709) 437-2530,5B Watts Pond Road,7:00 a.m. - 6:00 p.m.,Monday - Friday,January - December
115,Paradise Daycare and Preschool,Paradise,Jennifer Viguers,paradisedaycareltd@gmail.com(709) 782-0996,169 Paradise Road,Yes,A1A 5C3,(709) 722-9245,"7 Gardiner Place St. John's, NL A1A 5C3",6:30 a.m.- 8:15 p.m.,Monday - Sunday,January - December
116,Peter Pan Preschool II,Gander,Samantha Linfield,Visit Centre Websitepeterpan@nl.rogers.com(709) 256-8593,4 Gray Avenue,Yes,A1A 4Z7,(709) 754-2962,"P.O. Box 21291  St. John's, NL  A1A 5G6",2:00 p.m. - 6:00 p.m.,Monday - Friday,September - June
117,Pigutsavik Centre,NAIN,Melissa Mercer,lorraine.dicker@nunatsiavut.com(709) 922-1330,515 Paungask Place,Yes,A1E 5C3,(709) 739-5496,"25 Mundy Pond Road St. John's, NL  A1E 5C3",7:30 a.m. - 5:30 p.m.,Monday - Friday,January - December
118,Pitter Patter Daycare 2,Conception Bay South,Chelsey Rogers/Krista Ryan,(709) 834-7802,241 Conception Bay Highway,Yes,A2H 2R3,(709) 637-2121,"P. O. Box 366 25 Park Drive Corner Brook, NL A2H 4T4",7:30 a.m. - 5:30 p.m.,Monday - Friday,January - December
119,Pitter Patter Daycare IV,St. John's,Roxanne Sutton,pitterpatter2016@hotmail.com(709) 753-2220,500 Columbus Drive,Yes,A0A 1G0,(709) 786-0484,"P.O. Box 1277 Bay Roberts, NL  A0A 1G0",7:45 a.m. - 5:00 p.m.,Monday - Friday,January - December
120,Play 'n' Learn Preschool,Bay Roberts,Elizabeth Guinchard,playnlearnpreschool@gmail.com(709) 786-0484,23 Cleary's Subdivision,No,A0A 3L0,(709) 232-6131,"Site 1, Box 7 Pouch Cove, NL A0A 3L0",7:00 a.m. - 6:00 p.m.,Monday - Friday,January - December
121,"Play, Learn & Grow Child Care Centre",Grand Falls-Windsor,Wanda Cave,wanda-tom@live.ca(709) 489-7529,33A Circular Road,Yes,A1E 1Z8,(709) 579-9053,"1 Cornwall Crescent St. John's, NL  A1E 1Z4",8:00 a.m. - 5:30 p.m.,Monday - Friday,January - December
122,Precious People's Playland,St. John's,Florence Conway,preciouspeoplesplayland@gmail.com(709) 747-7529,644 Topsail Road,Yes,A1L 1W6,(709) 782-4480,"2 Kinkora Street Paradise, NL  A1L 1X9",7:30 a.m. - 5:30 p.m.,Monday - Friday,January - December
123,Precious People's School Age Program,St. John's,Nancy Whalen,preciouspeoplesplayland@gmail.com(709) 747-2132,644 Topsail Road,No,A1L 1M1,(709) 743-7678,"20 Coady's Rd. Portugal Cove-St. Philip's, NL A1N 1L1",2:00 p.m. - 6:00 p.m.,Monday - Friday,September - June
124,Precious Times Children's Centre,Paradise,Brenda Beazley-Corcoran,brendacorcoran@bellaliant.net(709) 782-3770,1 Osprey Place,No,A1W 5R9,(709) 834-6400,"2501 Topsail Road Conception Bay South, NL A1W 5R9 ",7:30 a.m. - 5:30 p.m.,Monday - Friday,January - December
125,Priceless Treasures Daycare,Paradise,Sandra Bushey,ptkids@bellaliant.net(709) 781-2345,73 St. Thomas Line,No,A1E 4W4,(709) 747-6701,"25 Mundy Pond Road St. John's, NL  A1E 5C3",7:30 a.m. - 6:00 p.m.,Monday - Friday,January - December
126,Pumped Kidz,Happy Valley-Goose Bay,Tara Gear,pumpedkidzasp@gmail.com(709) 896-7779,9A Cabot Crescent,Yes,A2N 1Y5,(709) 643-4206,21 Colonial Avenue,8:00 a.m. - 5:30 p.m.,Monday - Friday,January - December
127,Pumpkin House Day Care,Happy Valley-Goose Bay,Eileen Rideout,pumpkinhouse@nf.aibn.com(709) 896-8239,60 Churchill Street,Yes,A2H 7J5,(709) 639-9676,"P. O. Box 836 Corner Brook, NL  A2H 6H6",2:00 p.m. -  6:30 p.m.,Monday - Friday,September - June
128,Rainbow II,St. John's,Debbie Collins,Visit Centre Websiterainbow.hallett@gmail.com(709) 754-3000,17 Hallett Crescent,Yes,A1Y 1A4,(709) 596-3957,58 High Road South,1:30 p.m. - 5:30 p.m.,Monday - Friday,January - December
129,Rainbow III,Mount Pearl,Renee Reid,Visit Centre Websiterainbow.hallett@gmail.com(709) 368-0224,188 Park Avenue,Yes,A1W 2K1,(709) 834-3534,"P.O. Box 13078 Conception Bay South, NL A1W 2K1",7:30 a.m. - 6:30 p.m.,Monday - Friday,January - December
130,Rainbow IV,St. John's,Linda Nolan,(709) 754-3000,161 Hamlyn Road,Yes,A2A 2P8,(709) 489-1919,"17 Hardy Avenue Grand Falls-Windsor, NL A2A 2P8",7:30 a.m. - 6:00 p.m.,Monday - Friday,January - December
131,Rainbow IX,St. John's,Shelby Richards,rainbow.hallett@gmail.com(709) 364-6118,161 Hamlyn Road,Yes,A0N 2H0,(709) 886-2590,"P. O. Box 421 Stephenville, NL A2N 2Z5",9:00 a.m. - 11:30 a.m. ,"Tuesday,Wednesday,Thursday",September - June
132,Rainbow V,Paradise,Trista Wells,Visit Centre Websiterainbow.hallett@gmail.com(709) 782-7007,11 Elizabeth Drive,Yes,A1L 2P9,(709) 781-2345,"73 St. Thomas Line Paradise, NL  A1L 2P9",7:30 a.m. - 5:45 p.m.,Monday - Friday,January - December
133,Rainbow VI,Conception Bay South,Susan Saunders,Visit Centre Websiterainbow.hallet@gmail.com(709) 834-9161,1 Tampa Drive,Yes,A0H 1E0,(709) 257-3996,"P.O. Box 609 Botwood, NL  A0H 1E0",8:30 a.m. - 12:00 p.m. / 1:00 - 4:30 p.m.,Monday - Friday,January - December
134,Rainbow VIII,St. John's,Mary Hewitt,Visit Centre Websiterainbow.hallett@gmail.com(709) 754-3000,17 Hallett Crescent,Yes,A1X 7N6,(709) 834-5006,"69 Foxtrap Access Road Conception Bay South, NL  A1X 7N6",7:00 a.m. - 6:00 p.m.,Monday - Friday,January - December
135,Reach for the Stars Daycare,South River,Janice Batten,reachforthestarsdaycare@hotmail.com(709) 786-7099,172 Conception Bay Highway,Yes,A0G 2K0,(709) 679-5464,"P.O. Box 70 Glenwood, NL A0G 2K0",7:00 a.m. - 6:00 p.m.,Monday - Friday,January - December
136,Riddles & Rhymes Daycare Centre,St. Anthony,Jennifer Samms,riddlesandrhymes@hotmail.com(709) 454-2233,83-93 East Street,Yes,A1A 4Z7,(709) 552-2405,55 Airport Heights Drive,7:30 a.m. - 6:00 p.m.,Monday - Friday,January - December
137,Robin's Nest Child Care Centre,Happy Valley-Goose Bay,Isla Strachan,robinsnestdaycaremfrc@outlook.com(709) 896-6900,"564 Rivers Road, 5 Wing Goose Bay",Yes,A1G 1E7,(709) 364-1872,"3  Gilham Crescent  Mount Pearl, NL A1N 3C6",7:30 a.m. - 5:30 p.m.,Monday - Friday,January - December
138,Rockcliffe Children's Centre,St. John's,Jennifer Jarvis,rockcliffechildrenscentre@outlook.com(709) 726-7625,235 Blackmarsh Road,No,A1X 6G7,(709) 744-3003,"1043 CBS Highway Conception Bay South, NL A1X 6G7",7:00 a.m. - 6:00 p.m.,Monday - Friday,January - December
139,Special Additions Child Care Centre,Bay Roberts,Rebecca O'Keefe,(709) 786-1331,8-10 Gullys Road,No,A0K 4T0,(709) 454-2233,"P.O. Box 121 St. Anthony, NL A0K 4T0",7:30 a.m. - 5:15 p.m.,Monday - Friday,January - December
140,St. Edward's Afterschool,Conception Bay South,Dawn Butt,merrycaredaycare@yahoo.ca(709) 834-4548,54 Longshore Road,Yes,A1B 4N6,(709) 724-7227,"270 Portugal Cove Rd.  St. John's, NL  A1B 4N6",7:30 a.m. - 5:30 p.m.,Monday - Friday,January - December
141,Stay and Play,Conception Bay South,April Hamlyn,(709) 834-5006,69 Foxtrap Access Road,Yes,A0A 1X0,(709) 786-1331,"P.O. Box 224 Coley's Point, NL  A0A 1X0",8:30 a.m. - 5:30 p.m.,Monday - Friday,January - December
142,Stephenville High School Infant Centre,Stephenville,Yvonne Francis-Wadden,francisynj@gmail.com(709) 643-9672,1 Bruce Boulevard,Yes,A1X 3B1,(709) 834-4548,"14  Craigs Lane Conception Bay South, NL  A1X 3B1",7:30 a.m. - 6:00 p.m.,Monday - Friday,January - December
143,Stepping Stones Day Care (I),Corner Brook,Kelly Carew-Piercey,lorenzoreid@nf.aibn.com(709) 634-5411,304 O'Connell Drive,Yes,A1C 5S7,(709) 864-4728,"Burton's Pond Rd. Memorial University St. John's, NL A1C 5S7",7:45 a.m. - 6:00 p.m.,Monday - Friday,January - December
144,Stepping Stones Day Care (II),Corner Brook,Allison Gushue,lorenzoreid@nf.aibn.com(709) 634-5411,304 O'Connell Drive,Yes,A1L 0K9,(709) 782-2722,"7 Aragon Crescent Paradise, NL  A1L 3Z4",7:00 a.m. - 6:00 p.m.,Monday - Friday,January - December
145,Suguset TugikKuk Child Care Centre,Makkovik,Kerry Mitchell,kerry.mitchell@nunstsiavut.com(709) 923-2385,,Yes,A1A 5G6,(709) 754-2962,44 Bond Street,2:00 p.m. - 6:00 p.m.,Monday - Friday,January - December
146,The Children's Centre,St. John's,Katie O'Brien,katie@thechildrenscentre.com(709) 579-9053,80 Craigmiller Avenue,Yes,A0E 1K0,(709) 279-1348,"P.O. Box 398 Marystown, NL  A0E 1K0",7:30 a.m. - 5:30 p.m.,Monday - Friday,September - June
147,The Learning Lobby,Paradise,Catherine Strickland,catherinestrickland11@hotmail.com(709) 782-4480,2 Kinkora Street,No,A1C 1S2,(709) 753-2406,"3  Rodney Street St. John's, NL  A1B 3B3",7:30 a.m. - 5:30 p.m.,Monday - Friday,January - December
148,The Learning Tree Child Care,Torbay,Yvonne O'Brien,yvon_obrien@hotmail.com(709) 437-7237,13 Quarry Road,Yes,A1V 2N1,(709) 651-3377,"P.O. Box 70 Glenwood, NL  A0G 2K0",2:00 a.m. - 5:30 p.m.,Monday - Friday,January - December
149,The Right Start Afterschool Program,Conception Bay South,Lisa Lewis,rightstart25@gmail.com(709) 240-1292,21 Sunrise Avenue,Yes,A1N 1A2,(709) 368-4088,"3  Gilham Crescent  Mount Pearl, NL A1N 3C6",7:30 a.m. - 5:30 p.m.,Monday - Friday,January - December
150,The Right Start Child Care Centre,Conception Bay South,Lorraine Murphy,rightstart25@gmail.com(709) 834-2114,25 Sunrise Avenue,Yes,A1B 0S1,(709) 722-9507,75 Kiwanis Street,7:00 a.m. - 6:00 p.m.,Monday - Friday,January - December
151,Tiny Hands Child Care Centre,Grand Falls-Windsor,Tiffany Dillon,tinyhandsdaycare10@gmail.com(709) 489-6535,4 King Street,Yes,A1L 0R7,(709) 754-2962,"P.O. Box 21291  St. John's, NL  A1A 5G6",2:00 p.m. - 6:00 p.m. ,Monday - Friday,September - June
152,Toddle Inn Child Care Centre,New Harbour,Juanita Newhook,toddleinn1@gmail.com(709) 582-3322,11 Main Road,Yes,A1X 3H1,(709) 834-4548,"14  Craig's Lane Conception Bay South, NL  A1X 3B1",3:00 p.m. - 6:00 p.m.,Monday - Friday,September - June
153,Tot's Learning Centre,Paradise,Sheila Kelley,(709) 782-2722,23 Durango Drive,No,A2H 4A1,(709) 783-3298,3 Wells Lane,7:30 a.m. - 5:30 p.m.,Monday - Friday,January - December
154,Treehouse Daycare,St. John's,Amanda Singleton,april-coish@hotmail.com(709) 552-2405,55 Airport Heights Drive,No,A2H 7J5,(709) 639-9676,"P. O. Box 836 Corner Brook, NL  A2H 6H6",2:00 p.m. - 6:00 p.m.,Monday - Friday,September - June
155,Turtle Island Childcare Centre,St. John's,Debbie Ingram,dingram@sjnfc.com(709) 738-8467,97 Elizabeth Avenue,Yes,A1W 2K1,(709) 834-3534,"P.O. Box 13078 Conception Bay South, NL A1W 2K1",7:30 a.m. - 6:00 p.m.,Monday - Friday,January - December
156,Waterford Valley Infant Centre,St. John's,Patty Regular,(709) 745-6264,465 Topsail Road,Yes,A1V 2N1,(709) 256-8593,22 Grandy Avenue Gander NL A1V 1B4,7:00 a.m. - 6:00 p.m.,Monday - Friday,January - December
157,Way 2 Grow Child Care Centre,Baie Verte,Terri Lynn Jenkins,Way2growchildcarecenterOperator@hotmail.ca(709) 532-4519,5 Water Street,Yes,A1B 1S1,(709) 764-0986,"100 Elizabeth Avenue, Suite 114",7:45 a.m. - 5:30 p.m.,Monday - Friday,January - December
158,Wee Gems Daycare,Mount Pearl,April Bishop,gailbugden@nf.sympatico.ca(709) 368-1211,37 Yetman Drive,Yes,A1V 1R6,(709) 256-8193,"22 Grandy Avenue Gander, NL  A1V 1B4",7:00 a.m. - 6:00 p.m.,Monday - Friday,January - December
159,Wonder Years Preschool and Daycare #1,Holyrood,Charlotte Warford,wonder.years2018@gmail.com(709) 231-2372,2 Seabreeze Drive,Yes,A1L 2P7,(709) 237-7447,"25 Mundy Pond Road St. John's, NL  A1E 5C3",2:00 p.m. - 6:00 p.m.,Monday - Friday,September - June
160,Wonder Years Preschool and Daycare #2,Holyrood,Miranda Mugford,(709) 231-2373,2 Seabreeze Drive,Yes,A1N 5E5,(709) 368-0496,"1010  Topsail Rd. Mount Pearl, NL  A1N 5E5",7:30 a.m. - 5:30 p.m.,Monday - Friday,January - December
161,YMCA After School Program - C.C. Loughlin,Corner Brook,Carolyn Wheeler,Visit Centre Websiteamy.young@wnl.ymca.ca(709) 639-9676,1 Citadel Drive,Yes,A1A 5D6,(709) 739-7148,"7 Gardiner Place St. John's, NL A1A 5C3",6:15 a.m.- 8:15 p.m.,Monday - Sunday,January - December
162,YMCA After School Program - J.J. Curling,Corner Brook,Joy Short,Visit Centre Websiteamy.young@wnl.ymca.ca(709) 639-9676,50 Woodbine Avenue,Yes,A1V 2N1,(709) 651-7373,"P.O. Box 70 Glenwood, NL  A0G 2K0",7:30 a.m. - 6:30 p.m.,Monday - Friday,January - December
163,YMCA After School Program - Kinsmen Centre,Corner Brook,Caroline Newman,Visit Centre Websiteamy.young@wnl.ymca.ca(709) 639-9676,45 St. Marks Avenue,Yes,A1N 3A7,(709) 368-1211,"37 Yetman Drive  Mount Pearl, NL  A1N 3A7",7:30 a.m. - 5:30 p.m.,Monday - Friday,January - December
164,YMCA After School Program - Sacred Heart,Corner Brook,Joy Short,Visit Centre Websiteamyyoung.ymca@gmail.com(709) 639-9676,473 Curling Street,Yes,A2H 7J5,(709) 639-9676,"P. O. Box 836 Corner Brook, NL  A2H 6H6",1:30 p.m. - 5:30 p.m.,Monday - Friday,September - June
165,YMCA Afterschool Care Program,Grand Falls-Windsor,Tracy Jenkins,Visit Centre Websiteshirley.shea@ev.ymca.ca(709) 489-4472,18A St. Catherine Street,Yes,A1B 4C4,(709) 754-3000,"64 Sorrel Drive St. John's, NL  A1B 4S4",7:00 a.m. - 6:00 p.m.,Monday - Friday,January - December
166,YMCA Child Care Centre,St. John's,Lori-Ann Evans,Visit Centre Websiteolga.sullivan@nl.ymca.ca(709) 754-2961,35 Ridge Road,No,A2B 1J6,(709) 489-6535,"104 Goodyear Avenue Grand Falls-Windsor, NL  A2A 1J3",7:00 a.m. - 5:30 p.m.,Monday - Friday,January - December
167,YMCA Children's Learning Centre,Grand Falls-Windsor,Helen Downton,Visit Centre Websiteshirley.shea@ev.ymca.ca(709) 489-7413,13A Prices Avenue,Yes,A1L 2Y1,(709) 782-0996,"169 Paradise Rd.  Paradise, NL  A1L 2Y1",7:30 a.m. - 6:00 p.m.,Monday - Friday,January - December
168,YMCA Connections - Lunch and Afterschool Program,Grand Falls-Windsor,Michelle Cooke,Visit Centre Websiteshirley.shea@ev.ymca.ca(709) 489-9622,20 St. Catherine Street,Yes,A1S 1G6,(709) 364-3890,"P.O. Box 62  St. John's, NL A1S 1G3",7:30 a.m. - 5:30 p.m.,Monday - Friday,January - December
169,YMCA Connections 2,Grand Falls-Windsor,Jennifer Tulk,Visit Centre Websiteshirley.shea@ev.ymca.ca(709) 489-0800,20A St. Catherine Street,Yes,A0P 1C0,(709) 896-6900,"P.O. Box 69 STN C  734 Chatham Street Happy Valley-Goose Bay, NL  A0P 1C0",7:45 a.m. - 4:30 p.m.,Monday - Friday,January - December
170,YMCA Playing to Learn Preschool Kinsmen Centre,Corner Brook,Carolyn Wheeler,Visit Centre Websiteamyyoung.ymca@gmail.com(709) 639-9676,45 St. Marks Avenue,Yes,A2N 3M6,(709) 643-9672,"P.O Box 368 10 Wellington Corner Brook, NL  A2H 6G9",8:00 a.m. - 5:00 p.m.,Monday - Friday,September - June
171,YMCA School Age Child Care - Bishop Field Elementary,St. John's,Jody Evoy,olga.sullivan@nl.ymca.ca(709) 754-2962,44 Bond Street,Yes,A1A 3T7,(709) 722-3311,"205 Logy Bay Road  St. John's, NL  A1A 3T7",8:00 a.m. - 5:30 p.m.,Monday - Friday,January - December
172,YMCA School Age Child Care - Elizabeth Park Elemenatry,Paradise,Sean Evans,Visit Centre Websiteolga.sullivan@nl.ymca.ca(709) 754-2962,80 Ellesmere Avenue,Yes,A0G 4E0,(709) 629-3717,"13 Price's Avenue Grand Falls - Windsor, NL  A2B 1C8",7:30 a.m. - 5:30 p.m.,Monday - Friday,September - June
173,YMCA School Age Child Care - Holy Trinity Elementary,Torbay,Kaitlyn Ricks,Visit Centre Websiteolga.sullivan@nl.ymca.ca(709) 754-2961,10 Doyle's & Quigleys Lane,Yes,A1C 4C7,(709) 729-8830,"50 Parade Street St. John's, NL A1C 4C7",7:45 a.m. - 5:30 p.m.,Monday - Friday,January - December
174,YMCA School Age Child Care - Mary Queen of the World Parish,Mount Pearl,Winnie Cowan,Visit Centre Websiteolga.sullivan@nl.ymca.ca(709) 764-2961,775 Topsail Road,Yes,A0H 1P0,(709) 885-2226,"33-37 Elliott Drive,  Harbour Breton, NL A0H 1P0 ",8:00 a.m. - 4:30 p.m.,Monday - Friday,January - December
175,YMCA School Age Child Care - Octagon Pond,Paradise,Sarah Gerbig,Visit Centre Websiteolga.sullivan@nl.ymca.ca(709) 754-2961,11 Sgt Donald Lucas Drive,Yes,A1E 4G9,(709) 745-3692,"Suite 464 50 Hamlyn Road Plaza St. John's, NL A1E 5X7",7:30 a.m.- 5:30 p.m.,Monday - Friday,January - December
176,YMCA School Age Child Care - Paradise Elementary,Paradise,Cole Thomas,Visit Centre Website(709) 754-2962,60 Karwood Drive,Yes,A2H 6V9,(709) 634-5411,"304 O'Connell Drive Corner Brook, NL  A2H 6B9",7:30 a.m. - 5:30 p.m.,Monday - Friday,January - December
177,YMCA School Age Child Care - Roncalli Elementary,St. John's,Chelsea Penney,Visit Centre Website(709) 754-2962,130 Airport Heights Drive,Yes,A1M 2R3,(709) 895-3124,"1712A Portugal Cove Rd.  Portugal Cove - St. Phillips, NL A1M 2R3",7:30 a.m. - 5:30 p.m.,Monday - Friday,January - December
178,YMCA School Age Child Care - St.Teresa's School,St. John's,Wanda Maidment,Visit Centre Websiteolga.sullivan@nl.ymca.ca(709) 579-9111,110 Mundy Pond Road,Yes,A5A 4B3,(709) 433-3150,"276 Balbo Drive Clarenville, NL A5A 4B3",7:30 a.m. - 5:30 p.m.,Monday - Friday,January - December
179,YMCA School Age Child Care - Vanier Elementary,St. John's,Yvonne Frecker,Visit Centre Website(709) 754-2962,75 Ennis Avenue,Yes,A2N 2Z6,(709) 896-6350,"P.O. Box 1720, Stn. B 219 Hamilton River Road Happy Valley-Goose Bay, NL A0P 1E0",7:45 a.m. - 3:45 p.m.,Monday - Friday,September - June
180,YMCA School Age Child Care St. Peters Elementary,Mount Pearl,Cathy Williams,olga.sullivan@nl.ymca.ca(709) 754-2962,106 Ashford Drive,Yes,A1E 1C1,(709) 764-2046,"36 King's Bridge Road St. John's, NL  A1C 3K6",8:30 a.m. - 3:15 p.m.,Monday - Friday,January - December
181,YMCA Summerford Early Learning & Child Care,Summerford,Nola Price,Visit Centre Websiteshirley.shea@ev.ymca.ca(709) 629-3717,150 Road to the Isles,Yes,A2H 7J5,(709) 639-9676,"P. O. Box 836 Corner Brook, NL  A2H 6H6",2:30 p.m. - 5:30 p.m.,Monday - Friday,September - June
182,YMCA Twillingate Early Learning & Child Care Centre,Twillingate,Sue Ann Shea,Visit Centre Websiteshirley.shea@ev.ymca.ca(709) 884-1800,2 Hugh Lane,Yes,A1C 3K6,(709) 764-2046,"36 King's Bridge Road St. John's, NL  A1C 3K6",8:00 am - 12:00 pm,Monday - Friday,September - June
183,YMCA Wee Care Center,Peterview,Karen Gunn,Visit Centre Websiteshirley.shea@ev.ymca.ca(709) 257-3631,8 Abbott Street,Yes,A1N 5B6,(709) 747-8345,"7 Gardiner Place St. John's, NL A1A 5C3",6:30 a.m.- 8:15 p.m.,Monday - Sunday,January - September
184,Younger Years Daycare and Preschool,St. John's,Cecilia McGruer,ceciliamcgruer@live.ca(709) 753-3334,24 Hunts Lane,Yes,A1M 2R2,(709) 834-2226,834 Conception Bay Highway,7:00 a.m. - 6:00 p.m.,Monday - Friday,January - December
