,Facility Number,Phone,Region,Area,Neighourhood,School Division,Type of Facility,Age Type,Facility Open On,Total Child Care Spaces,Address,Legal Name
462,1010,(204) 837-6022,WINNIPEG,ST. JAMES ASSINIBOINE,CRESTVIEW,ST.JAMES-ASSINIBOIA SCHOOL DIV,Centre,"Infant, Preschool, School Age",Weekdays,70,"Rooms 2, 3, 4, 6, 7, Gym 37 Voyageur Avenue (Ave) Winnipeg, MB",Crestview Park Day Nursery Incorporated
463,3003,(204) 888-0772,WINNIPEG,ST. JAMES ASSINIBOINE,CRESTVIEW,ST.JAMES-ASSINIBOIA SCHOOL DIV,Centre,"Infant, Preschool, School Age","Weekdays, Evenings",61,"Room 7, 9, 11, 12, Gym 333 Morgan Crescent Winnipeg, MB",Crestview School Children's Centre Inc.
464,100318,(204) 582-4152,WINNIPEG,Seven Oaks,WEST ST. PAUL,SEVEN OAKS SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,"573 Rossmore Avenue (Ave) West St. Paul, MB ",Family or Group Child  Care Home *
465,1172,(204) 775-3889,WINNIPEG,Downtown,WOLSELEY,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,25,"141 Arlington Street Winnipeg, MB ",Cuddles Infant Centre Inc.
466,101879,(204) 224-3500,WINNIPEG,Transcona,CANTERBURY PARK,RIVER EAST TRANSCONA SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
467,101611,(204) 330-7651,WINNIPEG,Assiniboine South,ELMHURST,PEMBINA TRAILS SCHOOL DIVISION,Home,"Infant, Preschool",Weekdays,5,None,Family or Group Child  Care Home *
468,101611,(204) 330-7651,WINNIPEG,Assiniboine South,ELMHURST,PEMBINA TRAILS SCHOOL DIVISION,Home,"Infant, Preschool",Weekdays,5,None,Family or Group Child  Care Home *
469,100014,(204) 832-2667,WINNIPEG,Inkster,INKSTER GARDENS,WINNIPEG SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",8,"7 Quill Bay Winnipeg, MB ",Cynthia Whitfield-Laurent
470,100014,(204) 832-2667,WINNIPEG,Inkster,INKSTER GARDENS,WINNIPEG SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",8,"7 Quill Bay Winnipeg, MB ",Cynthia Whitfield-Laurent
471,3109,(204) 269-3510,WINNIPEG,Fort Garry,FORT RICHMOND,PEMBINA TRAILS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,50,"262 Dalhousie Drive Winnipeg, MB ",Dalhousie Day Care Inc.
472,3109,(204) 269-3510,WINNIPEG,Fort Garry,FORT RICHMOND,PEMBINA TRAILS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,50,"262 Dalhousie Drive Winnipeg, MB ",Dalhousie Day Care Inc.
473,101884,(204) 318-9476,WINNIPEG,Downtown,DANIEL MCINTYRE,WINNIPEG SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Family or Group Child  Care Home *
474,9769,(204) 254-4845,WINNIPEG,ST. VITAL,PULBERRY,LOUIS RIEL SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Daniela Andrejowich
475,1148,(204) 474-0403,WINNIPEG,River Heights,EARL GREY,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,48,"Earl Grey Community Club-Room 1,2 & Gym 358 Cockburn Street N Winnipeg, MB",Dante Day Nursery Inc.
476,9417,(204) 222-4157,WINNIPEG,Transcona,KILDARE - REDONDA,RIVER EAST TRANSCONA SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,"494 Dowling  Avenue (Ave) E Winnipeg, MB ",Darcy Shewchuk
477,50012,(204) 338-8610,WINNIPEG,Seven Oaks,GARDEN CITY,SEVEN OAKS SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
478,50012,(204) 338-8610,WINNIPEG,Seven Oaks,GARDEN CITY,SEVEN OAKS SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
479,102091,(204) 415-2820,WINNIPEG,Fort Garry,WAVERLEY WEST,PEMBINA TRAILS SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,5,None,Darshika Liyanage
480,100900,(204) 996-1096,WINNIPEG,Point Douglas,NORTH POINT DOUGLAS,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,40,"Gym 270 Flora avenue (av) Winnipeg, MB",Manidoo GiMiini Gonaan/R.B.Russell Infant Centre
481,100689,(204) 654-1594,WINNIPEG,River East,VALLEY GARDENS,RIVER EAST TRANSCONA SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,100,"Rooms4,5,9,gym,Film & commonroom,library 1020 Louelda  Street Winnipeg , MB",Dawn & Dusk Before And After Child Program Inc.
482,1011,(204) 775-6513,WINNIPEG,Downtown,WEST BROADWAY,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,48,"103 - 222 Furby Street Winnipeg, MB ",Day Nursery Centre Inc. - Crossways
483,1011,(204) 775-6513,WINNIPEG,Downtown,WEST BROADWAY,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,48,"103 - 222 Furby Street Winnipeg, MB ",Day Nursery Centre Inc. - Crossways
484,102546,(204) 775-6513,WINNIPEG,Downtown,NORTH PORTAGE,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,16,"557 Ellice Avenue (Ave) Winnipeg, MB ",Day Nursery Centre Inc.
485,1013,(204) 586-3763,WINNIPEG,Point Douglas,LORD SELKIRK PARK,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,48,"336  flora Avenue (Ave) Winnipeg, MB ",Day Nursery Centre Inc. - Gretta Brown
486,102383,(204) 775-6513,WINNIPEG,Downtown,SPENCE,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,28,"101 - 195 Young Street Winnipeg, MB ",Day Nursery Centre Inc.
487,102383,(204) 775-6513,WINNIPEG,Downtown,SPENCE,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,28,"101 - 195 Young Street Winnipeg, MB ",Day Nursery Centre Inc.
488,101488,(204) 786-6128,WINNIPEG,Downtown,LOGAN CPR,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,48,"555 Logan Avenue (Ave) Winnipeg, MB ",Day Nursery Centre Inc.
489,101488,(204) 786-6128,WINNIPEG,Downtown,LOGAN CPR,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,48,"555 Logan Avenue (Ave) Winnipeg, MB ",Day Nursery Centre Inc.
490,100578,(204) 509-6881,WINNIPEG,ST. BONIFACE,WINDSOR PARK,LOUIS RIEL SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",8,None,Family or Group Child  Care Home *
491,100281,(204) 256-7618,WINNIPEG,ST. VITAL,PULBERRY,LOUIS RIEL SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Deborah Beckett
492,9107,(204) 888-6269,WINNIPEG,ST. JAMES ASSINIBOINE,BUCHANAN,ST.JAMES-ASSINIBOIA SCHOOL DIV,Home,"Infant, Preschool, School Age",Weekdays,8,None,Deborah Proshen
493,5254,(204) 667-0740,WINNIPEG,River East,ROSSMERE - A,RIVER EAST TRANSCONA SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,"176 Macaulay Crescent Winnipeg, MB ",Debra Lyn Bonne
494,50420,(204) 235-0630,WINNIPEG,ST. VITAL,GLENWOOD,LOUIS RIEL SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
495,50169,(204) 663-3744,WINNIPEG,River East,VALLEY GARDENS,RIVER EAST TRANSCONA SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings",8,None,Family or Group Child  Care Home *
496,1043,(204) 889-2689,WINNIPEG,ST. JAMES ASSINIBOINE,KING EDWARD,ST.JAMES-ASSINIBOIA SCHOOL DIV,Centre/Nursery,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",222,"gym Rm1-12 - 367 Hampton Street Winnipeg, MB",Discovery Children's Centre Inc.
497,101975,(204) 583-7689,WINNIPEG,Inkster,INKSTER GARDENS,WINNIPEG SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,"62 Bridgeford  Path Winnipeg, MB ",Dolores Maloles
498,101065,(204) 488-1787,WINNIPEG,River Heights,SIR JOHN FRANKLIN,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,75,"Room 118,120,small gym,canteen 300 Carpathia Road Winnipeg, MB",Communities Together for Children and Families Incorporated
499,101065,(204) 488-1787,WINNIPEG,River Heights,SIR JOHN FRANKLIN,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,75,"Room 118,120,small gym,canteen 300 Carpathia Road Winnipeg, MB",Communities Together for Children and Families Incorporated
500,9320,(204) 953-7321,WINNIPEG,Downtown,NORTH PORTAGE,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,30,"301 Vaughan Street Winnipeg, MB ",The Young Men's and Young Women's Christian Association Of Winnipeg Inc.
501,1144,(204) 947-3110 Ext. 233,WINNIPEG,Downtown,NORTH PORTAGE,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,88,"301 Vaughan Street Winnipeg, MB ",The Young Men's and Young Women's Christian Association of Winnipeg Inc.
502,101569,(204) 292-8236,WINNIPEG,River East,EAST ST. PAUL,RIVER EAST TRANSCONA SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,30,"Rooms 1,music,Library and gym 3225 Henderson  Highway East St. Paul, MB",The Young Men's and Young Women's Christian Association of Winnipeg Inc.
503,100414,(204) 947-9411,WINNIPEG,Point Douglas,NORTH POINT DOUGLAS,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,59,"Barber House and Playtrium Room  99 Euclid  Avenue (Ave) Winnipeg, MB",SISTARS Community Economic Development Co-op Inc
504,3012,(204) 453-7387,WINNIPEG,River Heights,EARL GREY,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,71,"Earl Grey School Room 2,7,8 & open area 340 Cockburn Street N Winnipeg, MB",Earl Grey Children's Centre Inc.
505,100630,(204) 221-1639,WINNIPEG,Transcona,KILDARE - REDONDA,RIVER EAST TRANSCONA SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,142,"Erth,Moon,Saturn,Mars,Merc,Jupiter,Pluto 500 Redonda Street Winnipeg, MB",East Transcona Before and After Program Inc.
506,102175,(204) 831-7037,WINNIPEG,Assiniboine South,ELMHURST,PEMBINA TRAILS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,48,"525  Cathcart  Street Winnipeg, MB ",Ryerson School-Age Centre Inc.
507,102175,(204) 831-7037,WINNIPEG,Assiniboine South,ELMHURST,PEMBINA TRAILS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,48,"525  Cathcart  Street Winnipeg, MB ",Ryerson School-Age Centre Inc.
508,7887,(204) 224-3877,WINNIPEG,Transcona,KERN PARK,RIVER EAST TRANSCONA SCHOOL DIVISION,Centre/Nursery,"Infant, Preschool, School Age",Weekdays,53,"Rooms 101,104,116&118,ecole Centrale 604 Day Street Winnipeg, MB",Ecole Centrale School Age Center Inc.
509,9529,(204) 453-7972,WINNIPEG,Fort Garry,CRESCENT PARK,PEMBINA TRAILS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,70,"Rms:P1, 2, 7, 9, 10 & Gym 888 Crane Avenue (Ave) Winnipeg, MB",The Young Men's and Young Women's Christian Association of Winnipeg Inc.
510,100015,(204) 224-0840,WINNIPEG,Transcona,KERN PARK,RIVER EAST TRANSCONA SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,45,"Rooms 2,3 gyms ,art room,kitchen &foyer  411 Moroz Street Winnipeg, MB",Ecole Centrale School Age Center Inc.
511,9295,(204) 255-6201,WINNIPEG,ST. VITAL,VARENNES,LOUIS RIEL SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,40,"Room 20, 21, Libray amd Gym 22 Varennes Avenue (Ave) Winnipeg, MB",The Young Men's and Young Women's Christian Association of Winnipeg Inc.
512,50205,(204) 255-2091,WINNIPEG,ST. BONIFACE,WINDSOR PARK,LOUIS RIEL SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,"15 Blueberry Bay Winnipeg, MB ",Elaine Hardman
513,102204,(204) 254-7416,WINNIPEG,ST. BONIFACE,ISLAND LAKES,LOUIS RIEL SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,5,None,Family or Group Child  Care Home *
514,101810,(204) 952-9534,WINNIPEG,River East,ROSSMERE - A,RIVER EAST TRANSCONA SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
515,50891,(204) 669-2775,WINNIPEG,River East,VALLEY GARDENS,RIVER EAST TRANSCONA SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Elizabeth Feere
516,102261,(204) 791-6918,WINNIPEG,Fort Garry,WAVERLEY WEST,PEMBINA TRAILS SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
517,1008,(204) 668-7944,WINNIPEG,River East,CHALMERS,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age","Weekdays, Evenings",66,"75 Brazier  Avenue (Ave) Winnipeg, MB ",Elmwood Day Nursery Inc.
518,3126,(204) 222-9517,WINNIPEG,Transcona,KILDARE - REDONDA,RIVER EAST TRANSCONA SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,60,"Gym, Rm 101 & 103 25 Regina  Place Winnipeg, MB",EMU School Age Centre Inc.
519,3126,(204) 222-9517,WINNIPEG,Transcona,KILDARE - REDONDA,RIVER EAST TRANSCONA SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,60,"Gym, Rm 101 & 103 25 Regina  Place Winnipeg, MB",EMU School Age Centre Inc.
520,100845,(204) 417-8765,WINNIPEG,Seven Oaks,WEST KILDONAN INDUSTRIAL,SEVEN OAKS SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
521,100845,(204) 417-8765,WINNIPEG,Seven Oaks,WEST KILDONAN INDUSTRIAL,SEVEN OAKS SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
522,1016,(204) 261-7682,WINNIPEG,Fort Garry,FORT RICHMOND,PEMBINA TRAILS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,63,"196 Dalhousie  Drive Winnipeg, MB ",Epiphany Children's Centre Inc.
523,9493,(204) 694-2773,WINNIPEG,Seven Oaks,THE MAPLES,SEVEN OAKS SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
524,9493,(204) 694-2773,WINNIPEG,Seven Oaks,THE MAPLES,SEVEN OAKS SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
525,102534,(204) 583-1762,WINNIPEG,Fort Garry,WAVERLEY HEIGHTS,PEMBINA TRAILS SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
526,100087,(204) 697-3910,WINNIPEG,Seven Oaks,THE MAPLES,SEVEN OAKS SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
527,102354,(204) 915-7202,WINNIPEG,Transcona,RADISSON,DIVISION SCHOLAIRE FRANCO-MANITOBAINE,Home,"Infant, Preschool",Weekdays,5,None,Family or Group Child  Care Home *
528,102559,(204) 504-9023,WINNIPEG,River Heights,ROCKWOOD,WINNIPEG SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Esperanza Bilang
529,102110,(204) 219-8153,WINNIPEG,Seven Oaks,GARDEN CITY,SEVEN OAKS SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Family or Group Child  Care Home *
530,9705,(204) 667-3152,WINNIPEG,River East,KILDONAN DRIVE,RIVER EAST TRANSCONA SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
531,3119,(204) 896-6052,WINNIPEG,Assiniboine South,TUXEDO,PEMBINA TRAILS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,55,"Room 8, Kindergarten room, Gym 2300 Corydon Avenue (Ave) Winnipeg, MB",Explore & Discover Early Learning Centre Inc.
532,1038,(204) 488-3637,WINNIPEG,Assiniboine South,EDGELAND,PEMBINA TRAILS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,28,"251 Edgeland Boulevard (Blvd) Winnipeg, MB ",Explore & Discover Early Learning Centre Inc.
533,1038,(204) 488-3637,WINNIPEG,Assiniboine South,EDGELAND,PEMBINA TRAILS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,28,"251 Edgeland Boulevard (Blvd) Winnipeg, MB ",Explore & Discover Early Learning Centre Inc.
534,1053,(204) 774-9264,WINNIPEG,Inkster,WESTON,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,66,"1466 William Avenue (Ave) W Winnipeg, MB ",Explorer's Children's Centre Inc.
535,1045,(204) 889-0855,WINNIPEG,ST. JAMES ASSINIBOINE,CRESTVIEW,ST.JAMES-ASSINIBOIA SCHOOL DIV,Centre,"Infant, Preschool, School Age","Weekdays, Evenings",40,"369 Fairlane Avenue (Ave) Winnipeg, MB ",Fairlane Children's Centre Incorporated
536,1157,(204) 253-2587,WINNIPEG,ST. VITAL,DAKOTA CROSSING,LOUIS RIEL SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,63,"1311 Dakota Street Winnipeg, MB ",Faith Lutheran Day Care Inc.
537,102299,(204) 510-2249,WINNIPEG,Fort Garry,WAVERLEY HEIGHTS,PEMBINA TRAILS SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,"85 Lake Grove Bay Winnipeg, MB ",Fatemeh Cheraghlou & Shahin Banihashemi
538,101775,(204) 256-7034,WINNIPEG,ST. BONIFACE,WINDSOR PARK,DIVISION SCHOLAIRE FRANCO-MANITOBAINE,Home,"Infant, Preschool",Weekdays,5,None,Family or Group Child  Care Home *
539,100176,(204) 582-5961,WINNIPEG,Inkster,SHAUGHNESSY PARK,WINNIPEG SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,"1279  Redwood  Avenue (Ave) Winnipeg, MB ",Fatima T. Sousa
540,100176,(204) 582-5961,WINNIPEG,Inkster,SHAUGHNESSY PARK,WINNIPEG SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,"1279  Redwood  Avenue (Ave) Winnipeg, MB ",Fatima T. Sousa
541,102073,(204) 583-1619,WINNIPEG,ST. BONIFACE,NORWOOD EAST,LOUIS RIEL SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
542,1015,(204) 889-5572,WINNIPEG,ST. JAMES ASSINIBOINE,ASSINIBOIA DOWNS,ST.JAMES-ASSINIBOIA SCHOOL DIV,Centre,"Infant, Preschool, School Age",Weekdays,180,"4057 Portage  Avenue (Ave) Winnipeg , MB ",Festival Early Learning and Child Care Cenre Inc.
543,101395,(204) 801-4307,WINNIPEG,ST. JAMES ASSINIBOINE,CRESTVIEW,ST.JAMES-ASSINIBOIA SCHOOL DIV,Centre,"Infant, Preschool, School Age",Weekdays,40,"305  Morgan Crescent Winnipeg, MB ",Festival Early Learning and Child Care Centre Inc.
544,101395,(204) 801-4307,WINNIPEG,ST. JAMES ASSINIBOINE,CRESTVIEW,ST.JAMES-ASSINIBOIA SCHOOL DIV,Centre,"Infant, Preschool, School Age",Weekdays,40,"305  Morgan Crescent Winnipeg, MB ",Festival Early Learning and Child Care Centre Inc.
545,102555,(204) 889-5572,WINNIPEG,ST. JAMES ASSINIBOINE,ASSINIBOIA DOWNS,ST.JAMES-ASSINIBOIA SCHOOL DIV,Centre,"Infant, Preschool, School Age",Weekdays,30,"815 Buchanan  Boulevard (Blvd) Winnipeg, MB ",Festival Early Learning and Child Care Centre Inc.
546,100507,(204) 694-0355,WINNIPEG,Seven Oaks,THE MAPLES,SEVEN OAKS SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
547,102257,(204) 881-6954,WINNIPEG,Point Douglas,ST. JOHN'S,WINNIPEG SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,"346 Church Avenue (Ave) Winnipeg, MB ",Flerida Siscar
548,1009,(204) 453-7600,WINNIPEG,Fort Garry,POINT ROAD,PEMBINA TRAILS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,57,"1555 Pembina Highway Winnipeg, MB ",Fort Garry Child Care Centre Co-op Inc.
549,101255,(204) 284-1505,WINNIPEG,Fort Garry,BEAUMONT,PEMBINA TRAILS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,45,"Rm 201, 202, Multi-purpose Rm & Gym 810 Waterford Avenue (Ave) Winnipeg, MB",Fort Garry Child Care Centre Co-op
550,101255,(204) 284-1505,WINNIPEG,Fort Garry,BEAUMONT,PEMBINA TRAILS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,45,"Rm 201, 202, Multi-purpose Rm & Gym 810 Waterford Avenue (Ave) Winnipeg, MB",Fort Garry Child Care Centre Co-op
551,101072,(204) 488-8336,WINNIPEG,Fort Garry,WHYTE RIDGE,PEMBINA TRAILS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,30,"Room 103 960 Scurfield Boulevard (Blvd) Winnipeg, MB",Fort Garry Child Care Centre Co-op
552,101072,(204) 488-8336,WINNIPEG,Fort Garry,WHYTE RIDGE,PEMBINA TRAILS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,30,"Room 103 960 Scurfield Boulevard (Blvd) Winnipeg, MB",Fort Garry Child Care Centre Co-op
553,100379,(204) 452-9933,WINNIPEG,Fort Garry,WILDWOOD,PEMBINA TRAILS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,50,"Room 6, 7, 8, Gym, Computer Room  666 Oakenwald Avenue (Ave) Winnipeg, MB",Fort Garry Child Care Centre Co-op Inc.
554,3004,(204) 284-5474,WINNIPEG,River Heights,MCMILLAN,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,54,"525 Wardlaw Avenue (Ave) Winnipeg, MB ",Fort Rouge Child Care Program Board Inc.
555,102240,(204) 452-8969,WINNIPEG,River Heights,MCMILLAN,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,30,"Room 15, 16 and Gym 500 Gertrude Street Winnipeg, MB",Fort Rouge Co-op Day Nursery
556,1017,(204) 452-8969,WINNIPEG,River Heights,MCMILLAN,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,36,"Lower Level and Gym/Parish Hall 513 Stradbrook Avenue (Ave) Winnipeg, MB",Fort Rouge Co-op Day Nursery Inc.
557,101718,(204) 599-5834,WINNIPEG,River East,VALLEY GARDENS,DIVISION SCHOLAIRE FRANCO-MANITOBAINE,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",8,None,Family or Group Child  Care Home *
558,100996,(204) 772-4107,WINNIPEG,Downtown,CENTENNIAL,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,47,"Rooms 4, 5, 6, 7, 23, kitchen, 2 gyms 545 Alexander Avenue (Ave) Winnipeg, MB",Freight House Early Learning and Care Inc.
559,1018,(204) 772-4107,WINNIPEG,Downtown,CENTENNIAL,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,44,"505 Ross Avenue (Ave) Winnipeg, MB ",Freight House Early Learning and Care Inc.
560,1039,(204) 772-4107,WINNIPEG,Downtown,CENTENNIAL,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,42,"470  Pacific Avenue (Ave) Winnipeg, MB ",Freight House Early Learning and Care Inc.
561,100238,(204) 255-5078,WINNIPEG,ST. BONIFACE,WINDSOR PARK,LOUIS RIEL SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,25,"Room 1 and gym 866 Autumnwood Drive Wpg., MB",The Young Men's and Young Women's Christian Association of Winnipeg Inc.
562,80150,(204) 257-0088,WINNIPEG,ST. VITAL,PULBERRY,WINNIPEG SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Gail Newbold
563,102087,(204) 697-0050,WINNIPEG,Inkster,TYNDALL PARK,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,28,"2370 Burrows Avenue (Ave) Winnipeg, MB ",Garden Grove Child Care Program Inc.
564,102087,(204) 697-0050,WINNIPEG,Inkster,TYNDALL PARK,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,28,"2370 Burrows Avenue (Ave) Winnipeg, MB ",Garden Grove Child Care Program Inc.
565,3015,(204) 632-9987,WINNIPEG,Inkster,TYNDALL PARK,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,64,"Rm 7,9,11,12,18,23,24,26 & gym 2340 Burrows Avenue (Ave) Winnipeg, MB",Garden Grove Child Care Program Inc.
566,101931,(204) 691-0419,WINNIPEG,ST. BONIFACE,CENTRAL ST. BONIFACE,DIVISION SCHOLAIRE FRANCO-MANITOBAINE,Centre,"Infant, Preschool, School Age",Weekdays,40,"570 rue Des Meurons Winnipeg, MB",Garderie Les Petits Genies Corporation
567,3128,(204) 255-3576,WINNIPEG,ST. BONIFACE,WINDSOR PARK,LOUIS RIEL SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,45,"Rooms 1,3,6, gym and multipurpose room. 18 Lomond  Boulevard (Blvd) Winnipeg, MB",General Vanier Children's Center Inc.
568,101863,(204) 283-9633,WINNIPEG,River East,ROSSMERE - B,RIVER EAST TRANSCONA SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
569,102445,(204) 421-3651,WINNIPEG,Point Douglas,ROBERTSON,WINNIPEG SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
570,9721,(204) 253-6634,WINNIPEG,ST. BONIFACE,SOUTHDALE,DIVISION SCHOLAIRE FRANCO-MANITOBAINE,Home,"Infant, Preschool, School Age",Weekdays,8,"9 Cyril Place Winnipeg, MB ",Ginette Simard
571,100842,(204) 334-7075,WINNIPEG,Seven Oaks,GARDEN CITY,SEVEN OAKS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,40,"Rooms 5, 8, 10 & Gym 150 Hartford Avenue (Ave) Winnipeg, MB",Sunny Mountain Day Care Centre Inc.
